Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (4)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
694_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:01:44,-92,31.6,Foreground,0.830000
323_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:01:45,-95,34.2,Foreground,0.830000
534_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-09-30 12:01:45,-95,46.4,Foreground,0.830000
Rule 1
474_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:01:46,-95,36.1,Foreground,0.830000
414_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-09-30 12:01:47,-92,31.6,Foreground,0.830000
494_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-09-30 12:01:48,-92,31.6,Foreground,0.830000
423_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:01:50,-89,32.4,Foreground,0.830000
875_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 12:01:50,-92,31.6,Foreground,0.830000
77_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-09-30 12:01:50,-87,16.7,Foreground,0.830000
Rule 1
357_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 12:01:51,-93,32.6,Foreground,0.830000
357_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-09-30 12:01:51,-95,46.4,Foreground,0.830000
627_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-09-30 12:01:51,-87,41.4,Foreground,0.830000
222_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:01:52,-91,31.4,Foreground,0.830000
574_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 12:01:52,-93,33.2,Foreground,0.830000
172_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:01:53,-95,33.4,Foreground,0.830000
839_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-09-30 12:01:53,-94,42.7,Foreground,0.830000
39_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 12:01:54,-92,32.9,Foreground,0.830000
183_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-09-30 12:01:54,-94,42.5,Foreground,0.830000
417_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 12:01:55,-92,32.7,Foreground,0.830000
530_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-09-30 12:01:57,-93,35.9,Foreground,0.830000
890_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:01:57,-93,35.5,Foreground,0.830000
606_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 12:01:57,-86,27.9,Foreground,0.830000
896_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-09-30 12:01:58,-93,35.9,Foreground,0.830000
12_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 12:01:58,-86,24.7,Foreground,0.830000
895_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:01:59,-93,37.2,Foreground,0.830000
938_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 12:01:59,-87,23.2,Foreground,0.830000
938_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-09-30 12:01:59,-94,45.0,Foreground,0.830000
516_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-09-30 12:01:59,-88,40.2,Foreground,0.830000
516_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-09-30 12:01:59,-95,46.4,Foreground,0.830000
321_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-09-30 12:02:00,-91,34.1,Foreground,0.830000
684_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:02:00,-92,36.4,Foreground,0.830000
227_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 12:02:00,-84,20.6,Foreground,0.830000
227_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-09-30 12:02:00,-87,28.9,Foreground,0.830000
227_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-09-30 12:02:00,-94,65.2,Foreground,0.830000
578_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-09-30 12:02:00,-95,46.4,Foreground,0.830000
460_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-09-30 12:02:01,-83,24.3,Foreground,0.830000
972_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:02:01,-81,25.5,Foreground,0.830000
487_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-09-30 12:02:01,-86,14.7,Foreground,0.830000
487_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 12:02:01,-78,15.5,Foreground,0.830000
487_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-09-30 12:02:01,-85,22.1,Foreground,0.830000
635_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-09-30 12:02:01,-84,33.5,Foreground,0.830000
581_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-09-30 12:02:02,-85,21.5,Foreground,0.830000
526_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:02:02,-78,18.0,Foreground,0.830000
194_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 12:02:02,-80,13.5,Foreground,0.830000
194_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-09-30 12:02:02,-85,19.3,Foreground,0.830000
194_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-09-30 12:02:02,-82,30.8,Foreground,0.830000
30_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-09-30 12:02:02,-79,23.7,Foreground,0.830000
295_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-09-30 12:02:03,-77,14.4,Foreground,0.830000
258_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:02:03,-86,17.6,Foreground,0.830000
419_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 12:02:03,-79,11.9,Foreground,0.830000
419_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-09-30 12:02:03,-84,17.2,Foreground,0.830000
419_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-09-30 12:02:03,-87,28.2,Foreground,0.830000
419_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:03,-92,31.6,Foreground,0.830000
419_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:03,-94,40.8,Foreground,0.830000
212_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-09-30 12:02:03,-79,18.8,Foreground,0.830000
212_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:03,-92,31.6,Foreground,0.830000
443_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-09-30 12:02:04,-84,13.9,Foreground,0.830000
443_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:04,-87,16.7,Foreground,0.830000
312_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:04,-84,11.4,Foreground,0.830000
706_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-09-30 12:02:04,-90,18.0,Foreground,0.830000
706_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:04,-92,31.6,Foreground,0.830000
706_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:04,-90,36.1,Foreground,0.830000
628_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-09-30 12:02:04,-85,18.0,Foreground,0.830000
628_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:04,-85,23.5,Foreground,0.830000
593_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:05,-87,16.7,Foreground,0.830000
926_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:05,-84,11.4,Foreground,0.830000
226_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:05,-85,12.9,Foreground,0.830000
226_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-09-30 12:02:05,-95,19.7,Foreground,0.830000
226_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:05,-83,22.2,Foreground,0.830000
226_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:05,-81,22.4,Foreground,0.830000
726_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-09-30 12:02:05,-92,18.8,Foreground,0.830000
726_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:05,-84,19.4,Foreground,0.830000
733_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:06,-89,17.8,Foreground,0.830000
981_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:02:06,-95,18.8,Foreground,0.830000
296_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:06,-83,11.5,Foreground,0.830000
296_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 12:02:06,-90,12.6,Foreground,0.830000
296_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:06,-79,15.9,Foreground,0.830000
296_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:06,-87,21.0,Foreground,0.830000
392_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:07,-84,15.8,Foreground,0.830000
61_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:02:07,-95,20.7,Foreground,0.830000
9_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:07,-78,8.4,Foreground,0.830000
9_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:07,-85,15.4,Foreground,0.830000
9_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:07,-87,20.2,Foreground,0.830000
377_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:07,-84,17.3,Foreground,0.830000
377_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-09-30 12:02:07,-95,46.4,Foreground,0.830000
124_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:08,-79,12.1,Foreground,0.830000
522_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:08,-86,12.3,Foreground,0.830000
522_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:02:08,-95,22.5,Foreground,0.830000
240_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:08,-79,7.6,Foreground,0.830000
240_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:08,-84,14.7,Foreground,0.830000
240_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:08,-83,17.7,Foreground,0.830000
240_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-09-30 12:02:08,-89,20.0,Foreground,0.830000
52_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:08,-86,16.8,Foreground,0.830000
52_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-09-30 12:02:08,-95,46.4,Foreground,0.830000
815_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:09,-79,10.3,Foreground,0.830000
180_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:09,-86,12.9,Foreground,0.830000
180_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:02:09,-95,24.1,Foreground,0.830000
292_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:09,-77,6.7,Foreground,0.830000
292_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 12:02:09,-90,13.9,Foreground,0.830000
292_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:09,-83,13.9,Foreground,0.830000
292_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:09,-83,16.1,Foreground,0.830000
151_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:09,-90,17.6,Foreground,0.830000
151_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-09-30 12:02:09,-95,46.4,Foreground,0.830000
52_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:10,-71,6.5,Foreground,0.830000
52_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-09-30 12:02:10,-95,15.2,Foreground,0.830000
973_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:10,-77,9.0,Foreground,0.830000
677_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:10,-73,5.3,Foreground,0.830000
677_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:10,-80,12.4,Foreground,0.830000
677_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:10,-83,15.0,Foreground,0.830000
417_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:10,-82,15.4,Foreground,0.830000
417_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-09-30 12:02:10,-95,46.4,Foreground,0.830000
626_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:11,-71,4.9,Foreground,0.830000
465_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:11,-77,7.5,Foreground,0.830000
261_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:11,-74,4.7,Foreground,0.830000
261_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:11,-80,11.3,Foreground,0.830000
261_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:11,-82,13.8,Foreground,0.830000
739_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:11,-83,14.4,Foreground,0.830000
849_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:12,-81,5.2,Foreground,0.830000
7_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:12,-78,7.0,Foreground,0.830000
719_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:12,-70,3.7,Foreground,0.830000
719_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:12,-77,9.6,Foreground,0.830000
719_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:12,-82,13.0,Foreground,0.830000
430_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:12,-80,12.6,Foreground,0.830000
376_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:13,-71,4.2,Foreground,0.830000
825_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:13,-78,6.6,Foreground,0.830000
581_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:13,-72,3.4,Foreground,0.830000
581_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:13,-74,7.7,Foreground,0.830000
581_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-09-30 12:02:13,-94,40.8,Foreground,0.830000
327_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:13,-80,11.4,Foreground,0.830000
659_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:14,-74,4.0,Foreground,0.830000
497_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:14,-83,7.0,Foreground,0.830000
193_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:14,-74,3.3,Foreground,0.830000
193_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:14,-74,6.6,Foreground,0.830000
193_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:14,-81,12.0,Foreground,0.830000
225_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:15,-70,3.4,Foreground,0.830000
225_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-09-30 12:02:15,-95,19.9,Foreground,0.830000
829_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:15,-81,7.1,Foreground,0.830000
822_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:15,-73,3.2,Foreground,0.830000
822_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:15,-77,6.2,Foreground,0.830000
822_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:15,-81,11.1,Foreground,0.830000
348_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:15,-83,11.2,Foreground,0.830000
553_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:16,-72,3.1,Foreground,0.830000
553_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-09-30 12:02:16,-95,25.1,Foreground,0.830000
879_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:16,-80,7.1,Foreground,0.830000
879_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:02:16,-94,25.4,Foreground,0.830000
468_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:16,-78,3.5,Foreground,0.830000
468_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:16,-77,5.9,Foreground,0.830000
468_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:16,-79,9.9,Foreground,0.830000
227_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:16,-83,11.0,Foreground,0.830000
424_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:17,-74,3.1,Foreground,0.830000
431_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:17,-80,7.0,Foreground,0.830000
431_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 12:02:17,-94,28.8,Foreground,0.830000
277_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:17,-74,3.4,Foreground,0.830000
277_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:17,-80,6.0,Foreground,0.830000
277_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:17,-79,9.1,Foreground,0.830000
406_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:17,-81,10.4,Foreground,0.830000
500_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:18,-72,3.0,Foreground,0.830000
272_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:18,-80,7.0,Foreground,0.830000
601_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:18,-74,3.4,Foreground,0.830000
601_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:18,-81,8.9,Foreground,0.830000
601_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 12:02:18,-92,16.0,Foreground,0.830000
930_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:18,-89,11.2,Foreground,0.830000
698_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:19,-68,2.5,Foreground,0.830000
77_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:19,-83,7.3,Foreground,0.830000
549_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:19,-66,2.4,Foreground,0.830000
549_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:19,-80,6.2,Foreground,0.830000
549_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 12:02:19,-95,24.5,Foreground,0.830000
294_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:20,-70,2.3,Foreground,0.830000
127_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:20,-80,7.2,Foreground,0.830000
652_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:20,-70,2.3,Foreground,0.830000
652_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:20,-78,5.9,Foreground,0.830000
652_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:20,-75,7.4,Foreground,0.830000
59_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:20,-88,11.8,Foreground,0.830000
577_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:21,-68,2.0,Foreground,0.830000
670_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:21,-81,7.3,Foreground,0.830000
151_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:21,-67,1.9,Foreground,0.830000
151_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:21,-79,6.0,Foreground,0.830000
151_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:21,-81,7.5,Foreground,0.830000
224_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:21,-85,12.0,Foreground,0.830000
224_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-09-30 12:02:21,-90,24.5,Foreground,0.830000
224_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-09-30 12:02:21,-95,46.4,Foreground,0.830000
84_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:22,-66,1.7,Foreground,0.830000
20_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:22,-82,7.5,Foreground,0.830000
15_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:22,-71,2.0,Foreground,0.830000
15_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:22,-78,5.8,Foreground,0.830000
15_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:22,-87,8.3,Foreground,0.830000
15_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-09-30 12:02:22,-95,41.8,Foreground,0.830000
219_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:22,-88,12.7,Foreground,0.830000
219_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-09-30 12:02:22,-90,24.5,Foreground,0.830000
219_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-09-30 12:02:22,-95,46.4,Foreground,0.830000
177_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:23,-75,2.0,Foreground,0.830000
695_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:23,-82,7.7,Foreground,0.830000
895_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:23,-73,2.1,Foreground,0.830000
895_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:23,-83,6.3,Foreground,0.830000
895_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:23,-88,9.1,Foreground,0.830000
895_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-09-30 12:02:23,-94,41.5,Foreground,0.830000
664_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-09-30 12:02:23,-86,12.9,Foreground,0.830000
600_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:24,-76,2.3,Foreground,0.830000
118_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:24,-80,7.5,Foreground,0.830000
117_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:24,-72,2.2,Foreground,0.830000
117_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:24,-86,6.9,Foreground,0.830000
117_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:24,-88,9.9,Foreground,0.830000
117_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-09-30 12:02:24,-95,42.7,Foreground,0.830000
723_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-09-30 12:02:25,-77,2.6,Foreground,0.830000
617_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 12:02:25,-80,7.4,Foreground,0.830000
754_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-09-30 12:02:25,-81,2.7,Foreground,0.830000
754_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 12:02:25,-86,7.6,Foreground,0.830000
754_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 12:02:25,-89,10.8,Foreground,0.830000
754_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-09-30 12:02:25,-92,31.6,Foreground,0.830000
