Device:,iPhone10,3
OS version:,12.3.1
App version:,1.4.6 (4)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
============================================================
335_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 11:47:02,-93,35.9,Foreground,0.580000
6_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 11:47:03,-93,35.9,Foreground,0.580000
Rule 1
972_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-09-30 11:47:04,-85,12.9,Foreground,0.580000
98_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-09-30 11:47:05,-87,16.7,Foreground,0.580000
95_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 11:47:05,-80,6.8,Foreground,0.580000
95_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 11:47:05,-89,21.5,Foreground,0.580000
319_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-09-30 11:47:05,-83,11.5,Foreground,0.580000
319_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 11:47:05,-81,21.6,Foreground,0.580000
454_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-09-30 11:47:05,-92,31.6,Foreground,0.580000
223_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-09-30 11:47:06,-81,11.6,Foreground,0.580000
289_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 11:47:06,-82,7.9,Foreground,0.580000
289_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 11:47:06,-90,22.4,Foreground,0.580000
760_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 11:47:06,-72,9.1,Foreground,0.580000
760_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-09-30 11:47:06,-87,12.7,Foreground,0.580000
760_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-09-30 11:47:06,-91,27.8,Foreground,0.580000
905_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-09-30 11:47:06,-84,22.1,Foreground,0.580000
126_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-09-30 11:47:07,-74,6.6,Foreground,0.580000
123_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-09-30 11:47:07,-80,7.4,Foreground,0.580000
123_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-09-30 11:47:07,-91,23.5,Foreground,0.580000
506_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-09-30 11:47:07,-72,6.3,Foreground,0.580000
506_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-09-30 11:47:07,-80,6.8,Foreground,0.580000
506_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-09-30 11:47:07,-91,14.6,Foreground,0.580000
506_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-09-30 11:47:07,-90,24.5,Foreground,0.580000
506_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-09-30 11:47:07,-91,27.8,Foreground,0.580000
813_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-09-30 11:47:07,-79,14.4,Foreground,0.580000
