Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
197_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:48:40,-94,24.1,Foreground,0.870000
93_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:48:40,-70,1.8,Foreground,0.870000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:48:40,-66,1.0,Foreground,0.870000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:48:40,-64,1.2,Foreground,0.870000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-08-24 11:48:40,-91,16.0,Foreground,0.870000
300_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:48:40,-64,1.0,Foreground,0.870000
300_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:48:40,-80,13.8,Foreground,0.870000
Rule 4
164_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:48:41,-66,1.3,Foreground,0.870000
164_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:48:41,-91,24.8,Foreground,0.870000
409_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:48:41,-76,2.2,Foreground,0.870000
409_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:48:41,-91,12.8,Foreground,0.870000
409_B28E7807-3517-4048-90CD-29E4826AE511,169,2021-08-24 11:48:41,-87,14.7,Foreground,0.870000
850_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:48:41,-70,1.2,Foreground,0.870000
850_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:48:41,-72,1.4,Foreground,0.870000
850_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:48:41,-76,2.3,Foreground,0.870000
850_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-08-24 11:48:41,-93,11.3,Foreground,0.870000
850_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-08-24 11:48:41,-88,16.3,Foreground,0.870000
850_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:48:41,-88,19.4,Foreground,0.870000
283_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:48:41,-69,1.1,Foreground,0.870000
283_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171,2021-08-24 11:48:41,-89,9.6,Foreground,0.870000
283_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:48:41,-92,14.7,Foreground,0.870000
825_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:48:42,-67,1.3,Foreground,0.870000
825_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:48:42,-86,12.9,Foreground,0.870000
825_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:48:42,-91,25.3,Foreground,0.870000
143_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:48:42,-74,2.4,Foreground,0.870000
143_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:48:42,-91,14.4,Foreground,0.870000
143_B28E7807-3517-4048-90CD-29E4826AE511,169,2021-08-24 11:48:42,-87,15.0,Foreground,0.870000
143_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:48:42,-92,31.6,Foreground,0.870000
508_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:48:42,-68,1.2,Foreground,0.870000
508_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:48:42,-71,1.5,Foreground,0.870000
508_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:48:42,-78,3.2,Foreground,0.870000
508_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-08-24 11:48:42,-94,17.6,Foreground,0.870000
508_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:48:42,-93,20.2,Foreground,0.870000
508_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:48:42,-95,37.5,Foreground,0.870000
89_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:48:42,-69,1.2,Foreground,0.870000
89_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171,2021-08-24 11:48:42,-88,10.5,Foreground,0.870000
89_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:48:42,-92,15.5,Foreground,0.870000
