Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
782_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 12:07:22,-68,1.0,Foreground,0.810000
782_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 12:07:22,-82,14.6,Foreground,0.810000
734_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 12:07:22,-65,0.5,Foreground,0.810000
734_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 12:07:22,-86,16.8,Foreground,0.810000
229_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 12:07:22,-66,0.6,Foreground,0.810000
229_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-08-24 12:07:22,-69,1.4,Foreground,0.810000
229_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 12:07:22,-65,1.5,Foreground,0.810000
229_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 12:07:22,-81,11.8,Foreground,0.810000
229_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 12:07:22,-91,13.7,Foreground,0.810000
229_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 12:07:22,-83,15.2,Foreground,0.810000
229_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-08-24 12:07:22,-89,18.4,Foreground,0.810000
491_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 12:07:22,-68,1.9,Foreground,0.810000
491_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 12:07:22,-84,25.6,Foreground,0.810000
Rule 4
854_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 12:07:23,-63,0.9,Foreground,0.810000
854_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 12:07:23,-92,14.4,Foreground,0.810000
854_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 12:07:23,-85,16.8,Foreground,0.810000
