Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
Rule 4
278_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:45:28,-75,3.5,Foreground,0.880000
278_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:45:28,-89,5.2,Foreground,0.880000
33_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:45:28,-83,3.5,Foreground,0.880000
33_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:45:28,-82,7.3,Foreground,0.880000
33_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:45:28,-87,22.1,Foreground,0.880000
33_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:45:28,-87,22.1,Foreground,0.880000
707_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:45:28,-76,2.3,Foreground,0.880000
707_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:45:28,-77,4.2,Foreground,0.880000
707_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:45:28,-74,4.7,Foreground,0.880000
707_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:45:28,-81,8.0,Foreground,0.880000
707_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:45:28,-86,17.2,Foreground,0.880000
755_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:45:28,-77,4.4,Foreground,0.880000
755_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171,2021-08-24 11:45:28,-91,23.3,Foreground,0.880000
649_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:45:29,-85,5.7,Foreground,0.880000
649_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:45:29,-93,21.2,Foreground,0.880000
649_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:45:29,-85,22.1,Foreground,0.880000
857_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:45:29,-73,3.3,Foreground,0.880000
857_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:45:29,-82,7.5,Foreground,0.880000
857_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:45:29,-87,21.2,Foreground,0.880000
408_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:45:29,-69,2.2,Foreground,0.880000
408_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:45:29,-77,4.3,Foreground,0.880000
408_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:45:29,-82,4.4,Foreground,0.880000
408_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:45:29,-77,4.7,Foreground,0.880000
