Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
233_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:42:44,-81,4.2,Foreground,0.890000
233_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:42:44,-78,9.7,Foreground,0.890000
233_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:42:44,-84,12.5,Foreground,0.890000
233_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:42:44,-90,21.7,Foreground,0.890000
585_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:42:44,-69,2.9,Foreground,0.890000
585_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:42:44,-91,6.8,Foreground,0.890000
585_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:42:44,-84,13.2,Foreground,0.890000
496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:42:44,-70,2.1,Foreground,0.890000
496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:42:44,-79,3.6,Foreground,0.890000
496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:42:44,-80,9.6,Foreground,0.890000
496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:42:44,-82,9.6,Foreground,0.890000
496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-08-24 11:42:44,-88,17.9,Foreground,0.890000
496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:42:44,-89,18.4,Foreground,0.890000
496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:42:44,-90,18.5,Foreground,0.890000
496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-08-24 11:42:44,-94,19.3,Foreground,0.890000
496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-08-24 11:42:44,-87,19.9,Foreground,0.890000
576_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:42:44,-79,5.5,Foreground,0.890000
576_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:42:44,-84,7.8,Foreground,0.890000
576_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171,2021-08-24 11:42:44,-87,13.9,Foreground,0.890000
576_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:42:44,-88,19.6,Foreground,0.890000
744_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:42:45,-80,7.6,Foreground,0.890000
744_B28E7807-3517-4048-90CD-29E4826AE511,169,2021-08-24 11:42:45,-90,20.6,Foreground,0.890000
80_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:42:45,-79,4.2,Foreground,0.890000
80_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:42:45,-82,6.6,Foreground,0.890000
80_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:42:45,-80,8.8,Foreground,0.890000
80_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:42:45,-82,9.4,Foreground,0.890000
80_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:42:45,-82,13.6,Foreground,0.890000
80_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:42:45,-88,18.7,Foreground,0.890000
80_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-08-24 11:42:45,-93,21.6,Foreground,0.890000
872_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:42:45,-89,20.2,Foreground,0.890000
Rule 4
20_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:42:46,-91,5.0,Foreground,0.890000
20_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:42:46,-80,8.4,Foreground,0.890000
746_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:42:46,-77,6.9,Foreground,0.890000
746_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:42:46,-81,12.1,Foreground,0.890000
237_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:42:46,-81,2.4,Foreground,0.890000
237_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-08-24 11:42:46,-82,11.1,Foreground,0.890000
866_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:42:46,-82,6.0,Foreground,0.890000
