Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
419_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:38:59,-74,3.0,Foreground,0.900000
419_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:38:59,-83,7.5,Foreground,0.900000
419_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:38:59,-83,18.2,Foreground,0.900000
91_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:38:59,-84,3.8,Foreground,0.900000
91_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:38:59,-73,6.5,Foreground,0.900000
143_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:38:59,-68,1.7,Foreground,0.900000
143_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:38:59,-80,3.7,Foreground,0.900000
143_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:38:59,-81,4.9,Foreground,0.900000
143_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:38:59,-78,5.9,Foreground,0.900000
143_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-08-24 11:38:59,-80,7.1,Foreground,0.900000
143_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:38:59,-79,8.3,Foreground,0.900000
143_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:38:59,-83,12.6,Foreground,0.900000
143_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:38:59,-83,14.4,Foreground,0.900000
143_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-08-24 11:38:59,-95,14.6,Foreground,0.900000
143_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-08-24 11:38:59,-93,19.5,Foreground,0.900000
133_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:38:59,-71,3.0,Foreground,0.900000
133_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:38:59,-87,9.2,Foreground,0.900000
133_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:38:59,-86,13.2,Foreground,0.900000
133_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171,2021-08-24 11:38:59,-88,19.6,Foreground,0.900000
980_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:39:00,-79,7.9,Foreground,0.900000
980_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:39:00,-83,15.0,Foreground,0.900000
933_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:39:00,-73,5.0,Foreground,0.900000
589_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:39:00,-69,1.6,Foreground,0.900000
589_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:39:00,-77,4.2,Foreground,0.900000
589_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:39:00,-77,5.2,Foreground,0.900000
589_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:39:00,-75,6.9,Foreground,0.900000
589_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:39:00,-83,12.2,Foreground,0.900000
858_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:39:00,-77,9.0,Foreground,0.900000
858_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171,2021-08-24 11:39:00,-83,16.2,Foreground,0.900000
