Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
951_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:17:53,-74,4.0,Foreground,0.970000
951_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:17:53,-80,6.5,Foreground,0.970000
673_B28E7807-3517-4048-90CD-29E4826AE511,169,2021-08-24 11:17:53,-80,3.6,Foreground,0.970000
673_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:17:53,-76,7.0,Foreground,0.970000
43_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:17:53,-74,4.3,Foreground,0.970000
43_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:17:53,-74,4.4,Foreground,0.970000
43_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-08-24 11:17:53,-81,5.0,Foreground,0.970000
43_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-08-24 11:17:53,-80,6.4,Foreground,0.970000
43_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:17:53,-83,6.8,Foreground,0.970000
43_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:17:53,-81,7.7,Foreground,0.970000
43_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:17:53,-88,14.0,Foreground,0.970000
43_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-08-24 11:17:53,-84,14.1,Foreground,0.970000
586_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:17:53,-76,4.5,Foreground,0.970000
586_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171,2021-08-24 11:17:53,-76,5.0,Foreground,0.970000
Rule 4
599_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:17:54,-82,6.7,Foreground,0.970000
599_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:17:54,-85,17.6,Foreground,0.970000
417_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:17:54,-76,6.4,Foreground,0.970000
861_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:17:54,-76,4.3,Foreground,0.970000
861_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:17:54,-83,4.8,Foreground,0.970000
861_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-08-24 11:17:54,-83,5.1,Foreground,0.970000
861_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-08-24 11:17:54,-81,6.5,Foreground,0.970000
861_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:17:54,-83,7.9,Foreground,0.970000
793_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:17:54,-82,4.8,Foreground,0.970000
793_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171,2021-08-24 11:17:54,-76,4.9,Foreground,0.970000
793_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:17:54,-84,7.1,Foreground,0.970000
155_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:17:55,-75,3.9,Foreground,0.970000
155_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:17:55,-82,6.9,Foreground,0.970000
155_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:17:55,-86,17.1,Foreground,0.970000
155_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:17:55,-95,27.6,Foreground,0.970000
614_B28E7807-3517-4048-90CD-29E4826AE511,169,2021-08-24 11:17:55,-84,4.1,Foreground,0.970000
614_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:17:55,-74,5.7,Foreground,0.970000
614_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:17:55,-81,14.1,Foreground,0.970000
614_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:17:55,-85,17.2,Foreground,0.970000
294_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:17:55,-75,4.2,Foreground,0.970000
294_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-08-24 11:17:55,-85,5.4,Foreground,0.970000
294_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-08-24 11:17:55,-82,5.8,Foreground,0.970000
294_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:17:55,-77,6.5,Foreground,0.970000
294_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-08-24 11:17:55,-81,6.7,Foreground,0.970000
294_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:17:55,-81,7.9,Foreground,0.970000
294_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:17:55,-87,14.1,Foreground,0.970000
294_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:17:55,-89,14.5,Foreground,0.970000
916_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:17:55,-77,4.8,Foreground,0.970000
916_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171,2021-08-24 11:17:55,-81,5.2,Foreground,0.970000
916_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:17:55,-83,7.5,Foreground,0.970000
673_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:17:56,-80,4.4,Foreground,0.970000
673_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:17:56,-76,6.3,Foreground,0.970000
673_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:17:56,-84,16.0,Foreground,0.970000
207_B28E7807-3517-4048-90CD-29E4826AE511,169,2021-08-24 11:17:56,-70,3.2,Foreground,0.970000
207_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:17:56,-82,6.0,Foreground,0.970000
207_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:17:56,-83,12.3,Foreground,0.970000
207_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:17:56,-81,13.3,Foreground,0.970000
201_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:17:56,-76,4.2,Foreground,0.970000
201_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:17:56,-73,4.3,Foreground,0.970000
