Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
220_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:15:41,-85,8.8,Foreground,0.980000
999_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:15:41,-68,1.8,Foreground,0.980000
999_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-08-24 11:15:41,-74,3.9,Foreground,0.980000
999_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-08-24 11:15:41,-76,4.7,Foreground,0.980000
999_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:15:41,-84,13.6,Foreground,0.980000
999_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:15:41,-89,21.5,Foreground,0.980000
790_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171,2021-08-24 11:15:41,-74,4.2,Foreground,0.980000
790_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:15:41,-73,5.5,Foreground,0.980000
790_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:15:41,-81,7.9,Foreground,0.980000
Rule 4
242_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:15:42,-80,4.7,Foreground,0.980000
242_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:15:42,-85,9.7,Foreground,0.980000
242_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:15:42,-87,10.5,Foreground,0.980000
311_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:15:42,-82,16.1,Foreground,0.980000
311_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:15:42,-91,18.2,Foreground,0.980000
836_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:15:42,-79,2.1,Foreground,0.980000
836_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-08-24 11:15:42,-73,3.2,Foreground,0.980000
836_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-08-24 11:15:42,-78,4.8,Foreground,0.980000
836_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:15:42,-77,6.9,Foreground,0.980000
836_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:15:42,-82,9.2,Foreground,0.980000
836_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:15:42,-88,21.1,Foreground,0.980000
836_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:15:42,-89,21.5,Foreground,0.980000
836_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:15:42,-92,25.4,Foreground,0.980000
262_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171,2021-08-24 11:15:42,-75,4.1,Foreground,0.980000
262_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:15:42,-83,5.9,Foreground,0.980000
262_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:15:42,-89,15.5,Foreground,0.980000
660_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:15:43,-76,4.4,Foreground,0.980000
660_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:15:43,-87,11.6,Foreground,0.980000
660_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:15:43,-95,46.4,Foreground,0.980000
269_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:15:43,-83,13.8,Foreground,0.980000
269_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:15:43,-86,14.7,Foreground,0.980000
269_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:15:43,-87,17.6,Foreground,0.980000
714_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:15:43,-79,2.5,Foreground,0.980000
714_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-08-24 11:15:43,-74,3.2,Foreground,0.980000
714_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-08-24 11:15:43,-79,4.1,Foreground,0.980000
714_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-08-24 11:15:43,-78,4.9,Foreground,0.980000
714_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:15:43,-73,5.2,Foreground,0.980000
714_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:15:43,-91,10.7,Foreground,0.980000
714_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:15:43,-88,14.2,Foreground,0.980000
714_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:15:43,-88,20.7,Foreground,0.980000
714_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:15:43,-90,22.4,Foreground,0.980000
714_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:15:43,-90,24.5,Foreground,0.980000
714_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:15:43,-92,26.2,Foreground,0.980000
278_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171,2021-08-24 11:15:43,-75,4.0,Foreground,0.980000
278_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:15:43,-87,6.6,Foreground,0.980000
278_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:15:43,-90,9.1,Foreground,0.980000
278_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:15:43,-90,17.3,Foreground,0.980000
66_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:15:44,-75,4.2,Foreground,0.980000
66_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:15:44,-79,8.5,Foreground,0.980000
66_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:15:44,-95,46.4,Foreground,0.980000
