Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
786_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 13:03:51,-67,1.0,Foreground,0.680000
786_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 13:03:51,-93,50.7,Foreground,0.680000
724_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 13:03:51,-65,1.3,Foreground,0.680000
334_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 13:03:51,-73,1.5,Foreground,0.680000
334_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 13:03:51,-69,1.7,Foreground,0.680000
334_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 13:03:51,-69,2.0,Foreground,0.680000
334_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 13:03:51,-92,30.7,Foreground,0.680000
334_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,140,2021-08-24 13:03:51,-94,36.3,Foreground,0.680000
334_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,138,2021-08-24 13:03:51,-91,39.5,Foreground,0.680000
421_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 13:03:51,-70,2.2,Foreground,0.680000
421_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,143,2021-08-24 13:03:51,-91,34.3,Foreground,0.680000
686_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 13:03:52,-71,1.4,Foreground,0.680000
429_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 13:03:52,-67,1.3,Foreground,0.680000
429_B28E7807-3517-4048-90CD-29E4826AE511,141,2021-08-24 13:03:52,-89,33.6,Foreground,0.680000
627_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 13:03:52,-66,1.5,Foreground,0.680000
627_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 13:03:52,-70,1.7,Foreground,0.680000
666_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 13:03:52,-69,2.0,Foreground,0.680000
