Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
925_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 13:07:29,-62,0.7,Foreground,0.670000
839_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 13:07:29,-71,1.4,Foreground,0.670000
839_B28E7807-3517-4048-90CD-29E4826AE511,141,2021-08-24 13:07:29,-90,33.0,Foreground,0.670000
107_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 13:07:29,-63,0.7,Foreground,0.670000
107_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 13:07:29,-66,1.1,Foreground,0.670000
107_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 13:07:29,-72,1.8,Foreground,0.670000
107_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 13:07:29,-85,21.7,Foreground,0.670000
315_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 13:07:29,-69,1.3,Foreground,0.670000
315_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,143,2021-08-24 13:07:29,-86,20.2,Foreground,0.670000
968_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 13:07:31,-69,0.8,Foreground,0.670000
150_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 13:07:31,-69,1.5,Foreground,0.670000
150_B28E7807-3517-4048-90CD-29E4826AE511,141,2021-08-24 13:07:31,-91,32.6,Foreground,0.670000
140_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 13:07:31,-63,0.8,Foreground,0.670000
140_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 13:07:31,-71,0.9,Foreground,0.670000
140_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 13:07:31,-72,2.1,Foreground,0.670000
140_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 13:07:31,-88,20.9,Foreground,0.670000
783_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 13:07:31,-71,1.6,Foreground,0.670000
783_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,143,2021-08-24 13:07:31,-86,18.0,Foreground,0.670000
Rule 4
942_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 13:07:32,-75,1.0,Foreground,0.670000
942_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 13:07:32,-89,21.5,Foreground,0.670000
661_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 13:07:32,-66,1.4,Foreground,0.670000
661_B28E7807-3517-4048-90CD-29E4826AE511,141,2021-08-24 13:07:32,-92,32.5,Foreground,0.670000
557_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 13:07:32,-66,0.8,Foreground,0.670000
557_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 13:07:32,-73,1.1,Foreground,0.670000
557_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 13:07:32,-67,1.9,Foreground,0.670000
557_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,140,2021-08-24 13:07:32,-88,19.0,Foreground,0.670000
557_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 13:07:32,-89,20.9,Foreground,0.670000
796_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 13:07:32,-62,1.2,Foreground,0.670000
796_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,143,2021-08-24 13:07:32,-84,17.2,Foreground,0.670000
206_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 13:07:33,-69,1.2,Foreground,0.670000
206_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 13:07:33,-89,21.5,Foreground,0.670000
781_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 13:07:33,-62,1.0,Foreground,0.670000
781_B28E7807-3517-4048-90CD-29E4826AE511,141,2021-08-24 13:07:33,-92,32.4,Foreground,0.670000
429_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 13:07:33,-65,0.9,Foreground,0.670000
429_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 13:07:33,-73,1.3,Foreground,0.670000
429_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 13:07:33,-66,1.7,Foreground,0.670000
429_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 13:07:33,-79,17.6,Foreground,0.670000
429_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,140,2021-08-24 13:07:33,-89,19.8,Foreground,0.670000
429_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,138,2021-08-24 13:07:33,-94,35.5,Foreground,0.670000
925_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 13:07:33,-66,1.2,Foreground,0.670000
989_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 13:07:34,-68,1.3,Foreground,0.670000
989_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 13:07:34,-89,21.5,Foreground,0.670000
566_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 13:07:34,-62,0.9,Foreground,0.670000
374_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 13:07:34,-63,0.8,Foreground,0.670000
374_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 13:07:34,-67,1.3,Foreground,0.670000
374_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 13:07:34,-65,1.4,Foreground,0.670000
374_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 13:07:34,-85,17.1,Foreground,0.670000
374_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,140,2021-08-24 13:07:34,-89,20.2,Foreground,0.670000
756_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 13:07:34,-73,1.4,Foreground,0.670000
756_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,143,2021-08-24 13:07:34,-83,16.2,Foreground,0.670000
246_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 13:07:35,-67,1.3,Foreground,0.670000
246_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 13:07:35,-89,21.5,Foreground,0.670000
982_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 13:07:35,-64,0.9,Foreground,0.670000
540_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 13:07:35,-63,0.8,Foreground,0.670000
540_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 13:07:35,-63,1.1,Foreground,0.670000
540_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 13:07:35,-64,1.2,Foreground,0.670000
540_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 13:07:35,-80,15.3,Foreground,0.670000
540_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,138,2021-08-24 13:07:35,-88,33.2,Foreground,0.670000
402_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 13:07:35,-69,1.5,Foreground,0.670000
402_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,143,2021-08-24 13:07:35,-81,14.4,Foreground,0.670000
762_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 13:07:36,-69,1.4,Foreground,0.670000
762_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 13:07:36,-89,21.5,Foreground,0.670000
885_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 13:07:36,-64,0.9,Foreground,0.670000
667_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 13:07:36,-65,0.9,Foreground,0.670000
667_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 13:07:36,-64,1.0,Foreground,0.670000
667_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 13:07:36,-65,1.1,Foreground,0.670000
667_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 13:07:36,-86,15.2,Foreground,0.670000
667_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,140,2021-08-24 13:07:36,-88,19.9,Foreground,0.670000
667_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,138,2021-08-24 13:07:36,-88,31.1,Foreground,0.670000
555_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 13:07:36,-69,1.5,Foreground,0.670000
555_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,143,2021-08-24 13:07:36,-83,13.7,Foreground,0.670000
Rule 4
443_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 13:07:37,-68,1.4,Foreground,0.670000
443_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 13:07:37,-91,22.3,Foreground,0.670000
210_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 13:07:37,-63,0.8,Foreground,0.670000
210_B28E7807-3517-4048-90CD-29E4826AE511,141,2021-08-24 13:07:37,-88,30.8,Foreground,0.670000
254_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 13:07:37,-68,1.0,Foreground,0.670000
254_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 13:07:37,-64,1.1,Foreground,0.670000
254_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 13:07:37,-66,1.1,Foreground,0.670000
254_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 13:07:37,-94,16.1,Foreground,0.670000
254_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,140,2021-08-24 13:07:37,-87,19.2,Foreground,0.670000
254_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,138,2021-08-24 13:07:37,-92,31.1,Foreground,0.670000
783_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 13:07:37,-68,1.5,Foreground,0.670000
783_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,143,2021-08-24 13:07:37,-85,13.6,Foreground,0.670000
767_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 13:07:38,-71,1.6,Foreground,0.670000
767_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 13:07:38,-91,23.0,Foreground,0.670000
478_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 13:07:38,-63,0.8,Foreground,0.670000
478_B28E7807-3517-4048-90CD-29E4826AE511,141,2021-08-24 13:07:38,-89,29.0,Foreground,0.670000
218_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 13:07:38,-63,0.9,Foreground,0.670000
218_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 13:07:38,-68,1.2,Foreground,0.670000
218_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 13:07:38,-70,1.2,Foreground,0.670000
218_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 13:07:38,-88,16.3,Foreground,0.670000
218_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,140,2021-08-24 13:07:38,-87,18.7,Foreground,0.670000
218_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,138,2021-08-24 13:07:38,-91,30.8,Foreground,0.670000
657_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 13:07:38,-69,1.6,Foreground,0.670000
657_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,143,2021-08-24 13:07:38,-86,13.7,Foreground,0.670000
698_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 13:07:39,-71,1.7,Foreground,0.670000
698_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 13:07:39,-92,23.8,Foreground,0.670000
418_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 13:07:39,-64,0.8,Foreground,0.670000
418_B28E7807-3517-4048-90CD-29E4826AE511,141,2021-08-24 13:07:39,-89,27.8,Foreground,0.670000
