Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
96_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 13:08:59,-83,1.4,Foreground,0.670000
96_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 13:08:59,-88,26.0,Foreground,0.670000
180_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 13:08:59,-67,0.9,Foreground,0.670000
180_B28E7807-3517-4048-90CD-29E4826AE511,141,2021-08-24 13:08:59,-89,27.7,Foreground,0.670000
416_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 13:08:59,-63,0.8,Foreground,0.670000
416_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 13:08:59,-71,1.3,Foreground,0.670000
416_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 13:08:59,-72,1.5,Foreground,0.670000
416_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 13:08:59,-85,20.3,Foreground,0.670000
416_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,140,2021-08-24 13:08:59,-86,30.5,Foreground,0.670000
416_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,138,2021-08-24 13:08:59,-90,30.6,Foreground,0.670000
804_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 13:08:59,-66,1.5,Foreground,0.670000
804_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,143,2021-08-24 13:08:59,-83,18.0,Foreground,0.670000
719_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 13:09:00,-70,1.5,Foreground,0.670000
719_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 13:09:00,-93,26.7,Foreground,0.670000
519_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 13:09:00,-72,1.3,Foreground,0.670000
975_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 13:09:00,-61,0.7,Foreground,0.670000
975_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 13:09:00,-72,1.7,Foreground,0.670000
975_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 13:09:00,-81,1.7,Foreground,0.670000
