Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
967_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-08-24 12:48:37,-71,1.9,Foreground,0.770000
471_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-08-24 12:48:37,-82,4.0,Foreground,0.770000
471_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 12:48:37,-88,27.2,Foreground,0.770000
208_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-08-24 12:48:37,-71,2.0,Foreground,0.770000
208_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-08-24 12:48:37,-78,2.9,Foreground,0.770000
208_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-08-24 12:48:37,-77,4.3,Foreground,0.770000
208_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 12:48:37,-89,11.0,Foreground,0.770000
208_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 12:48:37,-89,19.9,Foreground,0.770000
208_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 12:48:37,-94,47.4,Foreground,0.770000
558_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-08-24 12:48:37,-74,3.0,Foreground,0.770000
558_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 12:48:37,-92,11.5,Foreground,0.770000
558_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 12:48:37,-93,48.0,Foreground,0.770000
454_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-08-24 12:48:38,-69,1.9,Foreground,0.770000
994_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-08-24 12:48:38,-81,4.4,Foreground,0.770000
994_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 12:48:38,-88,26.1,Foreground,0.770000
617_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-08-24 12:48:38,-71,2.1,Foreground,0.770000
617_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-08-24 12:48:38,-78,3.4,Foreground,0.770000
617_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-08-24 12:48:38,-73,3.7,Foreground,0.770000
617_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 12:48:38,-88,12.2,Foreground,0.770000
617_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 12:48:38,-89,20.2,Foreground,0.770000
617_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 12:48:38,-91,22.2,Foreground,0.770000
280_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-08-24 12:48:38,-75,3.0,Foreground,0.770000
280_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 12:48:38,-85,12.5,Foreground,0.770000
280_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 12:48:38,-93,44.6,Foreground,0.770000
Rule 4
582_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-08-24 12:48:39,-78,4.6,Foreground,0.770000
460_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-08-24 12:48:39,-75,2.3,Foreground,0.770000
460_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-08-24 12:48:39,-75,3.5,Foreground,0.770000
460_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-08-24 12:48:39,-77,3.8,Foreground,0.770000
460_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 12:48:39,-85,19.3,Foreground,0.770000
460_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 12:48:39,-90,22.7,Foreground,0.770000
911_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-08-24 12:48:39,-75,3.1,Foreground,0.770000
911_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 12:48:39,-84,12.4,Foreground,0.770000
911_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 12:48:39,-95,44.8,Foreground,0.770000
560_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-08-24 12:48:40,-73,2.1,Foreground,0.770000
459_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-08-24 12:48:40,-72,3.9,Foreground,0.770000
459_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 12:48:40,-90,25.9,Foreground,0.770000
