Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
946_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-08-24 12:53:39,-81,7.2,Foreground,0.740000
946_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 12:53:39,-79,11.4,Foreground,0.740000
270_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-08-24 12:53:39,-75,2.4,Foreground,0.740000
270_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 12:53:39,-88,27.3,Foreground,0.740000
270_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 12:53:39,-91,27.8,Foreground,0.740000
581_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-08-24 12:53:39,-72,3.2,Foreground,0.740000
581_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-08-24 12:53:39,-78,3.5,Foreground,0.740000
581_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-08-24 12:53:39,-75,4.5,Foreground,0.740000
581_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 12:53:39,-79,11.1,Foreground,0.740000
581_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 12:53:39,-81,17.3,Foreground,0.740000
581_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 12:53:39,-85,23.0,Foreground,0.740000
581_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 12:53:39,-94,31.5,Foreground,0.740000
581_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 12:53:39,-95,46.4,Foreground,0.740000
882_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-08-24 12:53:39,-81,2.1,Foreground,0.740000
882_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 12:53:39,-88,31.0,Foreground,0.740000
97_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-08-24 12:53:41,-77,6.8,Foreground,0.740000
97_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 12:53:41,-87,10.7,Foreground,0.740000
539_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-08-24 12:53:41,-74,2.6,Foreground,0.740000
539_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 12:53:41,-88,25.7,Foreground,0.740000
691_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-08-24 12:53:41,-71,2.7,Foreground,0.740000
691_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-08-24 12:53:41,-75,4.0,Foreground,0.740000
691_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-08-24 12:53:41,-75,4.0,Foreground,0.740000
691_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 12:53:41,-88,9.1,Foreground,0.740000
