Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
530_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:52:16,-72,2.6,Foreground,0.850000
530_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:52:16,-83,10.9,Foreground,0.850000
706_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:52:16,-62,0.6,Foreground,0.850000
706_B28E7807-3517-4048-90CD-29E4826AE511,169,2021-08-24 11:52:16,-85,12.6,Foreground,0.850000
706_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:52:16,-92,20.6,Foreground,0.850000
188_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:52:16,-61,0.6,Foreground,0.850000
188_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:52:16,-67,1.0,Foreground,0.850000
188_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-08-24 11:52:16,-87,13.5,Foreground,0.850000
188_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-08-24 11:52:16,-86,14.0,Foreground,0.850000
188_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-08-24 11:52:16,-92,14.0,Foreground,0.850000
188_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:52:16,-89,27.6,Foreground,0.850000
188_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:52:16,-91,29.8,Foreground,0.850000
356_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:52:16,-68,0.7,Foreground,0.850000
356_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:52:16,-90,15.1,Foreground,0.850000
284_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:52:17,-66,1.8,Foreground,0.850000
948_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:52:17,-61,0.6,Foreground,0.850000
496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:52:17,-60,0.7,Foreground,0.850000
496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:52:17,-86,5.4,Foreground,0.850000
496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-08-24 11:52:17,-87,14.4,Foreground,0.850000
496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-08-24 11:52:17,-87,15.1,Foreground,0.850000
496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:52:17,-91,29.2,Foreground,0.850000
985_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:52:17,-67,1.1,Foreground,0.850000
985_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171,2021-08-24 11:52:17,-87,14.1,Foreground,0.850000
985_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:52:17,-89,17.7,Foreground,0.850000
Rule 4
529_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:52:18,-67,1.6,Foreground,0.850000
384_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:52:18,-61,0.6,Foreground,0.850000
384_B28E7807-3517-4048-90CD-29E4826AE511,169,2021-08-24 11:52:18,-83,12.1,Foreground,0.850000
384_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:52:18,-92,24.2,Foreground,0.850000
519_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:52:18,-61,0.6,Foreground,0.850000
519_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:52:18,-60,0.6,Foreground,0.850000
519_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:52:18,-89,19.7,Foreground,0.850000
519_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:52:18,-92,29.4,Foreground,0.850000
76_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:52:18,-67,1.1,Foreground,0.850000
628_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:52:19,-72,1.8,Foreground,0.850000
628_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:52:19,-87,11.4,Foreground,0.850000
628_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:52:19,-93,30.0,Foreground,0.850000
894_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:52:19,-60,0.6,Foreground,0.850000
894_B28E7807-3517-4048-90CD-29E4826AE511,169,2021-08-24 11:52:19,-82,11.3,Foreground,0.850000
894_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:52:19,-87,22.2,Foreground,0.850000
894_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:52:19,-87,25.8,Foreground,0.850000
444_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:52:19,-60,0.6,Foreground,0.850000
444_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:52:19,-61,0.6,Foreground,0.850000
