Device:,Pixel XL
OS version:,10
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
797_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:29:25,-63,0.731597,Foreground,0.930000
347_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:29:25,-80,2.331154,Foreground,0.930000
386_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:29:27,-55,0.188145,Foreground,0.930000
386_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:29:27,-64,0.856379,Foreground,0.930000
858_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:29:28,-58,0.319997,Foreground,0.940000
858_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:29:28,-71,1.097042,Foreground,0.940000
============================================================
316_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:29:29,-48,0.048226,Foreground,0.940000
146_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:29:30,-69,1.187304,Foreground,0.940000
194_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:29:32,-54,0.156604,Foreground,0.940000
194_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:29:32,-67,1.069498,Foreground,0.940000
194_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:29:32,-77,1.915748,Foreground,0.940000
516_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:29:32,-54,0.156604,Foreground,0.940000
91_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:29:35,-48,0.048226,Foreground,0.940000
127_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:29:36,-46,0.031510,Foreground,0.940000
429_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:29:37,-65,0.205966,Foreground,0.940000
429_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:29:37,-86,3.493897,Foreground,0.940000
4_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:29:37,-81,2.491716,Foreground,0.940000
385_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:29:38,-64,1.448791,Foreground,0.940000
45_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:29:41,-57,0.268915,Foreground,0.940000
664_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:29:43,-63,0.731597,Foreground,0.940000
458_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:29:43,-66,1.017953,Foreground,0.940000
458_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:29:43,-83,2.850302,Foreground,0.940000
311_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:29:44,-66,1.017953,Foreground,0.940000
559_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:29:44,-82,2.664510,Foreground,0.940000
199_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:29:45,-86,3.493897,Foreground,0.940000
874_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:29:45,-86,3.493897,Foreground,0.940000
740_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:29:47,-92,5.253466,Foreground,0.940000
520_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:29:48,-90,4.909544,Foreground,0.940000
314_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:29:48,-87,3.740113,Foreground,0.940000
668_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170,2021-08-24 11:29:49,-92,5.253466,Foreground,0.940000
143_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:29:50,-92,5.253466,Foreground,0.940000
1_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:29:50,-54,0.156604,Foreground,0.940000
1_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:29:50,-77,1.915748,Foreground,0.940000
516_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:29:51,-73,1.492753,Foreground,0.940000
562_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:29:52,-52,0.107374,Foreground,0.940000
498_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170,2021-08-24 11:29:53,-79,2.182096,Foreground,0.940000
59_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:29:53,-78,2.043847,Foreground,0.940000
654_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:30:00,-68,1.125826,Foreground,0.940000
896_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:30:00,-75,1.687518,Foreground,0.940000
389_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:30:01,-88,4.003749,Foreground,0.940000
776_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:30:02,-70,1.254315,Foreground,0.940000
776_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:30:02,-85,2.331154,Foreground,0.940000
520_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:30:03,-66,1.017953,Foreground,0.940000
676_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:30:03,-51,0.088424,Foreground,0.940000
676_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:30:03,-72,1.406595,Foreground,0.940000
147_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:30:03,-66,1.017953,Foreground,0.940000
147_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:30:03,-72,1.406595,Foreground,0.940000
