,UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY,UID_new
0,530_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147.0,2021-08-24 11:52:16,-72.0,2.6,Foreground,0.85,146.0
1,530_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167.0,2021-08-24 11:52:16,-83.0,10.9,Foreground,0.85,166.0
2,706_B28E7807-3517-4048-90CD-29E4826AE511,149.0,2021-08-24 11:52:16,-62.0,0.6,Foreground,0.85,148.0
3,706_B28E7807-3517-4048-90CD-29E4826AE511,169.0,2021-08-24 11:52:16,-85.0,12.6,Foreground,0.85,168.0
4,706_B28E7807-3517-4048-90CD-29E4826AE511,155.0,2021-08-24 11:52:16,-92.0,20.6,Foreground,0.85,154.0
5,188_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148.0,2021-08-24 11:52:16,-61.0,0.6,Foreground,0.85,148.0
6,188_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150.0,2021-08-24 11:52:16,-67.0,1.0,Foreground,0.85,150.0
7,188_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168.0,2021-08-24 11:52:16,-87.0,13.5,Foreground,0.85,168.0
8,188_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170.0,2021-08-24 11:52:16,-86.0,14.0,Foreground,0.85,170.0
9,188_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166.0,2021-08-24 11:52:16,-92.0,14.0,Foreground,0.85,166.0
10,188_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164.0,2021-08-24 11:52:16,-89.0,27.6,Foreground,0.85,164.0
11,188_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162.0,2021-08-24 11:52:16,-91.0,29.8,Foreground,0.85,162.0
12,356_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151.0,2021-08-24 11:52:16,-68.0,0.7,Foreground,0.85,150.0
13,356_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157.0,2021-08-24 11:52:16,-90.0,15.1,Foreground,0.85,156.0
14,284_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147.0,2021-08-24 11:52:17,-66.0,1.8,Foreground,0.85,146.0
15,948_B28E7807-3517-4048-90CD-29E4826AE511,149.0,2021-08-24 11:52:17,-61.0,0.6,Foreground,0.85,148.0
16,496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150.0,2021-08-24 11:52:17,-60.0,0.7,Foreground,0.85,150.0
17,496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146.0,2021-08-24 11:52:17,-86.0,5.4,Foreground,0.85,146.0
18,496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168.0,2021-08-24 11:52:17,-87.0,14.4,Foreground,0.85,168.0
19,496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166.0,2021-08-24 11:52:17,-87.0,15.1,Foreground,0.85,166.0
20,496_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162.0,2021-08-24 11:52:17,-91.0,29.2,Foreground,0.85,162.0
21,985_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151.0,2021-08-24 11:52:17,-67.0,1.1,Foreground,0.85,150.0
22,985_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171.0,2021-08-24 11:52:17,-87.0,14.1,Foreground,0.85,170.0
23,985_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157.0,2021-08-24 11:52:17,-89.0,17.7,Foreground,0.85,156.0
24,Rule 4,,,,,,,
25,529_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147.0,2021-08-24 11:52:18,-67.0,1.6,Foreground,0.85,146.0
26,384_B28E7807-3517-4048-90CD-29E4826AE511,149.0,2021-08-24 11:52:18,-61.0,0.6,Foreground,0.85,148.0
27,384_B28E7807-3517-4048-90CD-29E4826AE511,169.0,2021-08-24 11:52:18,-83.0,12.1,Foreground,0.85,168.0
28,384_B28E7807-3517-4048-90CD-29E4826AE511,155.0,2021-08-24 11:52:18,-92.0,24.2,Foreground,0.85,154.0
29,519_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148.0,2021-08-24 11:52:18,-61.0,0.6,Foreground,0.85,148.0
30,519_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150.0,2021-08-24 11:52:18,-60.0,0.6,Foreground,0.85,150.0
31,519_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154.0,2021-08-24 11:52:18,-89.0,19.7,Foreground,0.85,154.0
32,519_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162.0,2021-08-24 11:52:18,-92.0,29.4,Foreground,0.85,162.0
33,76_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151.0,2021-08-24 11:52:18,-67.0,1.1,Foreground,0.85,150.0
34,628_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147.0,2021-08-24 11:52:19,-72.0,1.8,Foreground,0.85,146.0
35,628_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167.0,2021-08-24 11:52:19,-87.0,11.4,Foreground,0.85,166.0
36,628_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161.0,2021-08-24 11:52:19,-93.0,30.0,Foreground,0.85,160.0
37,894_B28E7807-3517-4048-90CD-29E4826AE511,149.0,2021-08-24 11:52:19,-60.0,0.6,Foreground,0.85,148.0
38,894_B28E7807-3517-4048-90CD-29E4826AE511,169.0,2021-08-24 11:52:19,-82.0,11.3,Foreground,0.85,168.0
39,894_B28E7807-3517-4048-90CD-29E4826AE511,155.0,2021-08-24 11:52:19,-87.0,22.2,Foreground,0.85,154.0
40,894_B28E7807-3517-4048-90CD-29E4826AE511,163.0,2021-08-24 11:52:19,-87.0,25.8,Foreground,0.85,162.0
41,444_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150.0,2021-08-24 11:52:19,-60.0,0.6,Foreground,0.85,150.0
42,444_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148.0,2021-08-24 11:52:19,-61.0,0.6,Foreground,0.85,148.0
43,444_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146.0,2021-08-24 11:52:19,-71.0,4.2,Foreground,0.85,146.0
44,444_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166.0,2021-08-24 11:52:19,-85.0,14.7,Foreground,0.85,166.0
45,444_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156.0,2021-08-24 11:52:19,-92.0,15.6,Foreground,0.85,156.0
46,444_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170.0,2021-08-24 11:52:19,-89.0,16.1,Foreground,0.85,170.0
47,444_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154.0,2021-08-24 11:52:19,-90.0,20.4,Foreground,0.85,154.0
48,444_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160.0,2021-08-24 11:52:19,-93.0,39.9,Foreground,0.85,160.0
49,41_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151.0,2021-08-24 11:52:19,-66.0,1.1,Foreground,0.85,150.0
50,41_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171.0,2021-08-24 11:52:19,-86.0,14.1,Foreground,0.85,170.0
51,44_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147.0,2021-08-24 11:52:20,-67.0,1.6,Foreground,0.85,146.0
52,44_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167.0,2021-08-24 11:52:20,-87.0,12.3,Foreground,0.85,166.0
53,44_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161.0,2021-08-24 11:52:20,-93.0,31.9,Foreground,0.85,160.0
54,627_B28E7807-3517-4048-90CD-29E4826AE511,149.0,2021-08-24 11:52:20,-59.0,0.5,Foreground,0.85,148.0
55,627_B28E7807-3517-4048-90CD-29E4826AE511,169.0,2021-08-24 11:52:20,-82.0,10.8,Foreground,0.85,168.0
56,627_B28E7807-3517-4048-90CD-29E4826AE511,155.0,2021-08-24 11:52:20,-87.0,21.0,Foreground,0.85,154.0
57,627_B28E7807-3517-4048-90CD-29E4826AE511,163.0,2021-08-24 11:52:20,-87.0,22.3,Foreground,0.85,162.0
58,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148.0,2021-08-24 11:52:20,-58.0,0.5,Foreground,0.85,148.0
59,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150.0,2021-08-24 11:52:20,-72.0,0.9,Foreground,0.85,150.0
60,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146.0,2021-08-24 11:52:20,-71.0,3.4,Foreground,0.85,146.0
61,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168.0,2021-08-24 11:52:20,-81.0,13.1,Foreground,0.85,168.0
62,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166.0,2021-08-24 11:52:20,-85.0,14.4,Foreground,0.85,166.0
63,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156.0,2021-08-24 11:52:20,-88.0,16.3,Foreground,0.85,156.0
64,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170.0,2021-08-24 11:52:20,-89.0,16.7,Foreground,0.85,170.0
65,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154.0,2021-08-24 11:52:20,-92.0,21.6,Foreground,0.85,154.0
