,UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY,UID_new
0,765_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167.0,2021-08-24 11:14:40,-92.0,5.253466,Foreground,0.44,166.0
1,405_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:14:40,-63.0,1.187304,Foreground,0.44,146.0
2,460_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162.0,2021-08-24 11:14:41,-86.0,3.493897,Foreground,0.44,162.0
3,460_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170.0,2021-08-24 11:14:41,-97.0,7.343651,Foreground,0.44,170.0
4,236_b28e7807-3517-4048-90cd-29e4826ae511,149.0,2021-08-24 11:14:43,-68.0,1.125826,Foreground,0.44,148.0
5,81_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:14:44,-63.0,0.731597,Foreground,0.44,146.0
6,588_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153.0,2021-08-24 11:14:45,-94.0,6.011473,Foreground,0.44,152.0
7,621_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:14:45,-62.0,0.623424,Foreground,0.44,146.0
8,33_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,165.0,2021-08-24 11:14:45,-94.0,6.011473,Foreground,0.44,164.0
9,456_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151.0,2021-08-24 11:14:46,-68.0,1.125826,Foreground,0.44,150.0
10,============================================================,,,,,,,
11,32_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153.0,2021-08-24 11:14:48,-84.0,4.285818,Foreground,0.44,152.0
12,843_b28e7807-3517-4048-90cd-29e4826ae511,149.0,2021-08-24 11:14:48,-60.0,0.449137,Foreground,0.44,148.0
13,635_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153.0,2021-08-24 11:15:01,-84.0,3.049896,Foreground,0.44,152.0
14,140_b28e7807-3517-4048-90cd-29e4826ae511,155.0,2021-08-24 11:15:01,-83.0,2.850302,Foreground,0.44,154.0
15,308_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:15:01,-63.0,0.731597,Foreground,0.44,150.0
16,308_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:15:01,-73.0,1.492753,Foreground,0.44,146.0
17,308_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,160.0,2021-08-24 11:15:01,-92.0,5.253466,Foreground,0.44,160.0
18,75_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157.0,2021-08-24 11:15:01,-80.0,2.331154,Foreground,0.44,156.0
19,803_b28e7807-3517-4048-90cd-29e4826ae511,155.0,2021-08-24 11:15:03,-94.0,4.142414,Foreground,0.44,154.0
20,695_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:15:03,-79.0,1.327268,Foreground,0.44,150.0
21,986_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151.0,2021-08-24 11:15:04,-64.0,0.856379,Foreground,0.44,150.0
22,463_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:15:06,-80.0,2.331154,Foreground,0.44,150.0
23,444_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:15:07,-78.0,2.043847,Foreground,0.44,146.0
24,341_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152.0,2021-08-24 11:15:07,-82.0,2.66451,Foreground,0.44,152.0
