,UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY,UID_new
0,470_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147.0,2021-08-24 11:29:26,-61.0,1.1,Foreground,0.94,146.0
1,65_B28E7807-3517-4048-90CD-29E4826AE511,149.0,2021-08-24 11:29:26,-62.0,0.9,Foreground,0.94,148.0
2,592_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148.0,2021-08-24 11:29:26,-63.0,0.7,Foreground,0.94,148.0
3,592_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146.0,2021-08-24 11:29:26,-62.0,1.0,Foreground,0.94,146.0
4,592_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150.0,2021-08-24 11:29:26,-75.0,6.1,Foreground,0.94,150.0
5,592_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154.0,2021-08-24 11:29:26,-90.0,24.5,Foreground,0.94,154.0
6,592_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152.0,2021-08-24 11:29:26,-89.0,35.6,Foreground,0.94,152.0
7,889_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151.0,2021-08-24 11:29:26,-71.0,3.9,Foreground,0.94,150.0
8,Rule 4,,,,,,,
9,466_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153.0,2021-08-24 11:29:28,-89.0,21.5,Foreground,0.94,152.0
10,466_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167.0,2021-08-24 11:29:28,-89.0,21.7,Foreground,0.94,166.0
11,592_B28E7807-3517-4048-90CD-29E4826AE511,149.0,2021-08-24 11:29:28,-67.0,1.0,Foreground,0.94,148.0
12,592_B28E7807-3517-4048-90CD-29E4826AE511,163.0,2021-08-24 11:29:28,-85.0,12.9,Foreground,0.94,162.0
13,592_B28E7807-3517-4048-90CD-29E4826AE511,169.0,2021-08-24 11:29:28,-92.0,29.6,Foreground,0.94,168.0
14,452_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146.0,2021-08-24 11:29:28,-63.0,0.8,Foreground,0.94,146.0
15,452_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148.0,2021-08-24 11:29:28,-69.0,1.0,Foreground,0.94,148.0
16,452_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150.0,2021-08-24 11:29:28,-62.0,2.9,Foreground,0.94,150.0
17,452_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162.0,2021-08-24 11:29:28,-87.0,16.7,Foreground,0.94,162.0
18,452_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166.0,2021-08-24 11:29:28,-86.0,18.7,Foreground,0.94,166.0
19,452_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168.0,2021-08-24 11:29:28,-85.0,21.4,Foreground,0.94,168.0
20,452_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156.0,2021-08-24 11:29:28,-89.0,21.5,Foreground,0.94,156.0
21,452_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152.0,2021-08-24 11:29:28,-93.0,32.3,Foreground,0.94,152.0
22,157_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151.0,2021-08-24 11:29:28,-57.0,1.5,Foreground,0.94,150.0
23,157_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171.0,2021-08-24 11:29:28,-80.0,6.8,Foreground,0.94,170.0
24,Rule 4,,,,,,,
25,724_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167.0,2021-08-24 11:29:29,-80.0,13.3,Foreground,0.94,166.0
26,724_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153.0,2021-08-24 11:29:29,-89.0,21.5,Foreground,0.94,152.0
27,490_B28E7807-3517-4048-90CD-29E4826AE511,149.0,2021-08-24 11:29:29,-70.0,1.3,Foreground,0.94,148.0
28,490_B28E7807-3517-4048-90CD-29E4826AE511,155.0,2021-08-24 11:29:29,-88.0,19.0,Foreground,0.94,154.0
29,87_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146.0,2021-08-24 11:29:29,-62.0,0.8,Foreground,0.94,146.0
30,87_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148.0,2021-08-24 11:29:29,-66.0,1.1,Foreground,0.94,148.0
31,87_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150.0,2021-08-24 11:29:29,-63.0,1.8,Foreground,0.94,150.0
32,87_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166.0,2021-08-24 11:29:29,-85.0,17.1,Foreground,0.94,166.0
