,UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY,UID_new
0,797_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148.0,2021-08-24 11:29:25,-63.0,0.731597,Foreground,0.93,148.0
1,347_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171.0,2021-08-24 11:29:25,-80.0,2.331154,Foreground,0.93,170.0
2,386_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:29:27,-55.0,0.188145,Foreground,0.93,146.0
3,386_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166.0,2021-08-24 11:29:27,-64.0,0.856379,Foreground,0.93,166.0
4,858_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:29:28,-58.0,0.319997,Foreground,0.94,146.0
5,858_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166.0,2021-08-24 11:29:28,-71.0,1.097042,Foreground,0.94,166.0
6,============================================================,,,,,,,
7,316_b28e7807-3517-4048-90cd-29e4826ae511,149.0,2021-08-24 11:29:29,-48.0,0.048226,Foreground,0.94,148.0
8,146_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:29:30,-69.0,1.187304,Foreground,0.94,146.0
9,194_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:29:32,-54.0,0.156604,Foreground,0.94,146.0
10,194_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166.0,2021-08-24 11:29:32,-67.0,1.069498,Foreground,0.94,166.0
11,194_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152.0,2021-08-24 11:29:32,-77.0,1.915748,Foreground,0.94,152.0
12,516_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151.0,2021-08-24 11:29:32,-54.0,0.156604,Foreground,0.94,150.0
13,91_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:29:35,-48.0,0.048226,Foreground,0.94,146.0
14,127_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:29:36,-46.0,0.03151,Foreground,0.94,146.0
15,429_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:29:37,-65.0,0.205966,Foreground,0.94,146.0
16,429_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167.0,2021-08-24 11:29:37,-86.0,3.493897,Foreground,0.94,166.0
17,4_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166.0,2021-08-24 11:29:37,-81.0,2.491716,Foreground,0.94,166.0
18,385_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166.0,2021-08-24 11:29:38,-64.0,1.448791,Foreground,0.94,166.0
19,45_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151.0,2021-08-24 11:29:41,-57.0,0.268915,Foreground,0.94,150.0
20,664_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:29:43,-63.0,0.731597,Foreground,0.94,146.0
21,458_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148.0,2021-08-24 11:29:43,-66.0,1.017953,Foreground,0.94,148.0
22,458_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156.0,2021-08-24 11:29:43,-83.0,2.850302,Foreground,0.94,156.0
23,311_b28e7807-3517-4048-90cd-29e4826ae511,149.0,2021-08-24 11:29:44,-66.0,1.017953,Foreground,0.94,148.0
24,559_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157.0,2021-08-24 11:29:44,-82.0,2.66451,Foreground,0.94,156.0
25,199_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167.0,2021-08-24 11:29:45,-86.0,3.493897,Foreground,0.94,166.0
26,874_b28e7807-3517-4048-90cd-29e4826ae511,155.0,2021-08-24 11:29:45,-86.0,3.493897,Foreground,0.94,154.0
27,740_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154.0,2021-08-24 11:29:47,-92.0,5.253466,Foreground,0.94,154.0
28,520_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154.0,2021-08-24 11:29:48,-90.0,4.909544,Foreground,0.94,154.0
29,314_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171.0,2021-08-24 11:29:48,-87.0,3.740113,Foreground,0.94,170.0
30,668_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170.0,2021-08-24 11:29:49,-92.0,5.253466,Foreground,0.94,170.0
31,143_b28e7807-3517-4048-90cd-29e4826ae511,169.0,2021-08-24 11:29:50,-92.0,5.253466,Foreground,0.94,168.0
32,1_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148.0,2021-08-24 11:29:50,-54.0,0.156604,Foreground,0.94,148.0
33,1_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:29:50,-77.0,1.915748,Foreground,0.94,150.0
34,516_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:29:51,-73.0,1.492753,Foreground,0.94,146.0
35,562_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:29:52,-52.0,0.107374,Foreground,0.94,146.0
36,498_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170.0,2021-08-24 11:29:53,-79.0,2.182096,Foreground,0.94,170.0
37,59_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151.0,2021-08-24 11:29:53,-78.0,2.043847,Foreground,0.94,150.0
38,654_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167.0,2021-08-24 11:30:00,-68.0,1.125826,Foreground,0.94,166.0
39,896_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166.0,2021-08-24 11:30:00,-75.0,1.687518,Foreground,0.94,166.0
40,389_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157.0,2021-08-24 11:30:01,-88.0,4.003749,Foreground,0.94,156.0
41,776_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:30:02,-70.0,1.254315,Foreground,0.94,146.0
42,776_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166.0,2021-08-24 11:30:02,-85.0,2.331154,Foreground,0.94,166.0
43,520_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:30:03,-66.0,1.017953,Foreground,0.94,146.0
44,676_b28e7807-3517-4048-90cd-29e4826ae511,149.0,2021-08-24 11:30:03,-51.0,0.088424,Foreground,0.94,148.0
45,676_b28e7807-3517-4048-90cd-29e4826ae511,155.0,2021-08-24 11:30:03,-72.0,1.406595,Foreground,0.94,154.0
46,147_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:30:03,-66.0,1.017953,Foreground,0.94,150.0
47,147_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148.0,2021-08-24 11:30:03,-72.0,1.406595,Foreground,0.94,148.0
48,647_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151.0,2021-08-24 11:30:03,-69.0,1.187304,Foreground,0.94,150.0
49,647_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157.0,2021-08-24 11:30:03,-79.0,2.948322,Foreground,0.94,156.0
50,647_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171.0,2021-08-24 11:30:03,-89.0,4.285818,Foreground,0.94,170.0
51,Rule 4 ,,,,,,,
52,615_b28e7807-3517-4048-90cd-29e4826ae511,169.0,2021-08-24 11:30:07,-87.0,3.740113,Foreground,0.94,168.0
53,590_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:30:09,-62.0,0.623424,Foreground,0.94,146.0
54,587_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148.0,2021-08-24 11:30:09,-78.0,2.043847,Foreground,0.94,148.0
55,906_b28e7807-3517-4048-90cd-29e4826ae511,149.0,2021-08-24 11:30:10,-66.0,1.017953,Foreground,0.94,148.0
56,515_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:30:10,-76.0,1.79717,Foreground,0.94,146.0
57,751_b28e7807-3517-4048-90cd-29e4826ae511,169.0,2021-08-24 11:30:11,-68.0,1.125826,Foreground,0.94,168.0
58,751_b28e7807-3517-4048-90cd-29e4826ae511,163.0,2021-08-24 11:30:11,-85.0,3.264133,Foreground,0.94,162.0
59,407_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:30:12,-74.0,1.586224,Foreground,0.94,146.0
60,595_b28e7807-3517-4048-90cd-29e4826ae511,169.0,2021-08-24 11:30:12,-84.0,1.79717,Foreground,0.94,168.0
61,32_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148.0,2021-08-24 11:30:12,-68.0,1.125826,Foreground,0.94,148.0
62,32_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164.0,2021-08-24 11:30:12,-89.0,4.285818,Foreground,0.94,164.0
63,675_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:30:13,-43.0,0.348678,Foreground,0.94,146.0
64,450_b28e7807-3517-4048-90cd-29e4826ae511,149.0,2021-08-24 11:30:13,-64.0,0.856379,Foreground,0.94,148.0
65,450_b28e7807-3517-4048-90cd-29e4826ae511,155.0,2021-08-24 11:30:13,-85.0,3.264133,Foreground,0.94,154.0
66,240_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:30:13,-64.0,0.856379,Foreground,0.94,146.0
67,240_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:30:13,-68.0,1.125826,Foreground,0.94,150.0
68,240_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166.0,2021-08-24 11:30:13,-76.0,1.79717,Foreground,0.94,166.0
69,729_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151.0,2021-08-24 11:30:13,-78.0,1.043149,Foreground,0.94,150.0
70,729_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157.0,2021-08-24 11:30:13,-84.0,3.049896,Foreground,0.94,156.0
71,841_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153.0,2021-08-24 11:30:14,-87.0,3.740113,Foreground,0.94,152.0
72,883_b28e7807-3517-4048-90cd-29e4826ae511,149.0,2021-08-24 11:30:14,-65.0,0.856379,Foreground,0.94,148.0
73,879_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:30:14,-64.0,0.856379,Foreground,0.94,146.0
74,879_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148.0,2021-08-24 11:30:15,-63.0,0.993867,Foreground,0.94,148.0
75,879_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:30:15,-68.0,1.125826,Foreground,0.94,150.0
76,Rule 4 ,,,,,,,
77,221_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:30:15,-71.0,0.268915,Foreground,0.94,146.0
78,327_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:30:15,-66.0,1.125826,Foreground,0.94,150.0
79,327_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170.0,2021-08-24 11:30:15,-88.0,4.003749,Foreground,0.94,170.0
80,383_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:30:16,-61.0,1.017953,Foreground,0.94,146.0
81,604_b28e7807-3517-4048-90cd-29e4826ae511,149.0,2021-08-24 11:30:17,-74.0,1.220093,Foreground,0.94,148.0
82,705_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157.0,2021-08-24 11:30:17,-74.0,1.586224,Foreground,0.94,156.0
83,168_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:30:18,-62.0,0.856379,Foreground,0.94,150.0
84,168_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156.0,2021-08-24 11:30:18,-81.0,2.491716,Foreground,0.94,156.0
85,168_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,168.0,2021-08-24 11:30:18,-84.0,3.049896,Foreground,0.94,168.0
86,168_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154.0,2021-08-24 11:30:18,-89.0,4.285818,Foreground,0.94,154.0
87,890_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171.0,2021-08-24 11:30:18,-82.0,2.66451,Foreground,0.94,170.0
88,890_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,165.0,2021-08-24 11:30:18,-90.0,4.587381,Foreground,0.94,164.0
89,17_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148.0,2021-08-24 11:30:19,-61.0,0.529864,Foreground,0.94,148.0
90,17_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:30:19,-75.0,1.155898,Foreground,0.94,150.0
91,597_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157.0,2021-08-24 11:30:19,-71.0,1.448791,Foreground,0.94,156.0
92,57_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,168.0,2021-08-24 11:30:20,-76.0,1.79717,Foreground,0.94,168.0
93,434_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:30:23,-64.0,0.856379,Foreground,0.94,146.0
94,434_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167.0,2021-08-24 11:30:23,-80.0,2.331154,Foreground,0.94,166.0
95,516_b28e7807-3517-4048-90cd-29e4826ae511,149.0,2021-08-24 11:30:23,-56.0,0.225292,Foreground,0.94,148.0
96,664_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164.0,2021-08-24 11:30:24,-88.0,4.003749,Foreground,0.94,164.0
97,811_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161.0,2021-08-24 11:30:25,-89.0,4.285818,Foreground,0.94,160.0
98,144_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:30:25,-68.0,1.125826,Foreground,0.94,150.0
99,144_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154.0,2021-08-24 11:30:25,-84.0,3.049896,Foreground,0.94,154.0
100,676_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161.0,2021-08-24 11:30:27,-90.0,4.434095,Foreground,0.94,160.0
101,532_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:30:27,-67.0,0.993867,Foreground,0.94,146.0
102,702_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:30:28,-63.0,0.856379,Foreground,0.94,146.0
103,702_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166.0,2021-08-24 11:30:28,-80.0,2.331154,Foreground,0.94,166.0
104,599_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171.0,2021-08-24 11:30:28,-83.0,2.850302,Foreground,0.94,170.0
105,497_b28e7807-3517-4048-90cd-29e4826ae511,169.0,2021-08-24 11:30:29,-85.0,3.264133,Foreground,0.94,168.0
