Device:,SM-G9650
OS version:,8.0.0
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
926_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:13:15,-64,0.856379,Foreground,0.440000
954_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:13:15,-71,1.327268,Foreground,0.440000
954_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:13:15,-97,7.343651,Foreground,0.440000
98_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:13:16,-73,1.492753,Foreground,0.440000
135_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:13:16,-62,0.623424,Foreground,0.440000
135_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:13:16,-72,1.406595,Foreground,0.440000
465_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:13:16,-88,4.003749,Foreground,0.440000
273_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:13:17,-76,1.254315,Foreground,0.440000
764_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:13:17,-81,2.491716,Foreground,0.440000
1_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:13:18,-73,1.097042,Foreground,0.440000
711_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:13:19,-81,2.491716,Foreground,0.440000
711_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:13:19,-86,3.493897,Foreground,0.440000
942_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:13:20,-70,1.254315,Foreground,0.440000
942_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:13:20,-68,1.290022,Foreground,0.440000
942_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:13:20,-74,1.586224,Foreground,0.440000
942_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164,2021-08-24 11:13:20,-97,7.343651,Foreground,0.440000
462_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:13:20,-75,1.687518,Foreground,0.440000
