Device:,SM-G9650
OS version:,8.0.0
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
738_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:16:08,-92,5.253466,Foreground,0.450000
453_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:16:09,-95,5.253466,Foreground,0.450000
351_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:16:09,-71,1.327268,Foreground,0.450000
351_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:16:09,-91,4.909544,Foreground,0.450000
868_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,165,2021-08-24 11:16:09,-89,4.285818,Foreground,0.450000
575_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:16:10,-70,1.254315,Foreground,0.450000
============================================================
154_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:16:11,-87,4.909544,Foreground,0.450000
752_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:16:11,-63,1.069498,Foreground,0.450000
922_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:16:24,-84,3.049896,Foreground,0.450000
266_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:16:24,-62,0.623424,Foreground,0.450000
266_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:16:24,-83,2.850302,Foreground,0.450000
266_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:16:24,-90,4.587381,Foreground,0.450000
251_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:16:25,-62,0.623424,Foreground,0.450000
251_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:16:25,-89,4.285818,Foreground,0.450000
567_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:16:25,-74,1.586224,Foreground,0.450000
567_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:16:25,-75,1.687518,Foreground,0.450000
567_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:16:25,-84,3.049896,Foreground,0.450000
213_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:16:26,-77,1.915748,Foreground,0.450000
989_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:16:27,-89,4.285818,Foreground,0.450000
316_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:16:27,-95,6.428136,Foreground,0.450000
658_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:16:28,-85,3.264133,Foreground,0.450000
210_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:16:28,-95,6.428136,Foreground,0.450000
174_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:16:28,-64,0.856379,Foreground,0.450000
942_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:16:29,-83,2.850302,Foreground,0.450000
954_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:16:29,-70,1.254315,Foreground,0.450000
453_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:16:30,-85,4.587381,Foreground,0.450000
807_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:16:31,-84,3.049896,Foreground,0.450000
537_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:16:31,-68,1.125826,Foreground,0.450000
205_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:16:32,-63,0.731597,Foreground,0.450000
373_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:16:33,-75,1.687518,Foreground,0.450000
373_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:16:33,-95,6.428136,Foreground,0.450000
434_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:16:33,-68,1.125826,Foreground,0.450000
434_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:16:33,-85,3.264133,Foreground,0.450000
434_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:16:33,-94,4.285818,Foreground,0.450000
434_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164,2021-08-24 11:16:33,-94,6.011473,Foreground,0.450000
