Device:,SM-G9650
OS version:,8.0.0
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
16_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:37:47,-86,3.493897,Foreground,0.460000
257_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:37:48,-82,2.664510,Foreground,0.460000
257_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:37:48,-83,2.850302,Foreground,0.460000
409_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:37:49,-83,2.850302,Foreground,0.460000
409_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170,2021-08-24 11:37:49,-86,3.493897,Foreground,0.460000
409_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164,2021-08-24 11:37:49,-91,4.909544,Foreground,0.460000
448_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:37:50,-86,3.049896,Foreground,0.460000
============================================================
594_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:37:52,-70,1.254315,Foreground,0.460000
852_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:38:12,-72,1.406595,Foreground,0.460000
336_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:38:13,-91,4.909544,Foreground,0.460000
236_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:38:15,-78,2.043847,Foreground,0.460000
950_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:38:15,-74,1.586224,Foreground,0.460000
950_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,168,2021-08-24 11:38:15,-76,1.797170,Foreground,0.460000
640_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:38:15,-95,6.428136,Foreground,0.460000
554_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:38:17,-83,2.409952,Foreground,0.460000
641_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:38:17,-83,2.111663,Foreground,0.460000
641_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:38:17,-96,6.871719,Foreground,0.460000
396_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:38:18,-100,8.944772,Foreground,0.460000
216_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,168,2021-08-24 11:38:18,-86,3.493897,Foreground,0.460000
216_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:38:18,-99,8.378592,Foreground,0.460000
189_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:38:19,-88,4.003749,Foreground,0.460000
884_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:38:21,-94,6.011473,Foreground,0.460000
61_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:38:22,-83,2.850302,Foreground,0.460000
61_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:38:22,-84,3.049896,Foreground,0.460000
784_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170,2021-08-24 11:38:22,-84,3.049896,Foreground,0.460000
784_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:38:22,-84,3.049896,Foreground,0.460000
197_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:38:23,-91,4.909544,Foreground,0.460000
711_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:38:24,-78,2.409952,Foreground,0.460000
202_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:38:25,-77,1.915748,Foreground,0.460000
202_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164,2021-08-24 11:38:25,-88,4.003749,Foreground,0.460000
978_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:38:26,-75,1.687518,Foreground,0.460000
850_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:38:26,-71,1.327268,Foreground,0.460000
850_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:38:26,-89,4.285818,Foreground,0.460000
496_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,168,2021-08-24 11:38:27,-74,1.586224,Foreground,0.460000
496_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164,2021-08-24 11:38:27,-91,4.434095,Foreground,0.460000
987_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:38:28,-86,3.493897,Foreground,0.460000
153_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:38:30,-78,2.043847,Foreground,0.460000
153_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:38:30,-87,3.740113,Foreground,0.460000
16_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:38:30,-77,1.915748,Foreground,0.460000
16_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:38:30,-88,4.003749,Foreground,0.460000
281_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170,2021-08-24 11:38:31,-92,5.253466,Foreground,0.460000
243_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:38:32,-80,2.331154,Foreground,0.460000
282_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,168,2021-08-24 11:38:32,-79,2.182096,Foreground,0.460000
282_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:38:32,-87,3.740113,Foreground,0.460000
282_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164,2021-08-24 11:38:32,-93,5.620354,Foreground,0.460000
812_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:38:33,-96,6.871719,Foreground,0.460000
134_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:38:33,-81,2.491716,Foreground,0.460000
134_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,165,2021-08-24 11:38:33,-93,5.620354,Foreground,0.460000
934_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:38:34,-75,1.978569,Foreground,0.460000
356_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,168,2021-08-24 11:38:34,-80,2.255231,Foreground,0.460000
356_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:38:34,-84,3.049896,Foreground,0.460000
356_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:38:34,-85,3.264133,Foreground,0.460000
578_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:38:35,-76,1.797170,Foreground,0.460000
578_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:38:35,-78,2.043847,Foreground,0.460000
517_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:38:35,-78,2.043847,Foreground,0.460000
297_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:38:35,-77,2.182096,Foreground,0.460000
197_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:38:37,-82,2.331154,Foreground,0.460000
197_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,168,2021-08-24 11:38:37,-87,3.740113,Foreground,0.460000
428_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:38:38,-82,2.664510,Foreground,0.460000
242_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:38:40,-78,2.331154,Foreground,0.460000
767_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:38:40,-78,2.043847,Foreground,0.460000
701_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:38:40,-88,4.003749,Foreground,0.460000
200_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:38:41,-93,5.620354,Foreground,0.460000
10_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170,2021-08-24 11:38:41,-77,1.915748,Foreground,0.460000
724_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:38:44,-86,3.493897,Foreground,0.460000
922_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:38:45,-90,4.587381,Foreground,0.460000
922_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:38:45,-97,7.343651,Foreground,0.460000
203_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:38:46,-78,2.043847,Foreground,0.460000
244_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:38:46,-80,2.850302,Foreground,0.460000
371_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:38:48,-86,3.493897,Foreground,0.460000
312_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:38:49,-80,2.331154,Foreground,0.460000
347_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:38:49,-92,5.253466,Foreground,0.460000
342_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:38:50,-85,3.377018,Foreground,0.460000
214_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:38:51,-84,4.003749,Foreground,0.460000
733_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:38:52,-81,2.491716,Foreground,0.460000
327_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:38:52,-78,2.043847,Foreground,0.460000
387_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:38:53,-78,2.043847,Foreground,0.460000
387_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164,2021-08-24 11:38:53,-87,3.740113,Foreground,0.460000
387_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:38:53,-95,6.428136,Foreground,0.460000
822_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:38:53,-87,3.377018,Foreground,0.460000
