Device:,SM-G9650
OS version:,8.0.0
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
122_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:32:16,-77,1.915748,Foreground,0.480000
122_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:32:16,-96,6.871719,Foreground,0.480000
236_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:32:16,-79,2.182096,Foreground,0.480000
632_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,168,2021-08-24 11:32:16,-77,3.155130,Foreground,0.480000
667_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:32:16,-87,3.740113,Foreground,0.480000
338_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:32:18,-79,2.182096,Foreground,0.480000
338_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:32:18,-97,7.343651,Foreground,0.480000
472_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170,2021-08-24 11:32:18,-70,1.254315,Foreground,0.480000
506_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:32:19,-84,3.049896,Foreground,0.470000
650_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,168,2021-08-24 11:32:19,-75,1.687518,Foreground,0.470000
84_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,160,2021-08-24 11:32:20,-86,3.493897,Foreground,0.470000
84_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:32:20,-90,4.587381,Foreground,0.470000
575_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:32:20,-74,1.586224,Foreground,0.470000
376_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:32:21,-64,1.586224,Foreground,0.470000
376_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:32:21,-82,2.664510,Foreground,0.470000
458_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,168,2021-08-24 11:32:21,-64,1.220093,Foreground,0.470000
515_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:32:22,-93,5.620354,Foreground,0.470000
============================================================
719_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:32:23,-89,4.285818,Foreground,0.470000
458_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:32:36,-84,3.049896,Foreground,0.470000
458_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:32:36,-90,4.587381,Foreground,0.470000
483_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:32:36,-89,4.285818,Foreground,0.470000
987_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170,2021-08-24 11:32:37,-85,3.264133,Foreground,0.470000
0_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:32:37,-87,3.740113,Foreground,0.470000
293_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:32:38,-85,3.264133,Foreground,0.470000
786_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:32:38,-90,4.587381,Foreground,0.470000
786_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:32:38,-93,5.620354,Foreground,0.470000
352_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:32:39,-81,2.491716,Foreground,0.470000
135_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:32:40,-90,3.869691,Foreground,0.470000
677_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:32:41,-91,4.909544,Foreground,0.470000
553_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:32:41,-84,3.049896,Foreground,0.470000
