Device:,SM-G9650
OS version:,8.0.0
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
388_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,160,2021-08-24 11:27:16,-98,7.845424,Background,0.490000
286_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161,2021-08-24 11:27:17,-88,4.003749,Background,0.490000
898_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:27:17,-97,7.343651,Background,0.490000
889_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161,2021-08-24 11:27:19,-95,5.078711,Background,0.490000
788_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:27:20,-91,4.909544,Background,0.490000
729_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:27:28,-86,3.493897,Background,0.490000
534_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:27:28,-89,4.285818,Background,0.490000
311_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:27:28,-82,2.664510,Background,0.490000
155_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:27:30,-93,4.434095,Background,0.490000
824_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:27:30,-91,3.614889,Background,0.490000
37_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:27:31,-90,4.587381,Background,0.490000
2_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:27:31,-82,2.664510,Background,0.490000
765_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:27:33,-86,3.049896,Background,0.490000
765_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164,2021-08-24 11:27:33,-92,5.253466,Background,0.490000
610_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:27:34,-88,4.003749,Background,0.490000
677_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:27:35,-86,3.493897,Background,0.490000
461_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161,2021-08-24 11:27:36,-94,6.011473,Background,0.490000
520_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:27:36,-90,4.587381,Background,0.490000
164_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:27:37,-81,2.491716,Foreground,0.490000
105_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:27:37,-93,5.620354,Foreground,0.490000
837_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:27:37,-88,3.740113,Foreground,0.490000
85_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:27:39,-91,4.909544,Foreground,0.490000
242_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:27:40,-80,2.331154,Foreground,0.490000
242_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:27:40,-81,2.491716,Foreground,0.490000
242_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:27:40,-87,3.740113,Foreground,0.490000
242_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,168,2021-08-24 11:27:40,-93,5.620354,Foreground,0.490000
242_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:27:40,-95,6.428136,Foreground,0.490000
445_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:27:40,-88,4.003749,Foreground,0.490000
45_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,160,2021-08-24 11:27:41,-82,2.664510,Foreground,0.490000
45_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:27:41,-90,4.587381,Foreground,0.490000
45_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:27:41,-92,5.253466,Foreground,0.490000
204_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:27:42,-92,5.812804,Foreground,0.490000
55_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:27:43,-84,3.049896,Foreground,0.490000
55_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:27:43,-89,4.285818,Foreground,0.490000
591_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:27:45,-87,3.740113,Foreground,0.490000
438_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:27:46,-91,4.909544,Foreground,0.490000
587_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,160,2021-08-24 11:27:46,-89,4.285818,Foreground,0.490000
516_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161,2021-08-24 11:27:47,-78,2.043847,Foreground,0.490000
81_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:27:48,-91,4.909544,Foreground,0.490000
812_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:27:48,-89,4.285818,Foreground,0.490000
249_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,160,2021-08-24 11:27:48,-78,2.948322,Foreground,0.490000
225_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:27:48,-95,6.428136,Foreground,0.490000
973_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161,2021-08-24 11:27:49,-82,2.331154,Foreground,0.490000
210_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:27:50,-74,1.586224,Foreground,0.490000
749_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:27:51,-92,5.253466,Foreground,0.490000
846_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161,2021-08-24 11:27:52,-84,3.049896,Foreground,0.490000
588_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:27:52,-75,1.635860,Foreground,0.490000
40_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:27:53,-91,4.909544,Foreground,0.490000
451_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,165,2021-08-24 11:27:53,-87,3.740113,Foreground,0.490000
388_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161,2021-08-24 11:27:54,-93,4.142414,Foreground,0.490000
564_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:27:55,-93,5.620354,Foreground,0.490000
215_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:27:56,-77,1.915748,Foreground,0.490000
818_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:27:56,-79,2.182096,Foreground,0.490000
818_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:27:56,-92,5.253466,Foreground,0.490000
212_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,165,2021-08-24 11:27:56,-76,1.797170,Foreground,0.490000
212_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:27:56,-84,3.049896,Foreground,0.490000
212_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:27:56,-95,6.428136,Foreground,0.490000
569_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:27:57,-82,3.869691,Foreground,0.490000
323_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:27:58,-75,1.797170,Foreground,0.490000
728_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:27:58,-87,2.850302,Foreground,0.490000
559_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:27:58,-79,2.576537,Foreground,0.490000
695_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:27:59,-77,1.915748,Foreground,0.490000
695_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170,2021-08-24 11:27:59,-82,2.664510,Foreground,0.490000
695_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:27:59,-84,3.049896,Foreground,0.490000
695_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164,2021-08-24 11:27:59,-91,4.909544,Foreground,0.490000
138_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:28:00,-87,3.740113,Foreground,0.490000
309_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:28:00,-82,2.111663,Foreground,0.490000
568_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:28:01,-93,5.620354,Foreground,0.490000
758_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164,2021-08-24 11:28:01,-88,4.434095,Foreground,0.490000
416_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:28:02,-92,5.253466,Foreground,0.490000
608_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:28:03,-76,1.797170,Foreground,0.490000
47_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:28:04,-87,3.740113,Foreground,0.490000
47_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161,2021-08-24 11:28:04,-90,4.587381,Foreground,0.490000
719_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:28:04,-76,1.797170,Foreground,0.490000
719_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:28:04,-82,2.664510,Foreground,0.490000
719_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,160,2021-08-24 11:28:04,-89,4.285818,Foreground,0.490000
68_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:28:05,-79,2.182096,Foreground,0.490000
68_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:28:05,-93,5.620354,Foreground,0.490000
646_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,165,2021-08-24 11:28:05,-79,2.182096,Foreground,0.490000
106_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164,2021-08-24 11:28:06,-79,2.182096,Foreground,0.490000
106_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:28:06,-91,3.614889,Foreground,0.490000
106_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:28:06,-88,4.003749,Foreground,0.490000
418_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:28:07,-86,3.493897,Foreground,0.490000
774_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:28:08,-77,1.915748,Foreground,0.490000
774_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:28:08,-78,3.155130,Foreground,0.490000
774_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:28:08,-89,4.285818,Foreground,0.490000
709_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:28:09,-80,2.331154,Foreground,0.490000
629_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:28:09,-84,3.049896,Foreground,0.490000
395_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:28:11,-83,2.850302,Foreground,0.490000
294_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:28:11,-85,3.264133,Foreground,0.490000
63_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:28:12,-82,2.664510,Foreground,0.490000
793_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,160,2021-08-24 11:28:12,-83,2.850302,Foreground,0.490000
269_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:28:12,-87,3.740113,Foreground,0.490000
856_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:28:13,-86,3.493897,Foreground,0.490000
856_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161,2021-08-24 11:28:13,-96,6.871719,Foreground,0.490000
170_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:28:13,-90,3.614889,Foreground,0.490000
472_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:28:14,-78,2.331154,Foreground,0.490000
472_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:28:14,-88,4.003749,Foreground,0.490000
511_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:28:14,-90,4.587381,Foreground,0.490000
331_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:28:16,-80,2.331154,Foreground,0.490000
467_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:28:16,-89,4.142414,Foreground,0.490000
459_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161,2021-08-24 11:28:17,-97,7.343651,Foreground,0.490000
206_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170,2021-08-24 11:28:17,-83,2.850302,Foreground,0.490000
772_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:28:17,-82,2.664510,Foreground,0.490000
749_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:28:19,-85,3.264133,Foreground,0.480000
647_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:28:19,-86,3.493897,Foreground,0.480000
214_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170,2021-08-24 11:28:20,-79,2.182096,Foreground,0.480000
111_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:28:21,-86,3.377018,Foreground,0.480000
898_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:28:22,-84,3.049896,Foreground,0.480000
535_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,168,2021-08-24 11:28:22,-79,2.182096,Foreground,0.480000
535_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:28:22,-95,6.428136,Foreground,0.480000
940_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:28:23,-91,4.909544,Foreground,0.480000
396_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:28:23,-81,2.491716,Foreground,0.480000
666_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:28:24,-89,4.285818,Foreground,0.480000
47_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:28:24,-81,2.491716,Foreground,0.480000
252_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:28:25,-85,3.264133,Foreground,0.480000
252_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:28:25,-91,4.909544,Foreground,0.480000
745_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:28:26,-84,3.614889,Foreground,0.480000
326_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:28:27,-79,2.182096,Foreground,0.480000
326_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:28:27,-84,3.049896,Foreground,0.480000
269_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,168,2021-08-24 11:28:27,-86,3.493897,Foreground,0.480000
269_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:28:27,-88,4.003749,Foreground,0.480000
679_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:28:28,-70,1.254315,Foreground,0.480000
925_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:28:28,-75,1.687518,Foreground,0.480000
405_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:28:28,-78,2.043847,Foreground,0.480000
