Device:,SM-G9650
OS version:,8.0.0
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
============================================================
527_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:42:51,-68,1.097042,Foreground,0.260000
414_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:42:51,-69,1.125826,Foreground,0.260000
414_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:42:51,-74,1.406595,Foreground,0.260000
414_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:42:51,-80,2.576537,Foreground,0.260000
414_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 13:42:51,-94,5.812804,Foreground,0.260000
199_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:42:51,-71,1.277952,Foreground,0.260000
199_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 13:42:51,-95,5.620354,Foreground,0.260000
377_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:42:52,-77,1.327268,Foreground,0.260000
812_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:42:52,-87,3.740113,Foreground,0.260000
812_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 13:42:52,-88,4.003749,Foreground,0.260000
298_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:42:52,-77,1.538544,Foreground,0.260000
298_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:42:52,-77,1.915748,Foreground,0.260000
298_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:42:52,-87,3.740113,Foreground,0.260000
298_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 13:42:52,-92,5.253466,Foreground,0.260000
874_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:42:52,-79,1.538544,Foreground,0.260000
589_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:42:53,-80,1.978569,Foreground,0.260000
589_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 13:42:53,-95,6.428136,Foreground,0.260000
868_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:42:53,-87,3.740113,Foreground,0.260000
868_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 13:42:53,-95,5.078711,Foreground,0.260000
738_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:42:53,-81,1.915748,Foreground,0.260000
738_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:42:53,-78,1.978569,Foreground,0.260000
738_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:42:53,-87,3.740113,Foreground,0.260000
738_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 13:42:53,-94,5.620354,Foreground,0.260000
738_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 13:42:53,-93,5.620354,Foreground,0.260000
803_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:42:53,-82,2.182096,Foreground,0.260000
Rule 4 
905_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 13:42:54,-93,6.011473,Foreground,0.260000
434_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:42:54,-77,3.740113,Foreground,0.260000
457_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:42:54,-78,2.043847,Foreground,0.260000
457_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:42:54,-80,2.182096,Foreground,0.260000
457_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:42:54,-85,3.740113,Foreground,0.260000
457_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 13:42:54,-95,6.011473,Foreground,0.260000
916_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:42:54,-83,2.383361,Foreground,0.260000
916_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 13:42:54,-97,7.343651,Foreground,0.260000
338_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:42:55,-76,2.043847,Foreground,0.260000
338_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 13:42:55,-96,6.011473,Foreground,0.260000
622_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:42:55,-76,1.915748,Foreground,0.260000
622_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:42:55,-81,2.409952,Foreground,0.260000
622_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:42:55,-78,2.576537,Foreground,0.260000
622_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 13:42:55,-93,5.620354,Foreground,0.260000
379_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:42:55,-80,2.491716,Foreground,0.260000
