Device:,SM-G9650
OS version:,8.0.0
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
398_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:45:35,-77,1.915748,Foreground,0.260000
369_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 13:45:35,-93,5.620354,Foreground,0.260000
124_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:45:35,-68,1.069498,Foreground,0.260000
124_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:45:35,-78,1.797170,Foreground,0.260000
124_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:45:35,-74,1.855307,Foreground,0.260000
91_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:45:35,-66,0.993867,Foreground,0.260000
717_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:45:36,-75,1.797170,Foreground,0.260000
993_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:45:36,-72,1.406595,Foreground,0.260000
54_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:45:36,-81,2.255231,Foreground,0.260000
54_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 13:45:36,-94,6.011473,Foreground,0.260000
359_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:45:36,-70,1.017953,Foreground,0.260000
632_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:45:37,-92,2.111663,Foreground,0.260000
586_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:45:37,-77,1.406595,Foreground,0.260000
586_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 13:45:37,-93,5.620354,Foreground,0.260000
212_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:45:37,-76,1.187304,Foreground,0.260000
212_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:45:37,-71,1.586224,Foreground,0.260000
212_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:45:37,-79,2.230548,Foreground,0.260000
212_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 13:45:37,-97,6.011473,Foreground,0.260000
212_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 13:45:37,-94,6.011473,Foreground,0.260000
212_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 13:45:37,-96,6.871719,Foreground,0.260000
408_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:45:37,-70,1.125826,Foreground,0.260000
408_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 13:45:37,-96,6.871719,Foreground,0.260000
Rule 4 
803_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:45:38,-77,1.635860,Foreground,0.260000
554_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:45:38,-75,1.687518,Foreground,0.260000
554_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:45:38,-77,1.915748,Foreground,0.260000
554_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:45:38,-91,3.049896,Foreground,0.260000
554_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 13:45:38,-98,6.871719,Foreground,0.260000
33_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:45:38,-75,1.448791,Foreground,0.260000
656_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:45:39,-85,3.264133,Foreground,0.260000
725_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:45:39,-77,1.915748,Foreground,0.260000
725_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 13:45:39,-99,6.871719,Foreground,0.260000
961_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:45:39,-76,1.741264,Foreground,0.260000
961_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 13:45:39,-94,6.871719,Foreground,0.260000
199_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:45:39,-75,1.687518,Foreground,0.260000
366_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:45:40,-90,4.587381,Foreground,0.250000
366_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 13:45:40,-94,6.216527,Foreground,0.250000
377_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:45:40,-79,1.915748,Foreground,0.250000
377_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 13:45:40,-97,7.845424,Foreground,0.250000
739_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:45:40,-76,1.797170,Foreground,0.250000
739_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:45:40,-78,1.915748,Foreground,0.250000
739_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:45:40,-89,4.909544,Foreground,0.250000
739_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 13:45:40,-97,7.343651,Foreground,0.250000
654_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:45:40,-77,1.687518,Foreground,0.250000
616_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:45:41,-83,3.826007,Foreground,0.250000
527_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:45:41,-79,2.182096,Foreground,0.250000
743_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:45:41,-75,1.797170,Foreground,0.250000
743_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:45:41,-79,2.182096,Foreground,0.250000
743_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:45:41,-85,4.285818,Foreground,0.250000
743_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 13:45:41,-94,6.011473,Foreground,0.250000
639_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:45:41,-76,1.797170,Foreground,0.250000
297_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:45:42,-83,3.656155,Foreground,0.250000
297_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 13:45:42,-95,6.216527,Foreground,0.250000
326_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:45:42,-78,2.182096,Foreground,0.250000
326_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 13:45:42,-86,5.078711,Foreground,0.250000
