Device:,SM-G9650
OS version:,8.0.0
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
610_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:32:51,-84,3.049896,Foreground,0.300000
610_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:32:51,-92,6.011473,Foreground,0.300000
456_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:32:51,-85,3.338951,Foreground,0.300000
456_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:32:51,-87,3.415528,Foreground,0.300000
456_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:32:51,-90,4.909544,Foreground,0.300000
209_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:32:51,-91,3.740113,Foreground,0.300000
209_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:32:51,-91,4.909544,Foreground,0.300000
253_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:32:51,-91,4.909544,Foreground,0.300000
316_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:32:51,-89,4.285818,Foreground,0.300000
537_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:32:51,-83,2.850302,Foreground,0.300000
537_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:32:51,-94,6.011473,Foreground,0.300000
441_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:32:51,-89,4.285818,Foreground,0.300000
Rule 4 
80_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:32:52,-84,3.049896,Foreground,0.300000
244_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:32:52,-85,4.142414,Foreground,0.300000
952_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:32:52,-84,3.049896,Foreground,0.300000
952_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:32:52,-83,3.377018,Foreground,0.300000
952_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:32:52,-88,4.003749,Foreground,0.300000
952_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:32:52,-89,4.285818,Foreground,0.300000
415_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:32:53,-86,3.264133,Foreground,0.300000
643_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:32:53,-89,3.869691,Foreground,0.300000
518_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:32:53,-89,4.003749,Foreground,0.300000
518_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:32:53,-89,4.142414,Foreground,0.300000
518_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:32:53,-93,4.142414,Foreground,0.300000
435_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:32:53,-87,3.740113,Foreground,0.300000
472_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:32:54,-84,3.415528,Foreground,0.300000
200_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:32:54,-88,4.003749,Foreground,0.300000
200_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:32:54,-90,4.285818,Foreground,0.300000
200_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:32:54,-96,5.620354,Foreground,0.300000
314_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:32:54,-90,4.142414,Foreground,0.300000
19_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:32:55,-85,3.415528,Foreground,0.300000
770_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:32:55,-87,4.003749,Foreground,0.300000
770_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:32:55,-89,5.620354,Foreground,0.300000
940_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:32:55,-89,4.285818,Foreground,0.300000
825_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:32:56,-89,4.285818,Foreground,0.300000
792_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:32:56,-85,3.264133,Foreground,0.300000
712_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:32:56,-85,3.740113,Foreground,0.300000
712_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:32:56,-88,4.285818,Foreground,0.300000
712_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:32:56,-91,4.909544,Foreground,0.300000
184_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:32:56,-85,4.285818,Foreground,0.300000
846_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:32:57,-80,4.003749,Foreground,0.300000
846_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:32:57,-91,4.909544,Foreground,0.300000
67_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:32:57,-76,2.409952,Foreground,0.300000
67_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:32:57,-90,4.587381,Foreground,0.300000
67_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 13:32:57,-99,8.378592,Foreground,0.300000
884_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:32:57,-78,2.043847,Foreground,0.300000
884_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:32:57,-75,3.493897,Foreground,0.300000
