Device:,SM-G9650
OS version:,8.0.0
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
374_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:37:17,-80,2.182096,Foreground,0.280000
202_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:37:17,-71,1.327268,Foreground,0.280000
202_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:37:17,-96,6.871719,Foreground,0.280000
1_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:37:17,-71,1.327268,Foreground,0.280000
1_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:37:17,-82,2.664510,Foreground,0.280000
1_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:37:17,-82,2.664510,Foreground,0.280000
1_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:37:17,-93,5.620354,Foreground,0.280000
1_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:37:17,-93,5.620354,Foreground,0.280000
548_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:37:17,-80,2.331154,Foreground,0.280000
Rule 4 
163_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:37:18,-70,1.327268,Foreground,0.280000
262_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:37:18,-71,1.327268,Foreground,0.280000
262_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:37:18,-81,2.491716,Foreground,0.280000
262_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:37:18,-94,4.003749,Foreground,0.280000
262_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:37:18,-92,5.433961,Foreground,0.280000
262_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:37:18,-96,6.871719,Foreground,0.280000
33_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:37:18,-82,2.491716,Foreground,0.280000
772_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:37:19,-82,2.182096,Foreground,0.280000
889_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:37:19,-76,1.302264,Foreground,0.280000
889_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:37:19,-96,6.871719,Foreground,0.280000
453_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:37:19,-78,1.463246,Foreground,0.280000
453_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:37:19,-78,2.436873,Foreground,0.280000
453_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:37:19,-89,3.377018,Foreground,0.280000
453_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:37:19,-92,5.433961,Foreground,0.280000
453_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:37:19,-97,7.104049,Foreground,0.280000
71_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:37:19,-79,2.331154,Foreground,0.280000
534_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:37:20,-73,1.635860,Foreground,0.280000
534_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:37:20,-98,7.845424,Foreground,0.280000
