Device:,SM-G9650
OS version:,8.0.0
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
============================================================
64_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:38:46,-80,2.182096,Foreground,0.280000
64_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:38:46,-96,7.343651,Foreground,0.280000
378_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:38:46,-77,1.915748,Foreground,0.280000
335_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:38:46,-77,1.978569,Foreground,0.280000
335_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:38:46,-78,2.111663,Foreground,0.280000
335_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:38:46,-80,2.786878,Foreground,0.280000
335_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:38:46,-100,7.845424,Foreground,0.280000
404_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:38:46,-83,2.331154,Foreground,0.280000
404_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:38:46,-99,7.845424,Foreground,0.280000
Rule 4 
923_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:38:47,-85,3.264133,Foreground,0.280000
923_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:38:47,-95,6.428136,Foreground,0.280000
549_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:38:47,-79,2.182096,Foreground,0.280000
549_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:38:47,-92,7.104049,Foreground,0.280000
550_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:38:47,-80,2.331154,Foreground,0.280000
550_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:38:47,-92,5.253466,Foreground,0.280000
550_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:38:47,-93,5.620354,Foreground,0.280000
550_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:38:47,-99,8.378592,Foreground,0.280000
802_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:38:48,-87,2.664510,Foreground,0.280000
639_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:38:48,-86,2.850302,Foreground,0.280000
639_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:38:48,-93,5.620354,Foreground,0.280000
230_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:38:49,-78,2.491716,Foreground,0.280000
230_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:38:49,-80,2.547918,Foreground,0.280000
230_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:38:49,-95,6.428136,Foreground,0.280000
911_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:38:49,-79,2.331154,Foreground,0.280000
911_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:38:49,-85,3.264133,Foreground,0.280000
911_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:38:49,-83,4.003749,Foreground,0.280000
405_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:38:49,-84,3.049896,Foreground,0.280000
88_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:38:50,-78,2.043847,Foreground,0.280000
159_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:38:50,-87,2.998658,Foreground,0.280000
574_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:38:50,-80,2.491716,Foreground,0.280000
574_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:38:50,-83,3.049896,Foreground,0.280000
574_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:38:50,-88,3.377018,Foreground,0.280000
574_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:38:50,-98,7.845424,Foreground,0.280000
471_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:38:50,-84,3.049896,Foreground,0.280000
316_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:38:51,-78,2.043847,Foreground,0.280000
316_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:38:51,-94,6.011473,Foreground,0.280000
563_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:38:51,-95,6.428136,Foreground,0.280000
373_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:38:51,-81,2.409952,Foreground,0.280000
373_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:38:51,-80,2.664510,Foreground,0.280000
373_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:38:51,-92,3.049896,Foreground,0.280000
373_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:38:51,-94,6.011473,Foreground,0.280000
373_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:38:51,-97,7.590712,Foreground,0.280000
470_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:38:51,-85,3.049896,Foreground,0.280000
442_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:38:52,-83,2.182096,Foreground,0.280000
791_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:38:52,-82,3.049896,Foreground,0.280000
791_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:38:52,-94,6.216527,Foreground,0.280000
515_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:38:52,-82,2.491716,Foreground,0.280000
515_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:38:52,-92,3.493897,Foreground,0.280000
716_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:38:53,-83,2.576537,Foreground,0.280000
716_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:38:53,-94,3.740113,Foreground,0.280000
74_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:38:54,-84,2.850302,Foreground,0.280000
469_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:38:54,-83,2.850302,Foreground,0.280000
469_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:38:54,-91,5.620354,Foreground,0.280000
893_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:38:54,-95,6.428136,Foreground,0.280000
