Device:,SM-G9650
OS version:,8.0.0
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
============================================================
911_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:40:23,-85,2.280225,Foreground,0.270000
957_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:40:23,-82,2.664510,Foreground,0.270000
164_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:40:25,-90,4.587381,Foreground,0.270000
838_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:40:25,-80,2.331154,Foreground,0.270000
291_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:40:25,-79,2.182096,Foreground,0.270000
291_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:40:25,-87,3.740113,Foreground,0.270000
291_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:40:25,-88,4.003749,Foreground,0.270000
839_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:40:25,-96,6.871719,Foreground,0.270000
744_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:40:26,-92,4.909544,Foreground,0.270000
17_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:40:26,-77,2.111663,Foreground,0.270000
401_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:40:26,-83,2.491716,Foreground,0.270000
301_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:40:27,-95,5.253466,Foreground,0.270000
679_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:40:27,-77,1.915748,Foreground,0.270000
679_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:40:27,-94,6.011473,Foreground,0.270000
374_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:40:27,-80,2.576537,Foreground,0.270000
374_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:40:27,-87,3.740113,Foreground,0.270000
374_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:40:27,-91,4.434095,Foreground,0.270000
168_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:40:27,-89,5.433961,Foreground,0.270000
168_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:40:27,-93,5.620354,Foreground,0.270000
351_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:40:28,-85,5.620354,Foreground,0.270000
990_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:40:28,-78,1.978569,Foreground,0.270000
381_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:40:28,-79,2.436873,Foreground,0.270000
381_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:40:28,-86,3.740113,Foreground,0.270000
