Device:,iPhone10,3
OS version:,12.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
985_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:46:28,-78,6.9,Foreground,0.850000
985_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:46:28,-81,8.8,Foreground,0.850000
985_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:46:28,-88,11.2,Foreground,0.850000
597_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:46:28,-74,5.6,Foreground,0.850000
597_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:46:28,-78,5.9,Foreground,0.850000
597_B28E7807-3517-4048-90CD-29E4826AE511,169,2021-08-24 11:46:28,-84,9.6,Foreground,0.850000
597_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:46:28,-90,9.9,Foreground,0.850000
835_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:46:28,-78,2.8,Foreground,0.850000
835_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:46:28,-71,4.4,Foreground,0.850000
835_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:46:28,-88,6.7,Foreground,0.850000
835_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:46:28,-84,7.7,Foreground,0.850000
835_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:46:28,-77,7.8,Foreground,0.850000
835_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-08-24 11:46:28,-81,8.3,Foreground,0.850000
835_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:46:28,-82,11.5,Foreground,0.850000
835_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-08-24 11:46:28,-89,14.8,Foreground,0.850000
718_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:46:28,-91,16.3,Foreground,0.850000
Rule 4
797_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:46:29,-81,8.4,Foreground,0.850000
797_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:46:29,-88,12.3,Foreground,0.850000
952_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:46:29,-73,4.3,Foreground,0.850000
952_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:46:29,-79,6.0,Foreground,0.850000
952_B28E7807-3517-4048-90CD-29E4826AE511,169,2021-08-24 11:46:29,-85,10.3,Foreground,0.850000
952_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:46:29,-91,11.3,Foreground,0.850000
270_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:46:29,-81,3.6,Foreground,0.850000
270_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:46:29,-72,5.3,Foreground,0.850000
270_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-08-24 11:46:29,-81,8.1,Foreground,0.850000
270_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:46:29,-87,8.8,Foreground,0.850000
270_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-08-24 11:46:29,-82,9.3,Foreground,0.850000
270_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:46:29,-94,10.1,Foreground,0.850000
270_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:46:29,-82,10.9,Foreground,0.850000
84_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:46:29,-80,3.6,Foreground,0.850000
84_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:46:29,-72,3.7,Foreground,0.850000
84_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:46:29,-89,17.1,Foreground,0.850000
421_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:46:30,-82,4.9,Foreground,0.850000
421_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:46:30,-83,6.9,Foreground,0.850000
373_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:46:30,-74,4.7,Foreground,0.850000
373_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-08-24 11:46:30,-81,8.0,Foreground,0.850000
373_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:46:30,-77,9.0,Foreground,0.850000
373_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:46:30,-86,11.4,Foreground,0.850000
373_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:46:30,-94,13.2,Foreground,0.850000
