Device:,iPhone10,3
OS version:,12.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
872_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:48:25,-80,5.0,Foreground,0.840000
872_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:48:25,-85,10.1,Foreground,0.840000
872_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:48:25,-87,14.7,Foreground,0.840000
973_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:48:25,-84,7.8,Foreground,0.840000
973_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:48:25,-84,13.7,Foreground,0.840000
978_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:48:25,-71,1.6,Foreground,0.840000
978_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:48:25,-79,2.7,Foreground,0.840000
978_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:48:25,-75,2.9,Foreground,0.840000
978_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-08-24 11:48:25,-79,5.8,Foreground,0.840000
978_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:48:25,-80,6.4,Foreground,0.840000
978_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-08-24 11:48:25,-87,8.1,Foreground,0.840000
978_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:48:25,-81,14.0,Foreground,0.840000
978_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:48:25,-82,15.9,Foreground,0.840000
978_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:48:25,-89,17.2,Foreground,0.840000
665_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:48:25,-80,2.7,Foreground,0.840000
665_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:48:25,-81,4.8,Foreground,0.840000
665_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:48:25,-82,18.0,Foreground,0.840000
594_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:48:27,-79,5.2,Foreground,0.840000
594_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:48:27,-85,10.6,Foreground,0.840000
594_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:48:27,-81,13.1,Foreground,0.840000
67_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:48:27,-80,1.2,Foreground,0.840000
67_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:48:27,-85,8.5,Foreground,0.840000
67_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:48:27,-87,14.1,Foreground,0.840000
67_B28E7807-3517-4048-90CD-29E4826AE511,169,2021-08-24 11:48:27,-91,21.0,Foreground,0.840000
708_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:48:27,-91,2.2,Foreground,0.840000
708_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:48:27,-82,3.4,Foreground,0.840000
708_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:48:27,-87,3.8,Foreground,0.840000
708_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:48:27,-72,4.9,Foreground,0.840000
708_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-08-24 11:48:27,-84,6.7,Foreground,0.840000
708_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:48:27,-83,7.1,Foreground,0.840000
708_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:48:27,-88,14.7,Foreground,0.840000
708_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:48:27,-87,17.2,Foreground,0.840000
587_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:48:27,-84,3.3,Foreground,0.840000
587_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:48:27,-88,5.6,Foreground,0.840000
587_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:48:27,-88,18.2,Foreground,0.840000
373_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:48:28,-75,4.7,Foreground,0.840000
373_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:48:28,-86,11.2,Foreground,0.840000
373_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:48:28,-84,12.5,Foreground,0.840000
373_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:48:28,-83,12.6,Foreground,0.840000
554_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:48:28,-76,2.1,Foreground,0.840000
554_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:48:28,-83,8.8,Foreground,0.840000
515_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:48:28,-84,3.0,Foreground,0.840000
515_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:48:28,-72,4.0,Foreground,0.840000
515_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:48:28,-83,4.1,Foreground,0.840000
515_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:48:28,-84,4.8,Foreground,0.840000
515_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-08-24 11:48:28,-84,7.5,Foreground,0.840000
515_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:48:28,-83,7.6,Foreground,0.840000
515_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:48:28,-86,15.7,Foreground,0.840000
515_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:48:28,-91,18.2,Foreground,0.840000
Rule 4
7_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:48:28,-84,4.1,Foreground,0.840000
7_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:48:28,-72,4.4,Foreground,0.840000
7_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:48:28,-88,18.3,Foreground,0.840000
33_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:48:29,-78,4.8,Foreground,0.840000
33_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:48:29,-83,12.1,Foreground,0.840000
33_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:48:29,-84,12.2,Foreground,0.840000
335_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:48:29,-75,2.5,Foreground,0.840000
335_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:48:29,-82,8.8,Foreground,0.840000
335_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:48:29,-87,14.5,Foreground,0.840000
701_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:48:29,-81,3.6,Foreground,0.840000
701_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:48:29,-77,4.2,Foreground,0.840000
701_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:48:29,-87,4.7,Foreground,0.840000
701_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:48:29,-84,5.6,Foreground,0.840000
701_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:48:29,-85,8.3,Foreground,0.840000
701_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-08-24 11:48:29,-80,11.1,Foreground,0.840000
701_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:48:29,-93,16.2,Foreground,0.840000
701_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:48:29,-90,18.9,Foreground,0.840000
995_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:48:29,-72,3.8,Foreground,0.840000
995_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:48:29,-78,4.3,Foreground,0.840000
995_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:48:29,-88,18.4,Foreground,0.840000
549_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:48:30,-77,4.8,Foreground,0.840000
549_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:48:30,-84,12.0,Foreground,0.840000
939_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:48:30,-80,3.1,Foreground,0.840000
939_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:48:30,-82,8.8,Foreground,0.840000
939_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:48:30,-88,15.1,Foreground,0.840000
939_B28E7807-3517-4048-90CD-29E4826AE511,169,2021-08-24 11:48:30,-88,20.4,Foreground,0.840000
