Device:,iPhone10,3
OS version:,12.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
888_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:52:25,-77,1.8,Foreground,0.820000
888_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:52:25,-71,6.9,Foreground,0.820000
888_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:52:25,-90,14.3,Foreground,0.820000
349_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:52:25,-74,1.7,Foreground,0.820000
349_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:52:25,-75,9.0,Foreground,0.820000
349_B28E7807-3517-4048-90CD-29E4826AE511,169,2021-08-24 11:52:25,-91,15.1,Foreground,0.820000
349_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:52:25,-82,15.2,Foreground,0.820000
293_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:52:25,-67,1.1,Foreground,0.820000
293_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:52:25,-66,1.3,Foreground,0.820000
293_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:52:25,-82,1.8,Foreground,0.820000
293_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:52:25,-74,6.2,Foreground,0.820000
293_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:52:25,-80,7.4,Foreground,0.820000
293_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-08-24 11:52:25,-84,9.8,Foreground,0.820000
293_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:52:25,-87,17.6,Foreground,0.820000
377_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:52:25,-68,1.6,Foreground,0.820000
377_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:52:25,-76,6.7,Foreground,0.820000
377_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171,2021-08-24 11:52:25,-83,11.5,Foreground,0.820000
Rule 4
68_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:52:27,-84,3.3,Foreground,0.820000
68_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:52:27,-80,4.4,Foreground,0.820000
68_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:52:27,-84,13.1,Foreground,0.820000
41_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:52:28,-77,2.0,Foreground,0.820000
41_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:52:28,-90,15.9,Foreground,0.820000
892_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:52:28,-74,1.7,Foreground,0.820000
892_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:52:28,-80,2.0,Foreground,0.820000
892_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:52:28,-80,3.2,Foreground,0.820000
892_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:52:28,-78,4.9,Foreground,0.820000
892_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:52:28,-79,7.7,Foreground,0.820000
892_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-08-24 11:52:28,-83,7.9,Foreground,0.820000
892_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-08-24 11:52:28,-78,9.0,Foreground,0.820000
892_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:52:28,-81,15.4,Foreground,0.820000
892_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:52:28,-83,15.9,Foreground,0.820000
892_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-08-24 11:52:28,-85,17.3,Foreground,0.820000
813_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:52:28,-77,1.9,Foreground,0.820000
813_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:52:28,-77,6.9,Foreground,0.820000
Rule 4
966_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:52:28,-76,3.4,Foreground,0.820000
966_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:52:28,-75,4.2,Foreground,0.820000
966_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:52:28,-79,10.3,Foreground,0.820000
0_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:52:29,-72,2.1,Foreground,0.820000
0_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:52:29,-76,7.3,Foreground,0.820000
0_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:52:29,-88,16.2,Foreground,0.820000
334_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:52:29,-81,2.2,Foreground,0.820000
334_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:52:29,-81,2.5,Foreground,0.820000
334_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:52:29,-85,3.9,Foreground,0.820000
334_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:52:29,-86,5.6,Foreground,0.820000
334_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:52:29,-83,8.1,Foreground,0.820000
334_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-08-24 11:52:29,-78,8.1,Foreground,0.820000
334_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:52:29,-83,14.5,Foreground,0.820000
334_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-08-24 11:52:29,-85,16.4,Foreground,0.820000
334_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:52:29,-92,16.6,Foreground,0.820000
20_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:52:29,-71,1.9,Foreground,0.820000
20_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:52:29,-70,4.8,Foreground,0.820000
20_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:52:29,-85,25.9,Foreground,0.820000
130_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:52:29,-88,4.3,Foreground,0.820000
130_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:52:29,-80,9.4,Foreground,0.820000
438_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:52:29,-79,2.6,Foreground,0.820000
438_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:52:29,-78,6.8,Foreground,0.820000
915_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:52:30,-76,2.6,Foreground,0.820000
915_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:52:30,-73,2.6,Foreground,0.820000
915_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:52:30,-80,4.3,Foreground,0.820000
915_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:52:30,-80,5.8,Foreground,0.820000
915_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:52:30,-80,12.3,Foreground,0.820000
915_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:52:30,-87,16.6,Foreground,0.820000
208_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:52:30,-77,2.3,Foreground,0.820000
208_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:52:30,-94,5.6,Foreground,0.820000
208_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171,2021-08-24 11:52:30,-84,11.5,Foreground,0.820000
208_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:52:30,-85,20.7,Foreground,0.820000
255_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:52:30,-72,3.7,Foreground,0.820000
