Device:,iPhone10,3
OS version:,12.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
418_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:54:22,-79,8.5,Foreground,0.810000
418_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:54:22,-85,22.1,Foreground,0.810000
880_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:54:22,-73,2.6,Foreground,0.810000
880_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:54:22,-79,12.4,Foreground,0.810000
306_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:54:22,-80,0.9,Foreground,0.810000
306_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:54:22,-76,3.6,Foreground,0.810000
306_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-08-24 11:54:22,-81,7.7,Foreground,0.810000
306_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:54:22,-84,9.8,Foreground,0.810000
306_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:54:22,-85,13.3,Foreground,0.810000
306_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:54:22,-83,22.6,Foreground,0.810000
306_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-08-24 11:54:22,-87,24.0,Foreground,0.810000
934_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:54:22,-68,2.6,Foreground,0.810000
934_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:54:22,-86,11.8,Foreground,0.810000
934_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:54:22,-86,18.2,Foreground,0.810000
986_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:54:23,-82,8.5,Foreground,0.810000
986_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:54:23,-87,14.1,Foreground,0.810000
986_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:54:23,-91,23.0,Foreground,0.810000
501_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:54:23,-70,2.4,Foreground,0.810000
501_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:54:23,-75,6.4,Foreground,0.810000
501_B28E7807-3517-4048-90CD-29E4826AE511,169,2021-08-24 11:54:23,-87,11.2,Foreground,0.810000
501_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:54:23,-93,25.9,Foreground,0.810000
780_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:54:23,-75,1.8,Foreground,0.810000
780_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:54:23,-75,3.6,Foreground,0.810000
780_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-08-24 11:54:23,-80,7.5,Foreground,0.810000
780_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:54:23,-82,9.7,Foreground,0.810000
780_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:54:23,-92,15.1,Foreground,0.810000
780_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:54:23,-86,20.2,Foreground,0.810000
780_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:54:23,-87,21.2,Foreground,0.810000
780_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:54:23,-87,22.6,Foreground,0.810000
166_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:54:23,-86,3.1,Foreground,0.810000
166_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:54:23,-87,12.2,Foreground,0.810000
166_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171,2021-08-24 11:54:23,-92,17.5,Foreground,0.810000
166_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151,2021-08-24 11:54:23,-93,21.6,Foreground,0.810000
676_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:54:24,-77,1.8,Foreground,0.810000
676_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153,2021-08-24 11:54:24,-79,7.9,Foreground,0.810000
676_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167,2021-08-24 11:54:24,-88,15.1,Foreground,0.810000
676_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147,2021-08-24 11:54:24,-91,23.7,Foreground,0.810000
628_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:54:24,-77,5.7,Foreground,0.810000
628_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:54:24,-86,22.8,Foreground,0.810000
552_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:54:24,-79,1.3,Foreground,0.810000
552_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:54:24,-81,3.1,Foreground,0.810000
552_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:54:24,-81,4.2,Foreground,0.810000
552_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-08-24 11:54:24,-77,6.8,Foreground,0.810000
552_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:54:24,-73,8.0,Foreground,0.810000
552_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:54:24,-87,10.4,Foreground,0.810000
552_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:54:24,-88,19.9,Foreground,0.810000
552_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:54:24,-90,21.7,Foreground,0.810000
552_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-08-24 11:54:24,-87,22.4,Foreground,0.810000
552_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:54:24,-90,23.0,Foreground,0.810000
Rule 4
301_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:54:24,-86,4.1,Foreground,0.810000
301_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157,2021-08-24 11:54:24,-86,12.5,Foreground,0.810000
