Device:,iPhone10,3
OS version:,12.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
953_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161,2021-08-24 11:56:07,-72,1.7,Foreground,0.800000
991_B28E7807-3517-4048-90CD-29E4826AE511,163,2021-08-24 11:56:07,-83,2.6,Foreground,0.800000
991_B28E7807-3517-4048-90CD-29E4826AE511,155,2021-08-24 11:56:07,-84,8.2,Foreground,0.800000
991_B28E7807-3517-4048-90CD-29E4826AE511,149,2021-08-24 11:56:07,-90,18.8,Foreground,0.800000
289_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-08-24 11:56:07,-72,0.9,Foreground,0.800000
289_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-08-24 11:56:07,-66,1.8,Foreground,0.800000
289_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-08-24 11:56:07,-73,4.0,Foreground,0.800000
289_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-08-24 11:56:07,-79,7.1,Foreground,0.800000
289_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-08-24 11:56:07,-78,8.1,Foreground,0.800000
289_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-08-24 11:56:07,-82,11.6,Foreground,0.800000
289_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-08-24 11:56:07,-87,13.3,Foreground,0.800000
289_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-08-24 11:56:07,-80,13.6,Foreground,0.800000
289_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-08-24 11:56:07,-82,14.4,Foreground,0.800000
289_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-08-24 11:56:07,-93,20.7,Foreground,0.800000
331_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165,2021-08-24 11:56:07,-87,5.7,Foreground,0.800000
