Device:,iPhone10,3
OS version:,12.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
892_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 12:48:40,-65,0.7,Foreground,0.650000
892_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 12:48:40,-89,23.7,Foreground,0.650000
428_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 12:48:40,-55,0.4,Foreground,0.650000
428_B28E7807-3517-4048-90CD-29E4826AE511,141,2021-08-24 12:48:40,-82,12.5,Foreground,0.650000
337_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 12:48:40,-50,0.3,Foreground,0.650000
337_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 12:48:40,-66,1.7,Foreground,0.650000
337_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 12:48:40,-84,11.4,Foreground,0.650000
337_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,140,2021-08-24 12:48:40,-87,24.4,Foreground,0.650000
474_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 12:48:40,-64,1.4,Foreground,0.650000
474_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,143,2021-08-24 12:48:40,-89,15.7,Foreground,0.650000
83_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 12:48:41,-67,1.0,Foreground,0.650000
682_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 12:48:41,-62,0.6,Foreground,0.650000
682_B28E7807-3517-4048-90CD-29E4826AE511,141,2021-08-24 12:48:41,-85,12.6,Foreground,0.650000
143_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 12:48:41,-53,0.2,Foreground,0.650000
143_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 12:48:41,-57,0.4,Foreground,0.650000
143_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 12:48:41,-63,1.1,Foreground,0.650000
143_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 12:48:41,-85,12.0,Foreground,0.650000
143_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,140,2021-08-24 12:48:41,-89,23.7,Foreground,0.650000
Rule 4
87_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 12:48:41,-73,1.8,Foreground,0.650000
87_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,143,2021-08-24 12:48:41,-91,18.3,Foreground,0.650000
560_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 12:48:42,-75,1.4,Foreground,0.650000
560_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 12:48:42,-80,15.6,Foreground,0.650000
951_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 12:48:42,-50,0.2,Foreground,0.650000
951_B28E7807-3517-4048-90CD-29E4826AE511,141,2021-08-24 12:48:42,-91,14.6,Foreground,0.650000
974_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 12:48:42,-59,0.4,Foreground,0.650000
974_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 12:48:42,-66,0.4,Foreground,0.650000
974_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 12:48:42,-69,1.3,Foreground,0.650000
974_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 12:48:42,-86,12.8,Foreground,0.650000
974_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,138,2021-08-24 12:48:42,-87,16.7,Foreground,0.650000
974_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,140,2021-08-24 12:48:42,-88,22.8,Foreground,0.650000
784_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 12:48:42,-67,1.6,Foreground,0.650000
784_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,143,2021-08-24 12:48:42,-87,17.9,Foreground,0.650000
582_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 12:48:43,-62,1.0,Foreground,0.650000
582_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 12:48:43,-80,12.3,Foreground,0.650000
79_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 12:48:43,-59,0.3,Foreground,0.650000
124_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 12:48:43,-64,0.6,Foreground,0.650000
124_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 12:48:43,-67,0.7,Foreground,0.650000
124_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 12:48:43,-72,1.5,Foreground,0.650000
124_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,138,2021-08-24 12:48:43,-88,17.5,Foreground,0.650000
124_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,140,2021-08-24 12:48:43,-85,20.4,Foreground,0.650000
21_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 12:48:43,-64,1.3,Foreground,0.650000
21_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,143,2021-08-24 12:48:43,-88,18.1,Foreground,0.650000
895_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 12:48:44,-56,0.6,Foreground,0.650000
197_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 12:48:44,-73,0.6,Foreground,0.650000
991_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 12:48:44,-55,0.4,Foreground,0.650000
991_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 12:48:44,-67,0.9,Foreground,0.650000
991_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 12:48:44,-70,1.6,Foreground,0.650000
301_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 12:48:44,-65,1.2,Foreground,0.650000
60_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 12:48:45,-58,0.5,Foreground,0.650000
250_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 12:48:45,-71,0.9,Foreground,0.650000
937_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 12:48:45,-55,0.3,Foreground,0.650000
937_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 12:48:45,-69,1.1,Foreground,0.650000
937_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 12:48:45,-66,1.4,Foreground,0.650000
58_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 12:48:45,-69,1.3,Foreground,0.650000
471_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 12:48:46,-70,0.7,Foreground,0.650000
471_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 12:48:46,-92,13.9,Foreground,0.650000
491_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 12:48:46,-62,0.8,Foreground,0.650000
491_B28E7807-3517-4048-90CD-29E4826AE511,141,2021-08-24 12:48:46,-86,14.6,Foreground,0.650000
324_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 12:48:46,-83,0.6,Foreground,0.650000
324_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 12:48:46,-63,0.9,Foreground,0.650000
324_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 12:48:46,-62,1.1,Foreground,0.650000
324_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 12:48:46,-87,13.6,Foreground,0.650000
324_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,140,2021-08-24 12:48:46,-83,17.8,Foreground,0.650000
654_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 12:48:46,-71,1.5,Foreground,0.650000
654_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,143,2021-08-24 12:48:46,-93,19.8,Foreground,0.650000
Rule 4
336_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 12:48:47,-67,0.9,Foreground,0.650000
746_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 12:48:47,-62,0.7,Foreground,0.650000
746_B28E7807-3517-4048-90CD-29E4826AE511,141,2021-08-24 12:48:47,-92,17.2,Foreground,0.650000
667_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 12:48:47,-57,0.6,Foreground,0.650000
667_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 12:48:47,-77,1.0,Foreground,0.650000
667_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 12:48:47,-65,1.1,Foreground,0.650000
667_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,140,2021-08-24 12:48:47,-83,15.6,Foreground,0.650000
692_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 12:48:47,-70,1.6,Foreground,0.650000
792_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 12:48:48,-62,0.8,Foreground,0.650000
792_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 12:48:48,-87,14.4,Foreground,0.650000
574_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 12:48:48,-53,0.4,Foreground,0.650000
