Device:,iPhone10,3
OS version:,12.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
Rule 5
548_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 12:55:49,-68,1.9,Foreground,0.620000
548_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 12:55:49,-87,14.3,Foreground,0.620000
882_B28E7807-3517-4048-90CD-29E4826AE511,141,2021-08-24 12:55:49,-51,0.4,Foreground,0.620000
882_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 12:55:49,-88,14.4,Foreground,0.620000
329_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 12:55:49,-59,0.5,Foreground,0.620000
329_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,140,2021-08-24 12:55:49,-61,0.9,Foreground,0.620000
329_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,138,2021-08-24 12:55:49,-60,1.4,Foreground,0.620000
329_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 12:55:49,-83,17.6,Foreground,0.620000
329_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 12:55:49,-81,18.8,Foreground,0.620000
333_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,143,2021-08-24 12:55:49,-60,0.9,Foreground,0.620000
333_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 12:55:49,-87,14.9,Foreground,0.620000
382_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 12:55:50,-68,1.7,Foreground,0.620000
382_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 12:55:50,-82,12.8,Foreground,0.620000
961_B28E7807-3517-4048-90CD-29E4826AE511,141,2021-08-24 12:55:50,-54,0.3,Foreground,0.620000
961_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 12:55:50,-86,14.5,Foreground,0.620000
762_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 12:55:50,-60,0.5,Foreground,0.620000
762_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,140,2021-08-24 12:55:50,-65,0.9,Foreground,0.620000
762_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,138,2021-08-24 12:55:50,-63,1.0,Foreground,0.620000
762_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 12:55:50,-80,12.7,Foreground,0.620000
762_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 12:55:50,-80,14.1,Foreground,0.620000
762_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 12:55:50,-84,17.3,Foreground,0.620000
603_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,143,2021-08-24 12:55:50,-65,0.9,Foreground,0.620000
603_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 12:55:50,-91,16.3,Foreground,0.620000
436_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,139,2021-08-24 12:55:51,-63,1.2,Foreground,0.620000
436_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,133,2021-08-24 12:55:51,-84,12.5,Foreground,0.620000
348_B28E7807-3517-4048-90CD-29E4826AE511,141,2021-08-24 12:55:51,-68,0.5,Foreground,0.620000
348_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 12:55:51,-86,14.5,Foreground,0.620000
66_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,142,2021-08-24 12:55:51,-64,0.7,Foreground,0.620000
66_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,138,2021-08-24 12:55:51,-67,1.1,Foreground,0.620000
66_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,140,2021-08-24 12:55:51,-68,1.1,Foreground,0.620000
66_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,134,2021-08-24 12:55:51,-78,9.9,Foreground,0.620000
66_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,136,2021-08-24 12:55:51,-86,14.3,Foreground,0.620000
66_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,132,2021-08-24 12:55:51,-84,16.2,Foreground,0.620000
