Device:,iPhone10,3
OS version:,12.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
22_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-08-24 13:12:11,-81,6.7,Foreground,0.540000
22_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 13:12:11,-90,19.0,Foreground,0.540000
217_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-08-24 13:12:11,-78,3.9,Foreground,0.540000
899_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-08-24 13:12:11,-74,2.9,Foreground,0.540000
899_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-08-24 13:12:11,-77,3.2,Foreground,0.540000
899_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-08-24 13:12:11,-67,3.3,Foreground,0.540000
747_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-08-24 13:12:11,-78,3.9,Foreground,0.540000
747_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 13:12:11,-91,12.3,Foreground,0.540000
820_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-08-24 13:12:12,-81,7.0,Foreground,0.540000
820_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 13:12:12,-90,20.6,Foreground,0.540000
351_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-08-24 13:12:12,-71,3.1,Foreground,0.540000
973_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-08-24 13:12:12,-72,2.7,Foreground,0.540000
973_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-08-24 13:12:12,-77,3.6,Foreground,0.540000
973_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-08-24 13:12:12,-85,4.3,Foreground,0.540000
973_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 13:12:12,-89,15.8,Foreground,0.540000
280_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-08-24 13:12:13,-71,4.5,Foreground,0.540000
280_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 13:12:13,-89,20.9,Foreground,0.540000
541_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-08-24 13:12:13,-69,2.5,Foreground,0.540000
541_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 13:12:13,-86,16.3,Foreground,0.540000
541_B28E7807-3517-4048-90CD-29E4826AE511,135,2021-08-24 13:12:13,-91,30.6,Foreground,0.540000
472_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-08-24 13:12:13,-70,2.9,Foreground,0.540000
472_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-08-24 13:12:13,-81,3.5,Foreground,0.540000
472_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,120,2021-08-24 13:12:13,-81,4.9,Foreground,0.540000
472_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 13:12:13,-89,17.9,Foreground,0.540000
472_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 13:12:13,-86,20.2,Foreground,0.540000
796_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-08-24 13:12:13,-68,2.6,Foreground,0.540000
Rule 4
294_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,121,2021-08-24 13:12:14,-70,3.4,Foreground,0.540000
683_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-08-24 13:12:14,-79,2.9,Foreground,0.540000
683_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 13:12:14,-88,17.0,Foreground,0.540000
583_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-08-24 13:12:14,-69,2.4,Foreground,0.540000
