Device:,iPhone10,3
OS version:,12.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
Rule 4
667_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 13:13:45,-74,1.8,Foreground,0.530000
58_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 13:13:45,-71,6.3,Foreground,0.530000
58_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-08-24 13:13:45,-84,14.6,Foreground,0.530000
448_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 13:13:45,-64,2.8,Foreground,0.530000
448_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 13:13:45,-80,5.7,Foreground,0.530000
448_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 13:13:45,-83,10.6,Foreground,0.530000
448_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-08-24 13:13:45,-93,11.0,Foreground,0.530000
503_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 13:13:45,-78,7.8,Foreground,0.530000
503_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-08-24 13:13:45,-85,32.9,Foreground,0.530000
258_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 13:13:46,-69,1.7,Foreground,0.530000
543_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 13:13:46,-71,4.5,Foreground,0.530000
80_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 13:13:46,-68,2.3,Foreground,0.530000
80_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 13:13:46,-88,6.9,Foreground,0.530000
80_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 13:13:46,-77,9.2,Foreground,0.530000
80_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,124,2021-08-24 13:13:46,-90,13.5,Foreground,0.530000
80_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-08-24 13:13:46,-89,14.6,Foreground,0.530000
449_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 13:13:46,-80,7.7,Foreground,0.530000
449_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-08-24 13:13:46,-85,27.4,Foreground,0.530000
288_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 13:13:47,-72,1.9,Foreground,0.530000
596_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 13:13:47,-89,5.3,Foreground,0.530000
596_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-08-24 13:13:47,-93,16.9,Foreground,0.530000
49_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 13:13:47,-80,2.7,Foreground,0.530000
49_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 13:13:47,-86,7.8,Foreground,0.530000
49_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 13:13:47,-77,8.3,Foreground,0.530000
49_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,122,2021-08-24 13:13:47,-89,16.5,Foreground,0.530000
742_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 13:13:47,-80,7.5,Foreground,0.530000
422_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 13:13:48,-73,2.1,Foreground,0.530000
809_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-08-24 13:13:48,-93,19.0,Foreground,0.530000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 13:13:48,-69,2.4,Foreground,0.530000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 13:13:48,-73,5.8,Foreground,0.530000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 13:13:48,-91,9.0,Foreground,0.530000
823_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 13:13:48,-81,7.5,Foreground,0.530000
26_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 13:13:49,-75,2.3,Foreground,0.530000
788_B28E7807-3517-4048-90CD-29E4826AE511,123,2021-08-24 13:13:49,-88,19.0,Foreground,0.530000
632_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 13:13:49,-84,2.9,Foreground,0.530000
632_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 13:13:49,-76,5.4,Foreground,0.530000
632_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 13:13:49,-93,10.0,Foreground,0.530000
506_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 13:13:49,-74,6.3,Foreground,0.530000
506_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,137,2021-08-24 13:13:49,-94,19.9,Foreground,0.530000
506_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,125,2021-08-24 13:13:49,-86,24.9,Foreground,0.530000
