Device:,iPhone10,3
OS version:,12.3.1
App version:,1.4.6 (2)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
957_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 13:19:03,-87,7.5,Foreground,0.500000
465_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 13:19:03,-81,2.0,Foreground,0.500000
731_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 13:19:03,-74,1.2,Foreground,0.500000
731_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 13:19:03,-91,2.7,Foreground,0.500000
731_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 13:19:03,-84,7.5,Foreground,0.500000
21_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 13:19:03,-76,1.6,Foreground,0.500000
989_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 13:19:04,-85,8.0,Foreground,0.500000
584_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 13:19:04,-83,2.7,Foreground,0.500000
73_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 13:19:04,-77,1.9,Foreground,0.500000
73_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 13:19:04,-90,4.1,Foreground,0.500000
848_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 13:19:05,-83,3.4,Foreground,0.500000
240_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 13:19:05,-80,2.7,Foreground,0.500000
240_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 13:19:05,-83,4.9,Foreground,0.500000
240_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 13:19:05,-83,9.4,Foreground,0.500000
773_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 13:19:05,-85,2.7,Foreground,0.500000
855_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 13:19:06,-88,4.2,Foreground,0.500000
917_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 13:19:06,-89,3.7,Foreground,0.500000
917_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 13:19:06,-80,5.3,Foreground,0.500000
917_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 13:19:06,-90,10.6,Foreground,0.500000
827_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 13:19:06,-85,4.0,Foreground,0.500000
457_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 13:19:07,-83,4.9,Foreground,0.500000
172_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 13:19:07,-90,4.7,Foreground,0.500000
172_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 13:19:07,-81,5.7,Foreground,0.500000
172_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 13:19:07,-91,11.7,Foreground,0.500000
193_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 13:19:07,-79,4.5,Foreground,0.500000
520_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 13:19:08,-92,9.1,Foreground,0.500000
518_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 13:19:08,-82,5.4,Foreground,0.500000
85_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 13:19:08,-81,5.2,Foreground,0.500000
85_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 13:19:08,-84,6.3,Foreground,0.500000
275_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 13:19:08,-78,4.7,Foreground,0.500000
683_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 13:19:09,-86,10.4,Foreground,0.500000
174_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 13:19:09,-79,5.5,Foreground,0.500000
755_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 13:19:09,-82,5.7,Foreground,0.500000
755_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 13:19:09,-85,7.0,Foreground,0.500000
755_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 13:19:09,-90,12.7,Foreground,0.500000
234_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 13:19:09,-81,5.1,Foreground,0.500000
302_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 13:19:10,-86,11.2,Foreground,0.500000
902_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 13:19:10,-80,5.7,Foreground,0.500000
123_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 13:19:10,-81,6.0,Foreground,0.500000
123_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 13:19:10,-84,7.5,Foreground,0.500000
123_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 13:19:10,-90,13.8,Foreground,0.500000
716_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 13:19:10,-82,5.6,Foreground,0.500000
279_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 13:19:11,-89,12.5,Foreground,0.500000
12_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 13:19:11,-81,6.0,Foreground,0.500000
652_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 13:19:11,-85,6.6,Foreground,0.500000
652_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 13:19:11,-81,7.5,Foreground,0.500000
652_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 13:19:11,-88,14.4,Foreground,0.500000
370_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 13:19:11,-77,5.4,Foreground,0.500000
622_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 13:19:12,-89,13.5,Foreground,0.500000
217_B28E7807-3517-4048-90CD-29E4826AE511,129,2021-08-24 13:19:12,-81,6.2,Foreground,0.500000
562_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,128,2021-08-24 13:19:12,-79,7.2,Foreground,0.500000
562_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,130,2021-08-24 13:19:12,-85,7.2,Foreground,0.500000
562_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,126,2021-08-24 13:19:12,-90,15.3,Foreground,0.500000
227_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,131,2021-08-24 13:19:12,-78,5.4,Foreground,0.500000
119_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,127,2021-08-24 13:19:13,-91,14.8,Foreground,0.500000
