Device:,Pixel XL
OS version:,10
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
650_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:25:49,-58,0.319997,Foreground,0.920000
554_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:25:49,-72,1.797170,Foreground,0.920000
6_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:25:50,-74,1.586224,Foreground,0.920000
6_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:25:50,-76,1.797170,Foreground,0.920000
110_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:25:50,-74,1.586224,Foreground,0.920000
832_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:25:50,-81,2.491716,Foreground,0.920000
832_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170,2021-08-24 11:25:50,-82,2.664510,Foreground,0.920000
80_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:25:50,-51,0.142694,Foreground,0.920000
80_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:25:50,-73,1.492753,Foreground,0.920000
366_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:25:51,-48,0.048226,Foreground,0.920000
601_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:25:51,-69,0.225292,Foreground,0.920000
805_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:25:52,-63,0.731597,Foreground,0.920000
805_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:25:52,-66,1.017953,Foreground,0.920000
805_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:25:52,-63,1.406595,Foreground,0.920000
805_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:25:52,-83,2.850302,Foreground,0.920000
53_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:25:52,-72,1.187304,Foreground,0.920000
349_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:25:53,-63,0.731597,Foreground,0.920000
349_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:25:53,-77,1.915748,Foreground,0.920000
349_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:25:53,-91,4.909544,Foreground,0.920000
783_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:25:53,-74,0.529864,Foreground,0.920000
783_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:25:53,-91,4.909544,Foreground,0.920000
740_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:25:53,-61,0.791778,Foreground,0.920000
740_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:25:53,-81,2.491716,Foreground,0.920000
121_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:25:53,-86,3.493897,Foreground,0.920000
Rule 4 
938_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:25:54,-65,1.220093,Foreground,0.920000
176_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:25:54,-77,1.254315,Foreground,0.920000
646_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:25:55,-69,1.492753,Foreground,0.920000
445_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:25:56,-74,1.586224,Foreground,0.920000
445_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:25:56,-91,4.909544,Foreground,0.920000
505_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:25:56,-63,0.731597,Foreground,0.920000
505_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:25:56,-69,1.187304,Foreground,0.920000
505_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:25:56,-70,1.254315,Foreground,0.920000
505_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:25:56,-70,1.254315,Foreground,0.920000
505_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:25:56,-80,2.409952,Foreground,0.920000
505_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,168,2021-08-24 11:25:56,-88,4.003749,Foreground,0.920000
484_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170,2021-08-24 11:25:57,-75,1.687518,Foreground,0.920000
326_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:25:58,-66,1.017953,Foreground,0.920000
856_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:25:59,-72,1.406595,Foreground,0.920000
353_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:26:01,-63,0.731597,Foreground,0.920000
3_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:26:02,-75,1.687518,Foreground,0.920000
40_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:26:02,-64,0.856379,Foreground,0.920000
76_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:26:02,-72,1.406595,Foreground,0.920000
76_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164,2021-08-24 11:26:02,-77,1.915748,Foreground,0.920000
700_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:26:02,-77,1.915748,Foreground,0.920000
677_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:26:03,-86,3.493897,Foreground,0.920000
507_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:26:03,-56,0.856379,Foreground,0.920000
507_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:26:03,-87,3.740113,Foreground,0.920000
316_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:26:03,-59,0.379653,Foreground,0.920000
316_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170,2021-08-24 11:26:03,-72,1.406595,Foreground,0.920000
316_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:26:03,-73,1.492753,Foreground,0.920000
316_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,168,2021-08-24 11:26:03,-88,4.003749,Foreground,0.920000
495_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:26:03,-86,3.493897,Foreground,0.920000
401_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:26:04,-58,1.043149,Foreground,0.920000
473_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:26:04,-69,1.043149,Foreground,0.920000
429_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:26:04,-71,1.366107,Foreground,0.920000
429_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:26:04,-77,1.915748,Foreground,0.920000
872_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:26:05,-55,0.731597,Foreground,0.920000
872_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:26:05,-84,3.049896,Foreground,0.920000
197_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:26:06,-64,0.856379,Foreground,0.920000
681_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:26:06,-54,0.623424,Foreground,0.920000
950_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:26:06,-53,0.129905,Foreground,0.920000
339_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:26:06,-65,0.970850,Foreground,0.920000
249_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:26:07,-69,1.043149,Foreground,0.920000
944_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:26:07,-55,0.188145,Foreground,0.920000
944_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:26:07,-76,1.741264,Foreground,0.920000
944_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:26:07,-80,2.331154,Foreground,0.920000
201_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:26:07,-62,0.348678,Foreground,0.920000
201_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:26:07,-76,1.797170,Foreground,0.920000
287_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:26:07,-70,1.254315,Foreground,0.920000
287_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,165,2021-08-24 11:26:07,-83,2.850302,Foreground,0.920000
Rule 5 
