Device:,Pixel XL
OS version:,10
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
827_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:11:15,-57,0.268915,Foreground,0.780000
827_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:11:15,-63,0.731597,Foreground,0.780000
827_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:11:15,-77,1.254315,Foreground,0.780000
827_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:11:15,-90,4.587381,Foreground,0.780000
138_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:11:15,-52,0.107374,Foreground,0.780000
48_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:11:16,-84,3.049896,Foreground,0.780000
550_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:11:16,-74,1.155898,Foreground,0.780000
550_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:11:16,-92,5.253466,Foreground,0.780000
581_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,165,2021-08-24 11:11:16,-83,2.850302,Foreground,0.780000
388_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:11:17,-86,3.493897,Foreground,0.780000
EVENT_TAG,0,null,null,2021-08-24 11:11:17,Foreground
430_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:11:18,-87,3.740113,Foreground,0.780000
42_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:11:18,-69,1.187304,Foreground,0.780000
============================================================
187_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:11:19,-90,4.587381,Foreground,0.780000
354_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:11:19,-91,4.909544,Foreground,0.780000
198_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:11:21,-85,3.264133,Foreground,0.780000
353_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:11:23,-57,0.268915,Foreground,0.780000
353_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,165,2021-08-24 11:11:23,-89,4.285818,Foreground,0.780000
146_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,160,2021-08-24 11:11:25,-81,2.491716,Foreground,0.780000
575_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:11:29,-86,3.493897,Foreground,0.790000
