Device:,Pixel XL
OS version:,10
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
============================================================
471_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:18:48,-72,1.406595,Foreground,0.860000
695_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:18:50,-54,0.156604,Foreground,0.860000
911_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:18:54,-70,1.254315,Foreground,0.860000
549_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:18:56,-67,1.069498,Foreground,0.860000
633_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:18:57,-76,1.797170,Foreground,0.860000
803_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:18:58,-62,0.623424,Foreground,0.860000
654_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:18:58,-64,0.856379,Foreground,0.860000
513_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:18:59,-68,1.406595,Foreground,0.860000
243_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:19:02,-62,0.623424,Foreground,0.860000
164_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:19:06,-88,4.003749,Foreground,0.860000
152_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:19:10,-54,0.156604,Foreground,0.860000
862_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:19:10,-61,0.529864,Foreground,0.860000
837_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:19:19,-60,0.449137,Foreground,0.860000
837_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:19:19,-90,4.587381,Foreground,0.860000
182_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:19:20,-83,2.850302,Foreground,0.860000
78_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,160,2021-08-24 11:19:20,-88,4.003749,Foreground,0.860000
726_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:19:20,-49,0.059269,Foreground,0.860000
251_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:19:21,-57,0.348678,Foreground,0.860000
546_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:19:22,-81,2.491716,Foreground,0.860000
101_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:19:23,-47,0.048226,Foreground,0.860000
895_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:19:23,-69,1.187304,Foreground,0.860000
948_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:19:24,-62,0.623424,Foreground,0.860000
948_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:19:24,-82,1.741264,Foreground,0.860000
639_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:19:25,-82,2.664510,Foreground,0.860000
639_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161,2021-08-24 11:19:25,-83,2.850302,Foreground,0.860000
663_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:19:25,-82,2.664510,Foreground,0.860000
663_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:19:25,-86,3.493897,Foreground,0.860000
373_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:19:25,-64,0.731597,Foreground,0.860000
373_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:19:25,-84,3.049896,Foreground,0.860000
911_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:19:26,-52,0.107374,Foreground,0.860000
258_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:19:26,-69,1.741264,Foreground,0.860000
876_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:19:26,-59,0.379653,Foreground,0.860000
876_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:19:26,-77,1.915748,Foreground,0.860000
504_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:19:27,-75,2.111663,Foreground,0.860000
740_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:19:28,-70,1.254315,Foreground,0.870000
139_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:19:29,-70,1.254315,Foreground,0.870000
609_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:19:30,-72,1.406595,Foreground,0.870000
119_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:19:30,-73,1.366107,Foreground,0.870000
483_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:19:30,-88,4.003749,Foreground,0.870000
23_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:19:32,-76,1.635860,Foreground,0.870000
23_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:19:32,-92,5.253466,Foreground,0.870000
14_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:19:33,-54,0.970850,Foreground,0.870000
812_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:19:34,-50,0.072538,Foreground,0.870000
541_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:19:34,-60,0.268915,Foreground,0.870000
541_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:19:34,-76,1.797170,Foreground,0.870000
541_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:19:34,-79,2.182096,Foreground,0.870000
52_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:19:35,-55,0.188145,Foreground,0.870000
357_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:19:35,-60,0.188145,Foreground,0.870000
357_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:19:35,-70,1.254315,Foreground,0.870000
357_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:19:35,-75,1.687518,Foreground,0.870000
714_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:19:35,-68,0.177049,Foreground,0.870000
822_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,165,2021-08-24 11:19:35,-79,2.182096,Foreground,0.870000
822_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:19:35,-81,2.491716,Foreground,0.870000
Rule 5 
626_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:19:36,-59,0.268915,Foreground,0.870000
189_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:19:36,-61,0.449137,Foreground,0.870000
189_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:19:36,-87,2.111663,Foreground,0.870000
189_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:19:36,-81,2.491716,Foreground,0.870000
702_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:19:36,-71,0.401656,Foreground,0.870000
702_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:19:36,-80,2.043847,Foreground,0.870000
702_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,160,2021-08-24 11:19:36,-79,2.182096,Foreground,0.870000
67_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:19:36,-68,1.125826,Foreground,0.870000
887_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161,2021-08-24 11:19:37,-81,2.491716,Foreground,0.870000
373_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:19:37,-52,0.107374,Foreground,0.870000
472_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:19:39,-82,2.664510,Foreground,0.870000
535_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:19:40,-68,1.125826,Foreground,0.870000
643_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:19:41,-59,0.791778,Foreground,0.870000
296_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:19:44,-74,1.586224,Foreground,0.870000
667_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:19:46,-52,0.107374,Foreground,0.870000
823_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:19:47,-70,1.254315,Foreground,0.870000
164_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:19:48,-55,0.188145,Foreground,0.870000
850_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,165,2021-08-24 11:19:52,-84,3.049896,Foreground,0.870000
444_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:19:53,-73,1.492753,Foreground,0.870000
319_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:19:53,-66,1.017953,Foreground,0.870000
319_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:19:53,-68,1.125826,Foreground,0.870000
319_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:19:53,-75,1.687518,Foreground,0.870000
345_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:19:53,-91,4.909544,Foreground,0.870000
927_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:19:54,-49,0.623424,Foreground,0.870000
58_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:19:55,-66,1.017953,Foreground,0.870000
673_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:19:56,-65,0.970850,Foreground,0.870000
337_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:19:57,-48,0.048226,Foreground,0.870000
951_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:19:57,-64,0.856379,Foreground,0.870000
951_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:19:57,-64,0.925686,Foreground,0.870000
671_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:19:58,-60,0.156604,Foreground,0.870000
28_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:19:58,-87,3.740113,Foreground,0.870000
896_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:19:58,-74,1.586224,Foreground,0.870000
693_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:19:59,-72,1.125826,Foreground,0.870000
365_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:20:01,-77,1.915748,Foreground,0.870000
740_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,160,2021-08-24 11:20:03,-69,1.187304,Foreground,0.870000
485_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:20:10,-69,1.187304,Foreground,0.870000
11_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:20:11,-72,1.406595,Foreground,0.870000
11_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:20:11,-80,2.331154,Foreground,0.870000
287_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:20:12,-68,1.125826,Foreground,0.870000
287_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:20:12,-89,4.285818,Foreground,0.870000
805_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:20:12,-75,1.687518,Foreground,0.870000
805_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:20:12,-87,3.740113,Foreground,0.870000
675_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:20:13,-48,0.048226,Foreground,0.870000
95_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:20:14,-68,1.125826,Foreground,0.870000
95_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:20:14,-89,4.285818,Foreground,0.870000
196_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:20:14,-70,1.125826,Foreground,0.870000
196_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:20:14,-76,1.741264,Foreground,0.870000
671_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:20:14,-65,0.246236,Foreground,0.870000
964_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:20:15,-83,2.850302,Foreground,0.870000
964_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,160,2021-08-24 11:20:15,-85,3.264133,Foreground,0.870000
184_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:20:16,-78,2.043847,Foreground,0.870000
61_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:20:17,-71,1.635860,Foreground,0.870000
890_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:20:18,-56,0.225292,Foreground,0.870000
344_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:20:18,-54,0.156604,Foreground,0.870000
721_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:20:19,-60,0.449137,Background,0.870000
