Device:,Pixel XL
OS version:,10
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
756_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:16:26,-88,4.434095,Foreground,0.840000
694_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:16:26,-69,1.187304,Foreground,0.840000
694_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164,2021-08-24 11:16:26,-88,4.003749,Foreground,0.840000
694_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,160,2021-08-24 11:16:26,-89,4.285818,Foreground,0.840000
847_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:16:26,-59,0.379653,Foreground,0.840000
847_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,165,2021-08-24 11:16:26,-88,4.003749,Foreground,0.840000
============================================================
61_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,160,2021-08-24 11:16:27,-74,2.576537,Foreground,0.840000
646_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:16:29,-54,0.156604,Foreground,0.850000
440_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:16:30,-46,0.031510,Foreground,0.850000
2_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:16:31,-72,1.406595,Foreground,0.850000
246_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:16:33,-70,1.254315,Foreground,0.850000
206_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:16:33,-64,0.856379,Foreground,0.850000
29_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:16:34,-72,1.406595,Foreground,0.850000
595_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:16:36,-76,1.797170,Foreground,0.850000
141_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:16:36,-50,0.072538,Foreground,0.850000
181_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:16:38,-64,1.254315,Foreground,0.850000
47_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:16:38,-63,0.731597,Foreground,0.850000
47_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:16:38,-77,1.915748,Foreground,0.850000
