Device:,Pixel XL
OS version:,10
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
650_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:39:13,-64,0.856379,Foreground,0.960000
697_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:39:13,-86,3.493897,Foreground,0.960000
697_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:39:13,-87,3.740113,Foreground,0.960000
6_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:39:13,-63,0.731597,Foreground,0.960000
Rule 4 
582_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:39:14,-84,1.586224,Foreground,0.960000
199_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166,2021-08-24 11:39:14,-68,1.125826,Foreground,0.960000
942_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:39:15,-83,2.850302,Foreground,0.960000
897_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:39:15,-82,3.155130,Foreground,0.960000
897_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:39:15,-88,4.003749,Foreground,0.960000
459_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:39:16,-89,3.377018,Foreground,0.960000
861_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170,2021-08-24 11:39:16,-64,0.856379,Foreground,0.960000
861_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:39:16,-73,1.492753,Foreground,0.960000
861_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:39:16,-74,1.586224,Foreground,0.960000
861_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:39:16,-85,3.264133,Foreground,0.960000
58_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:39:16,-62,0.623424,Foreground,0.960000
58_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:39:16,-83,2.850302,Foreground,0.960000
58_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:39:16,-83,2.850302,Foreground,0.960000
955_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:39:17,-72,1.978569,Foreground,0.960000
428_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:39:17,-81,2.255231,Foreground,0.960000
428_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:39:17,-81,3.155130,Foreground,0.960000
201_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170,2021-08-24 11:39:17,-83,1.538544,Foreground,0.960000
201_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146,2021-08-24 11:39:17,-79,1.855307,Foreground,0.960000
201_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150,2021-08-24 11:39:17,-81,2.491716,Foreground,0.960000
201_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:39:17,-87,3.740113,Foreground,0.960000
209_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171,2021-08-24 11:39:17,-83,2.850302,Foreground,0.960000
209_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:39:17,-87,3.264133,Foreground,0.960000
498_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:39:18,-79,1.741264,Foreground,0.960000
914_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164,2021-08-24 11:39:18,-73,1.492753,Foreground,0.960000
914_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156,2021-08-24 11:39:18,-81,2.491716,Foreground,0.960000
483_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:39:18,-82,1.406595,Foreground,0.960000
389_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,170,2021-08-24 11:39:19,-83,2.850302,Foreground,0.960000
422_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:39:21,-80,2.331154,Foreground,0.960000
258_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:39:21,-71,1.327268,Foreground,0.960000
458_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:39:21,-77,1.915748,Foreground,0.960000
915_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:39:22,-84,3.049896,Foreground,0.960000
247_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:39:22,-81,2.182096,Foreground,0.960000
657_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:39:22,-77,1.915748,Foreground,0.960000
789_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:39:23,-65,1.125826,Foreground,0.960000
789_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:39:23,-84,3.049896,Foreground,0.960000
789_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:39:23,-87,3.740113,Foreground,0.960000
809_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:39:23,-78,2.043847,Foreground,0.960000
77_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167,2021-08-24 11:39:24,-77,1.915748,Foreground,0.960000
77_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153,2021-08-24 11:39:24,-94,6.011473,Foreground,0.960000
23_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:39:24,-79,2.182096,Foreground,0.960000
751_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:39:25,-84,3.049896,Foreground,0.960000
751_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152,2021-08-24 11:39:25,-89,4.285818,Foreground,0.960000
145_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151,2021-08-24 11:39:25,-72,1.406595,Foreground,0.960000
979_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:39:26,-61,0.529864,Foreground,0.960000
349_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:39:26,-78,2.043847,Foreground,0.960000
