Device:,Pixel XL
OS version:,10
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
610_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:46:14,-62,1.125826,Foreground,0.990000
950_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:46:14,-57,0.449137,Foreground,0.990000
923_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:46:16,-65,0.970850,Foreground,0.990000
923_b28e7807-3517-4048-90cd-29e4826ae511,155,2021-08-24 11:46:16,-73,1.492753,Foreground,0.990000
394_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164,2021-08-24 11:46:17,-64,0.856379,Foreground,0.990000
90_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:46:18,-78,2.043847,Foreground,0.990000
739_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:46:18,-61,0.529864,Foreground,0.990000
739_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164,2021-08-24 11:46:18,-74,1.187304,Foreground,0.990000
447_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:46:19,-84,3.049896,Foreground,0.990000
178_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161,2021-08-24 11:46:20,-92,5.253466,Foreground,0.990000
180_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:46:20,-75,1.687518,Foreground,0.990000
751_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154,2021-08-24 11:46:20,-70,1.915748,Foreground,0.990000
751_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162,2021-08-24 11:46:20,-77,1.915748,Foreground,0.990000
576_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:46:20,-74,1.586224,Foreground,0.990000
576_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,165,2021-08-24 11:46:20,-81,2.491716,Foreground,0.990000
623_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147,2021-08-24 11:46:21,-71,1.327268,Foreground,0.990000
891_b28e7807-3517-4048-90cd-29e4826ae511,163,2021-08-24 11:46:21,-61,1.125826,Foreground,0.990000
891_b28e7807-3517-4048-90cd-29e4826ae511,149,2021-08-24 11:46:21,-70,1.254315,Foreground,0.990000
891_b28e7807-3517-4048-90cd-29e4826ae511,169,2021-08-24 11:46:21,-82,2.664510,Foreground,0.990000
652_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164,2021-08-24 11:46:21,-58,0.319997,Foreground,0.990000
652_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148,2021-08-24 11:46:21,-71,1.327268,Foreground,0.990000
772_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157,2021-08-24 11:46:21,-67,1.290022,Foreground,0.990000
772_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,165,2021-08-24 11:46:21,-70,1.741264,Foreground,0.990000
