Device:,Pixel XL
OS version:,10
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
973_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:41:08,-51,1.017953,Foreground,1.000000
973_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:41:08,-66,1.043149,Foreground,1.000000
973_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 12:41:08,-69,1.187304,Foreground,1.000000
973_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 12:41:08,-76,2.409952,Foreground,1.000000
719_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 12:41:09,-68,1.125826,Foreground,1.000000
125_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 12:41:40,-53,0.129905,Foreground,1.000000
749_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:41:40,-60,0.449137,Foreground,1.000000
749_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 12:41:40,-64,0.856379,Foreground,1.000000
579_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 12:41:40,-74,1.586224,Foreground,1.000000
640_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 12:41:41,-62,0.293457,Foreground,1.000000
358_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:41:41,-53,0.246236,Foreground,1.000000
358_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:41:41,-78,1.125826,Foreground,1.000000
358_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 12:41:41,-74,1.187304,Foreground,1.000000
507_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 12:41:41,-75,1.635860,Foreground,1.000000
424_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 12:41:42,-70,0.791778,Foreground,1.000000
949_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 12:41:42,-79,2.182096,Foreground,1.000000
366_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:41:42,-62,0.449137,Foreground,1.000000
