Device:,Pixel XL
OS version:,10
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
342_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 12:46:55,-50,0.072538,Foreground,1.000000
342_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:46:56,-55,0.449137,Foreground,1.000000
342_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:46:56,-65,0.574933,Foreground,1.000000
994_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 12:46:57,-48,0.048226,Foreground,1.000000
19_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 12:46:57,-61,0.529864,Foreground,1.000000
564_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 12:46:57,-57,0.225292,Foreground,1.000000
564_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:46:57,-56,0.225292,Foreground,1.000000
564_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:46:57,-57,0.268915,Foreground,1.000000
564_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 12:46:57,-70,1.254315,Foreground,1.000000
348_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 12:46:57,-60,0.449137,Foreground,1.000000
Rule 5 
707_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:46:58,-70,0.225292,Foreground,1.000000
51_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 12:46:58,-73,1.492753,Foreground,1.000000
450_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 12:46:59,-64,0.856379,Foreground,1.000000
352_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 12:46:59,-64,0.268915,Foreground,1.000000
352_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:46:59,-78,1.097042,Foreground,1.000000
352_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:46:59,-79,1.254315,Foreground,1.000000
492_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 12:46:59,-78,1.187304,Foreground,1.000000
423_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 12:47:00,-66,1.043149,Foreground,1.000000
606_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 12:47:00,-77,1.327268,Foreground,1.000000
428_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:47:00,-67,1.069498,Foreground,1.000000
428_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 12:47:00,-73,1.155898,Foreground,1.000000
428_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 12:47:00,-70,1.254315,Foreground,1.000000
428_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:47:00,-72,1.302264,Foreground,1.000000
678_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 12:47:00,-74,1.797170,Foreground,1.000000
835_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 12:47:01,-62,1.043149,Foreground,1.000000
874_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 12:47:01,-72,1.366107,Foreground,1.000000
565_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 12:47:01,-61,0.856379,Foreground,1.000000
565_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:47:01,-62,1.051802,Foreground,1.000000
565_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:47:01,-63,1.327268,Foreground,1.000000
565_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 12:47:01,-84,1.915748,Foreground,1.000000
710_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 12:47:02,-71,1.366107,Foreground,1.000000
320_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 12:47:02,-61,0.529864,Foreground,1.000000
320_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:47:02,-48,0.598737,Foreground,1.000000
320_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:47:02,-76,1.406595,Foreground,1.000000
811_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 12:47:02,-68,1.327268,Foreground,1.000000
249_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 12:47:03,-60,0.529864,Foreground,1.000000
226_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 12:47:03,-69,1.254315,Foreground,1.000000
348_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:47:03,-49,0.177049,Foreground,1.000000
348_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 12:47:03,-53,0.293457,Foreground,1.000000
776_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 12:47:03,-69,1.155898,Foreground,1.000000
354_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 12:47:04,-72,0.449137,Foreground,1.000000
602_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 12:47:04,-61,1.125826,Foreground,1.000000
464_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:47:04,-74,0.088424,Foreground,1.000000
464_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:47:04,-71,1.538544,Foreground,1.000000
991_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 12:47:04,-62,1.125826,Foreground,1.000000
491_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 12:47:05,-68,0.856379,Foreground,1.000000
44_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 12:47:05,-69,1.017953,Foreground,1.000000
44_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:47:05,-66,1.017953,Foreground,1.000000
44_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 12:47:05,-71,1.327268,Foreground,1.000000
44_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:47:05,-76,1.586224,Foreground,1.000000
436_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 12:47:05,-91,4.909544,Foreground,1.000000
293_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 12:47:06,-69,1.155898,Foreground,1.000000
65_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 12:47:06,-78,0.529864,Foreground,1.000000
384_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:47:06,-67,1.017953,Foreground,1.000000
384_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 12:47:06,-70,1.187304,Foreground,1.000000
384_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:47:06,-74,1.586224,Foreground,1.000000
525_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 12:47:06,-72,1.069498,Foreground,1.000000
257_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 12:47:07,-73,1.069498,Foreground,1.000000
809_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:47:07,-72,1.043149,Foreground,1.000000
809_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 12:47:07,-66,1.145728,Foreground,1.000000
809_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:47:07,-72,1.586224,Foreground,1.000000
809_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 12:47:07,-90,4.587381,Foreground,1.000000
571_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 12:47:07,-74,1.492753,Foreground,1.000000
571_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 12:47:07,-84,3.869691,Foreground,1.000000
13_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 12:47:08,-57,0.902042,Foreground,1.000000
13_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:47:08,-58,1.069498,Foreground,1.000000
13_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:47:08,-47,1.406595,Foreground,1.000000
13_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 12:47:08,-79,2.182096,Foreground,1.000000
300_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 12:47:09,-45,0.856379,Foreground,1.000000
536_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 12:47:09,-56,0.225292,Foreground,1.000000
267_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:47:09,-48,0.048226,Foreground,1.000000
267_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 12:47:09,-56,0.424800,Foreground,1.000000
267_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:47:09,-60,0.449137,Foreground,1.000000
267_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 12:47:09,-68,1.538544,Foreground,1.000000
812_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 12:47:09,-47,0.488000,Foreground,1.000000
812_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 12:47:09,-69,1.855307,Foreground,1.000000
927_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 12:47:10,-60,0.118157,Foreground,1.000000
167_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 12:47:10,-67,0.574933,Foreground,1.000000
167_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 12:47:10,-84,3.049896,Foreground,1.000000
764_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:47:10,-68,0.048226,Foreground,1.000000
764_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:47:10,-56,0.319997,Foreground,1.000000
764_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 12:47:10,-62,0.338871,Foreground,1.000000
764_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 12:47:10,-82,2.182096,Foreground,1.000000
941_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 12:47:10,-71,0.379653,Foreground,1.000000
488_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 12:47:11,-54,0.156604,Foreground,1.000000
332_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 12:47:11,-53,0.319997,Foreground,1.000000
332_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 12:47:11,-57,0.675564,Foreground,1.000000
332_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 12:47:11,-61,0.771241,Foreground,1.000000
332_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 12:47:11,-85,2.850302,Foreground,1.000000
979_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 12:47:12,-59,0.379653,Foreground,1.000000
21_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 12:47:12,-64,0.993867,Foreground,1.000000
