Device:,Pixel XL
OS version:,10
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
358_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:00:41,-70,0.529864,Foreground,1.000000
5_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:00:41,-68,0.449137,Foreground,1.000000
610_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:00:41,-61,0.529864,Foreground,1.000000
610_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:00:41,-74,1.254315,Foreground,1.000000
610_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 13:00:41,-88,2.576537,Foreground,1.000000
571_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:00:41,-61,0.529864,Foreground,1.000000
457_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:00:42,-74,0.993867,Foreground,1.000000
393_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:00:42,-57,0.268915,Foreground,1.000000
393_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:00:42,-69,0.449137,Foreground,1.000000
393_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 13:00:42,-88,4.003749,Foreground,1.000000
692_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:00:42,-52,0.246236,Foreground,1.000000
692_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 13:00:42,-74,1.586224,Foreground,1.000000
273_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:00:43,-63,0.993867,Foreground,1.000000
597_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:00:43,-59,1.586224,Foreground,1.000000
625_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:00:43,-72,0.529864,Foreground,1.000000
237_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:00:44,-57,0.993867,Foreground,1.000000
364_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:00:44,-48,0.205966,Foreground,1.000000
364_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 13:00:44,-71,1.327268,Foreground,1.000000
879_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 13:00:44,-69,1.187304,Foreground,1.000000
884_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 13:00:44,-77,1.741264,Foreground,1.000000
397_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:00:45,-63,0.449137,Foreground,1.000000
397_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 13:00:45,-71,1.327268,Foreground,1.000000
924_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:00:45,-45,0.008819,Foreground,1.000000
924_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:00:45,-48,0.379653,Foreground,1.000000
924_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:00:45,-64,0.488000,Foreground,1.000000
812_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:00:45,-48,0.449137,Foreground,1.000000
Rule 4 
============================================================
530_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:00:46,-73,0.731597,Foreground,1.000000
86_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:00:46,-66,0.268915,Foreground,1.000000
868_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:00:46,-46,0.025292,Foreground,1.000000
868_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:00:46,-65,0.048226,Foreground,1.000000
868_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 13:00:46,-65,0.970850,Foreground,1.000000
55_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 13:00:46,-87,3.740113,Foreground,1.000000
866_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:00:47,-70,1.254315,Foreground,1.000000
866_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 13:00:47,-88,4.003749,Foreground,1.000000
563_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:00:47,-72,1.406595,Foreground,1.000000
563_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 13:00:47,-79,2.182096,Foreground,1.000000
372_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:00:47,-65,0.268915,Foreground,1.000000
372_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:00:47,-58,0.319997,Foreground,1.000000
372_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:00:47,-77,1.915748,Foreground,1.000000
372_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 13:00:47,-84,3.049896,Foreground,1.000000
598_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:00:47,-59,0.379653,Foreground,1.000000
598_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 13:00:47,-84,2.491716,Foreground,1.000000
Rule 4 
984_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:00:48,-53,0.129905,Foreground,1.000000
984_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:00:48,-64,0.529864,Foreground,1.000000
984_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 13:00:48,-69,1.187304,Foreground,1.000000
917_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:00:48,-72,0.993867,Foreground,1.000000
487_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:00:49,-64,0.856379,Foreground,1.000000
238_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:00:49,-65,0.212236,Foreground,1.000000
238_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 13:00:49,-84,1.855307,Foreground,1.000000
238_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:00:49,-52,1.915748,Foreground,1.000000
238_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 13:00:49,-87,3.740113,Foreground,1.000000
841_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:00:49,-45,0.529864,Foreground,1.000000
126_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:00:50,-76,1.797170,Foreground,1.000000
877_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:00:50,-45,0.088424,Foreground,1.000000
877_b28e7807-3517-4048-90cd-29e4826ae511,135,2021-08-24 13:00:50,-91,2.491716,Foreground,1.000000
152_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:00:50,-61,0.268915,Foreground,1.000000
152_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:00:50,-68,1.017953,Foreground,1.000000
152_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:00:50,-76,1.797170,Foreground,1.000000
152_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 13:00:50,-76,1.797170,Foreground,1.000000
152_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 13:00:50,-77,1.915748,Foreground,1.000000
152_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 13:00:50,-89,4.003749,Foreground,1.000000
258_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:00:50,-67,0.970850,Foreground,1.000000
Rule 4 
196_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:00:51,-69,1.448791,Foreground,1.000000
196_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,133,2021-08-24 13:00:51,-81,2.491716,Foreground,1.000000
348_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:00:51,-67,0.293457,Foreground,1.000000
745_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:00:51,-71,0.812807,Foreground,1.000000
745_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:00:51,-65,1.125826,Foreground,1.000000
745_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,132,2021-08-24 13:00:51,-82,2.182096,Foreground,1.000000
370_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:00:51,-64,0.791778,Foreground,1.000000
370_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 13:00:51,-90,4.587381,Foreground,1.000000
222_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:00:52,-72,1.406595,Foreground,1.000000
571_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:00:52,-65,0.675564,Foreground,1.000000
976_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,140,2021-08-24 13:00:52,-65,1.043149,Foreground,1.000000
976_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,138,2021-08-24 13:00:52,-71,1.538544,Foreground,1.000000
976_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,134,2021-08-24 13:00:52,-93,3.264133,Foreground,1.000000
555_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,143,2021-08-24 13:00:52,-64,0.856379,Foreground,1.000000
555_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 13:00:53,-87,4.142414,Foreground,1.000000
98_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,139,2021-08-24 13:00:53,-73,1.290022,Foreground,1.000000
453_b28e7807-3517-4048-90cd-29e4826ae511,141,2021-08-24 13:00:53,-72,1.001775,Foreground,1.000000
474_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,142,2021-08-24 13:00:53,-66,1.017953,Foreground,1.000000
