Device:,Pixel XL
OS version:,10
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
255_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:10:14,-90,4.587381,Foreground,1.000000
918_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:10:14,-70,1.254315,Foreground,1.000000
661_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:10:15,-62,0.623424,Foreground,1.000000
397_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:10:15,-63,1.043149,Foreground,1.000000
208_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:10:16,-68,1.187304,Foreground,1.000000
208_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:10:17,-77,1.254315,Foreground,1.000000
208_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:10:17,-88,4.003749,Foreground,1.000000
451_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:10:17,-74,1.586224,Foreground,1.000000
214_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:10:17,-72,1.069498,Foreground,1.000000
846_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:10:17,-62,0.623424,Foreground,1.000000
470_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:10:17,-65,1.220093,Foreground,1.000000
335_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:10:18,-70,1.327268,Foreground,1.000000
611_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:10:19,-84,3.049896,Foreground,1.000000
41_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:10:19,-59,0.970850,Foreground,1.000000
78_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:10:20,-89,2.255231,Foreground,1.000000
663_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:10:20,-72,0.993867,Foreground,1.000000
950_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:10:21,-87,4.003749,Foreground,1.000000
460_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:10:22,-70,1.254315,Foreground,1.000000
270_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:10:22,-75,1.687518,Foreground,1.000000
107_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:10:22,-75,1.538544,Foreground,1.000000
============================================================
624_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:10:23,-77,1.687518,Foreground,1.000000
866_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:10:24,-81,2.491716,Foreground,1.000000
193_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:10:24,-80,2.948322,Foreground,1.000000
442_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:10:25,-84,3.049896,Foreground,1.000000
517_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:10:26,-90,3.740113,Foreground,1.000000
706_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:10:26,-78,2.043847,Foreground,1.000000
452_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:10:26,-81,2.491716,Foreground,1.000000
951_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:10:27,-62,2.664510,Foreground,1.000000
437_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:10:27,-87,3.740113,Foreground,1.000000
107_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:10:27,-79,2.182096,Foreground,1.000000
356_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:10:29,-79,2.182096,Foreground,1.000000
824_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:10:29,-80,2.331154,Foreground,1.000000
892_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:10:30,-78,2.043847,Foreground,1.000000
266_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:10:31,-72,1.797170,Foreground,1.000000
599_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:10:32,-52,0.107374,Foreground,1.000000
226_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:10:33,-76,1.586224,Foreground,1.000000
226_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:10:33,-76,1.797170,Foreground,1.000000
828_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:10:35,-66,1.327268,Foreground,1.000000
828_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:10:35,-87,3.740113,Foreground,1.000000
523_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:10:35,-75,1.687518,Foreground,1.000000
639_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:10:36,-55,0.188145,Foreground,1.000000
613_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:10:36,-67,1.069498,Foreground,1.000000
613_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:10:36,-73,1.492753,Foreground,1.000000
613_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:10:36,-78,2.043847,Foreground,1.000000
586_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:10:36,-84,2.255231,Foreground,1.000000
495_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:10:37,-67,1.069498,Foreground,1.000000
355_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:10:37,-60,0.449137,Foreground,1.000000
355_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:10:37,-87,1.492753,Foreground,1.000000
161_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:10:38,-83,3.264133,Foreground,1.000000
719_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:10:38,-84,1.220093,Foreground,1.000000
719_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:10:38,-81,1.586224,Foreground,1.000000
407_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:10:38,-74,1.069498,Foreground,1.000000
407_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:10:38,-74,1.586224,Foreground,1.000000
407_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:10:38,-84,2.491716,Foreground,1.000000
407_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:10:38,-89,4.285818,Foreground,1.000000
407_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:10:38,-91,4.909544,Foreground,1.000000
462_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:10:38,-79,2.182096,Foreground,1.000000
462_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 13:10:38,-91,4.909544,Foreground,1.000000
Rule 4 
162_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:10:39,-83,2.491716,Foreground,1.000000
162_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:10:39,-81,2.755732,Foreground,1.000000
952_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:10:39,-78,1.797170,Foreground,1.000000
952_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:10:39,-77,2.409952,Foreground,1.000000
952_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:10:39,-84,3.049896,Foreground,1.000000
952_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:10:39,-80,3.155130,Foreground,1.000000
397_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:10:39,-80,2.182096,Foreground,1.000000
340_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:10:40,-83,2.850302,Foreground,1.000000
340_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:10:40,-83,2.850302,Foreground,1.000000
69_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:10:40,-74,1.586224,Foreground,1.000000
69_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:10:40,-75,1.875194,Foreground,1.000000
69_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:10:40,-79,2.182096,Foreground,1.000000
69_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:10:40,-83,3.049896,Foreground,1.000000
69_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:10:40,-85,4.003749,Foreground,1.000000
302_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:10:40,-67,2.000052,Foreground,1.000000
302_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:10:40,-82,2.664510,Foreground,1.000000
988_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:10:41,-84,2.850302,Foreground,1.000000
988_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:10:41,-84,2.948322,Foreground,1.000000
363_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:10:41,-75,2.043847,Foreground,1.000000
363_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:10:41,-88,3.377018,Foreground,1.000000
855_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:10:41,-74,2.182096,Foreground,1.000000
855_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:10:41,-92,2.664510,Foreground,1.000000
855_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:10:41,-92,2.850302,Foreground,1.000000
855_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:10:41,-84,3.049896,Foreground,1.000000
383_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:10:41,-79,2.000052,Foreground,1.000000
693_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:10:42,-67,1.687518,Foreground,1.000000
693_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:10:42,-82,3.264133,Foreground,1.000000
979_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:10:42,-64,1.635860,Foreground,1.000000
979_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:10:42,-81,2.491716,Foreground,1.000000
979_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:10:42,-88,3.493897,Foreground,1.000000
479_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:10:42,-81,2.576537,Foreground,1.000000
Rule 4 
872_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:10:43,-78,2.491716,Foreground,1.000000
872_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:10:43,-82,2.664510,Foreground,1.000000
789_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:10:43,-81,2.664510,Foreground,1.000000
136_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:10:43,-64,0.856379,Foreground,1.000000
136_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:10:43,-83,2.182096,Foreground,1.000000
136_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:10:43,-82,2.664510,Foreground,1.000000
136_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:10:43,-81,3.049896,Foreground,1.000000
136_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,136,2021-08-24 13:10:43,-88,4.003749,Foreground,1.000000
136_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:10:43,-86,4.285818,Foreground,1.000000
591_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:10:43,-85,2.182096,Foreground,1.000000
591_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:10:43,-82,2.576537,Foreground,1.000000
718_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:10:44,-75,1.855307,Foreground,1.000000
718_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:10:44,-83,2.755732,Foreground,1.000000
304_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:10:44,-70,2.491716,Foreground,1.000000
980_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:10:44,-61,1.687518,Foreground,1.000000
980_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:10:44,-70,1.741264,Foreground,1.000000
980_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:10:44,-70,2.043847,Foreground,1.000000
829_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:10:44,-60,1.448791,Foreground,1.000000
829_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,137,2021-08-24 13:10:44,-79,2.182096,Foreground,1.000000
264_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:10:45,-89,2.850302,Foreground,1.000000
312_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:10:45,-71,1.327268,Foreground,1.000000
521_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:10:45,-70,1.448791,Foreground,1.000000
521_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:10:45,-73,1.492753,Foreground,1.000000
521_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:10:45,-79,2.043847,Foreground,1.000000
521_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:10:45,-88,3.493897,Foreground,1.000000
521_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:10:45,-92,3.740113,Foreground,1.000000
948_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:10:45,-72,1.406595,Foreground,1.000000
948_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:10:45,-85,2.948322,Foreground,1.000000
775_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:10:46,-85,3.264133,Foreground,1.000000
188_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:10:46,-72,1.366107,Foreground,1.000000
661_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:10:47,-78,3.264133,Foreground,1.000000
442_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:10:48,-76,1.797170,Foreground,1.000000
908_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:10:49,-74,1.406595,Foreground,1.000000
3_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:10:49,-72,1.406595,Foreground,1.000000
3_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,120,2021-08-24 13:10:49,-83,2.850302,Foreground,1.000000
996_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:10:50,-86,2.491716,Foreground,1.000000
952_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:10:51,-80,2.331154,Foreground,1.000000
506_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,122,2021-08-24 13:10:51,-77,2.576537,Foreground,1.000000
506_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:10:51,-86,3.493897,Foreground,1.000000
