Device:,Pixel XL
OS version:,10
App version:,1.4.5 (1)
Library version:,1.0.0
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
94_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:17:19,-68,1.125826,Foreground,1.000000
24_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:17:19,-58,0.501612,Foreground,1.000000
15_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:17:20,-70,0.675564,Foreground,1.000000
15_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:17:20,-66,1.097042,Foreground,1.000000
150_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:17:21,-61,0.529864,Foreground,1.000000
466_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:17:21,-48,0.348678,Foreground,1.000000
466_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:17:21,-71,1.327268,Foreground,1.000000
321_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:17:21,-64,1.017953,Foreground,1.000000
321_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:17:21,-77,1.448791,Foreground,1.000000
852_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:17:21,-52,0.129905,Foreground,1.000000
116_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:17:22,-62,0.574933,Foreground,1.000000
116_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,121,2021-08-24 13:17:22,-77,1.915748,Foreground,1.000000
116_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:17:22,-62,0.623424,Foreground,1.000000
116_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:17:22,-82,1.855307,Foreground,1.000000
42_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:17:22,-68,1.448791,Foreground,1.000000
224_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:17:22,-70,0.529864,Foreground,1.000000
745_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:17:23,-80,0.993867,Foreground,1.000000
741_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:17:23,-69,0.993867,Foreground,1.000000
741_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:17:23,-85,2.664510,Foreground,1.000000
540_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:17:23,-70,1.187304,Foreground,1.000000
540_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:17:23,-74,1.586224,Foreground,1.000000
540_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:17:23,-91,4.909544,Foreground,1.000000
728_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:17:24,-74,1.366107,Foreground,1.000000
517_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:17:24,-71,1.254315,Foreground,1.000000
61_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:17:24,-73,1.538544,Foreground,1.000000
61_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:17:24,-82,1.687518,Foreground,1.000000
61_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:17:24,-83,1.741264,Foreground,1.000000
845_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:17:24,-70,1.254315,Foreground,1.000000
============================================================
144_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:17:25,-80,1.875194,Foreground,1.000000
63_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:17:26,-79,2.182096,Foreground,1.000000
406_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:17:27,-68,1.125826,Foreground,1.000000
934_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:17:30,-75,1.687518,Foreground,1.000000
441_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:17:31,-72,1.406595,Foreground,1.000000
441_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:17:31,-76,1.797170,Foreground,1.000000
441_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:17:31,-83,2.850302,Foreground,1.000000
327_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:17:31,-72,1.406595,Foreground,1.000000
540_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:17:32,-64,0.856379,Foreground,1.000000
540_b28e7807-3517-4048-90cd-29e4826ae511,123,2021-08-24 13:17:32,-87,3.740113,Foreground,1.000000
562_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:17:32,-74,1.492753,Foreground,1.000000
562_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:17:32,-74,1.687518,Foreground,1.000000
562_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:17:32,-75,2.182096,Foreground,1.000000
480_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:17:32,-75,1.406595,Foreground,1.000000
708_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:17:33,-75,1.220093,Foreground,1.000000
389_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:17:33,-69,1.406595,Foreground,1.000000
389_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:17:33,-76,1.687518,Foreground,1.000000
303_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:17:33,-76,1.538544,Foreground,1.000000
973_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:17:34,-82,1.187304,Foreground,1.000000
680_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:17:34,-90,1.687518,Foreground,1.000000
238_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:17:34,-68,1.366107,Foreground,1.000000
238_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:17:34,-79,1.687518,Foreground,1.000000
796_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:17:35,-87,3.740113,Foreground,1.000000
51_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:17:35,-85,1.797170,Foreground,1.000000
51_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:17:35,-86,1.915748,Foreground,1.000000
51_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,124,2021-08-24 13:17:35,-98,7.845424,Foreground,1.000000
870_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:17:35,-68,1.797170,Foreground,1.000000
445_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:17:36,-63,0.731597,Foreground,1.000000
990_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:17:36,-52,3.740113,Foreground,1.000000
508_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:17:36,-71,1.327268,Foreground,1.000000
597_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:17:36,-61,1.125826,Foreground,1.000000
597_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,125,2021-08-24 13:17:36,-75,1.687518,Foreground,1.000000
58_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:17:38,-78,1.290022,Foreground,1.000000
314_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:17:38,-77,1.125826,Foreground,1.000000
185_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:17:38,-67,1.069498,Foreground,1.000000
185_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:17:38,-75,1.687518,Foreground,1.000000
185_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:17:38,-84,1.978569,Foreground,1.000000
864_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:17:38,-69,0.970850,Foreground,1.000000
714_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:17:39,-90,3.049896,Foreground,1.000000
428_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:17:39,-75,1.687518,Foreground,1.000000
472_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:17:39,-54,0.488000,Foreground,1.000000
472_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:17:39,-81,2.043847,Foreground,1.000000
942_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:17:39,-73,1.327268,Foreground,1.000000
661_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:17:40,-76,2.043847,Foreground,1.000000
217_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:17:40,-68,1.352980,Foreground,1.000000
497_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:17:40,-67,1.069498,Foreground,1.000000
497_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:17:40,-68,1.741264,Foreground,1.000000
658_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:17:40,-75,1.492753,Foreground,1.000000
950_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,127,2021-08-24 13:17:41,-82,2.664510,Foreground,1.000000
575_b28e7807-3517-4048-90cd-29e4826ae511,129,2021-08-24 13:17:41,-68,1.220093,Foreground,1.000000
46_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:17:41,-69,1.097042,Foreground,1.000000
46_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:17:41,-70,1.554224,Foreground,1.000000
46_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:17:41,-79,2.182096,Foreground,1.000000
438_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,130,2021-08-24 13:17:43,-85,1.687518,Foreground,1.000000
438_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,128,2021-08-24 13:17:43,-85,1.915748,Foreground,1.000000
438_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,126,2021-08-24 13:17:43,-79,2.182096,Foreground,1.000000
919_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,131,2021-08-24 13:17:43,-85,3.264133,Foreground,1.000000
