Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (3)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
Rule 2
758_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:05:18,-74,2.2,Foreground,0.730000
758_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:05:18,-74,2.3,Foreground,0.730000
758_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:05:18,-72,2.7,Foreground,0.730000
758_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:05:18,-75,2.7,Foreground,0.730000
758_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,167,2021-09-15 21:05:18,-84,11.0,Foreground,0.730000
758_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,157,2021-09-15 21:05:18,-87,11.9,Foreground,0.730000
758_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:05:18,-89,14.8,Foreground,0.730000
758_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,169,2021-09-15 21:05:18,-86,17.9,Foreground,0.730000
758_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-09-15 21:05:18,-92,18.6,Foreground,0.730000
758_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,165,2021-09-15 21:05:18,-90,26.4,Foreground,0.730000
414_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:05:19,-75,2.3,Foreground,0.730000
414_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:05:19,-74,2.3,Foreground,0.730000
414_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:05:19,-72,2.6,Foreground,0.730000
414_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:05:19,-72,2.7,Foreground,0.730000
414_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:05:19,-74,3.4,Foreground,0.730000
414_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,167,2021-09-15 21:05:19,-82,10.7,Foreground,0.730000
414_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-09-15 21:05:19,-81,11.7,Foreground,0.730000
414_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,155,2021-09-15 21:05:19,-81,12.9,Foreground,0.730000
414_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,153,2021-09-15 21:05:19,-87,14.6,Foreground,0.730000
414_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:05:19,-86,14.8,Foreground,0.730000
414_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-09-15 21:05:19,-87,16.1,Foreground,0.730000
414_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-09-15 21:05:19,-84,17.6,Foreground,0.730000
414_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-09-15 21:05:19,-89,19.1,Foreground,0.730000
414_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-09-15 21:05:19,-89,19.6,Foreground,0.730000
414_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-09-15 21:05:19,-92,23.5,Foreground,0.730000
414_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,165,2021-09-15 21:05:19,-89,25.8,Foreground,0.730000
101_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:05:20,-72,2.3,Foreground,0.730000
101_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:05:20,-74,2.5,Foreground,0.730000
101_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:05:20,-71,2.5,Foreground,0.730000
101_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:05:20,-72,2.6,Foreground,0.730000
101_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:05:20,-79,2.8,Foreground,0.730000
101_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:05:20,-75,3.4,Foreground,0.730000
101_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-09-15 21:05:20,-81,10.3,Foreground,0.730000
101_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,167,2021-09-15 21:05:20,-82,10.5,Foreground,0.730000
101_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,155,2021-09-15 21:05:20,-82,12.1,Foreground,0.730000
101_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,157,2021-09-15 21:05:20,-87,12.3,Foreground,0.730000
101_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:05:20,-85,14.6,Foreground,0.730000
101_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-09-15 21:05:20,-84,16.7,Foreground,0.730000
101_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-09-15 21:05:20,-90,16.7,Foreground,0.730000
101_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-09-15 21:05:20,-89,19.6,Foreground,0.730000
101_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-09-15 21:05:20,-90,20.2,Foreground,0.730000
101_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-09-15 21:05:20,-89,23.1,Foreground,0.730000
101_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,161,2021-09-15 21:05:20,-94,25.0,Foreground,0.730000
584_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:05:21,-65,1.6,Foreground,0.730000
584_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:05:21,-67,2.1,Foreground,0.730000
