Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (3)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
353_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:07:54,-65,1.2,Foreground,0.730000
353_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:07:54,-74,1.5,Foreground,0.730000
353_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:07:54,-69,1.6,Foreground,0.730000
353_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:07:54,-72,1.9,Foreground,0.730000
353_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:07:54,-85,9.2,Foreground,0.730000
353_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,157,2021-09-15 21:07:54,-81,12.3,Foreground,0.730000
353_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,165,2021-09-15 21:07:54,-94,33.4,Foreground,0.730000
353_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-09-15 21:07:54,-92,34.5,Foreground,0.730000
Rule 2
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:07:55,-75,1.2,Foreground,0.730000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:07:55,-67,1.4,Foreground,0.730000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:07:55,-72,1.4,Foreground,0.730000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:07:55,-69,1.5,Foreground,0.730000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:07:55,-77,1.9,Foreground,0.730000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:07:55,-74,2.1,Foreground,0.730000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:07:55,-85,9.5,Foreground,0.730000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,157,2021-09-15 21:07:55,-82,11.8,Foreground,0.730000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-09-15 21:07:55,-83,15.1,Foreground,0.730000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,167,2021-09-15 21:07:55,-90,16.5,Foreground,0.730000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-09-15 21:07:55,-84,18.2,Foreground,0.730000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-09-15 21:07:55,-88,20.5,Foreground,0.730000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-09-15 21:07:55,-84,24.0,Foreground,0.730000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,169,2021-09-15 21:07:55,-87,27.4,Foreground,0.730000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-09-15 21:07:55,-92,34.1,Foreground,0.730000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,165,2021-09-15 21:07:55,-94,34.5,Foreground,0.730000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,161,2021-09-15 21:07:55,-96,38.2,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:07:56,-67,1.4,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:07:56,-70,1.5,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:07:56,-67,1.5,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:07:56,-73,1.6,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:07:56,-71,2.0,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:07:56,-79,2.5,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:07:56,-84,9.7,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,157,2021-09-15 21:07:56,-85,11.9,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-09-15 21:07:56,-89,16.1,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-09-15 21:07:56,-86,17.1,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,167,2021-09-15 21:07:56,-90,17.6,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-09-15 21:07:56,-83,18.3,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,155,2021-09-15 21:07:56,-87,18.5,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-09-15 21:07:56,-88,20.2,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,153,2021-09-15 21:07:56,-88,22.7,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,169,2021-09-15 21:07:56,-83,22.9,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-09-15 21:07:56,-92,31.6,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,165,2021-09-15 21:07:56,-91,33.3,Foreground,0.730000
657_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-09-15 21:07:56,-92,38.4,Foreground,0.730000
564_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:07:57,-69,1.5,Foreground,0.730000
564_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:07:57,-70,1.6,Foreground,0.730000
564_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:07:57,-73,1.7,Foreground,0.730000
564_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:07:57,-71,1.7,Foreground,0.730000
564_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:07:57,-70,1.9,Foreground,0.730000
564_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:07:57,-70,2.3,Foreground,0.730000
564_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:07:57,-83,9.8,Foreground,0.730000
564_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-09-15 21:07:57,-89,16.8,Foreground,0.730000
564_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,155,2021-09-15 21:07:57,-87,17.9,Foreground,0.730000
564_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,167,2021-09-15 21:07:57,-91,18.8,Foreground,0.730000
564_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-09-15 21:07:57,-88,20.1,Foreground,0.730000
564_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,169,2021-09-15 21:07:57,-83,20.1,Foreground,0.730000
564_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-09-15 21:07:57,-93,32.6,Foreground,0.730000
564_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-09-15 21:07:57,-92,36.8,Foreground,0.730000
278_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:07:58,-71,1.7,Foreground,0.730000
278_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:07:58,-73,1.7,Foreground,0.730000
278_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:07:58,-70,1.8,Foreground,0.730000
278_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:07:58,-73,1.9,Foreground,0.730000
278_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:07:58,-70,1.9,Foreground,0.730000
278_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:07:58,-71,2.3,Foreground,0.730000
278_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:07:58,-84,9.9,Foreground,0.730000
278_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,157,2021-09-15 21:07:58,-84,11.8,Foreground,0.730000
278_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-09-15 21:07:58,-84,15.4,Foreground,0.730000
278_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-09-15 21:07:58,-86,16.4,Foreground,0.730000
278_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,155,2021-09-15 21:07:58,-88,18.2,Foreground,0.730000
278_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,167,2021-09-15 21:07:58,-89,19.1,Foreground,0.730000
278_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-09-15 21:07:58,-88,19.9,Foreground,0.730000
278_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,153,2021-09-15 21:07:58,-89,22.4,Foreground,0.730000
278_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,165,2021-09-15 21:07:58,-91,32.4,Foreground,0.730000
278_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-09-15 21:07:58,-92,35.8,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:07:59,-65,1.5,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:07:59,-68,1.7,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:07:59,-71,1.8,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:07:59,-74,2.0,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:07:59,-72,2.0,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:07:59,-72,2.3,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:07:59,-82,9.8,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,157,2021-09-15 21:07:59,-82,11.3,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-09-15 21:07:59,-83,13.9,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,155,2021-09-15 21:07:59,-85,16.8,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-09-15 21:07:59,-90,17.2,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-09-15 21:07:59,-85,18.7,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,167,2021-09-15 21:07:59,-90,19.7,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,169,2021-09-15 21:07:59,-88,20.0,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,153,2021-09-15 21:07:59,-89,22.2,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,165,2021-09-15 21:07:59,-91,31.7,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-09-15 21:07:59,-93,35.8,Foreground,0.730000
275_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,161,2021-09-15 21:07:59,-96,43.8,Foreground,0.730000
Rule 2
824_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:08:00,-64,1.2,Foreground,0.730000
824_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:08:00,-66,1.5,Foreground,0.730000
824_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:08:00,-70,1.9,Foreground,0.730000
824_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:08:00,-72,2.1,Foreground,0.730000
824_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:08:00,-70,2.2,Foreground,0.730000
824_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:08:00,-83,9.8,Foreground,0.730000
824_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,157,2021-09-15 21:08:00,-83,11.1,Foreground,0.730000
