Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (3)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
495_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:09:15,-73,0.8,Foreground,0.720000
495_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:09:15,-68,1.0,Foreground,0.720000
495_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:09:15,-78,1.3,Foreground,0.720000
495_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:09:15,-77,2.4,Foreground,0.720000
495_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:09:15,-82,14.4,Foreground,0.720000
495_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-09-15 21:09:15,-89,14.8,Foreground,0.720000
495_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-09-15 21:09:15,-85,15.0,Foreground,0.720000
495_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,167,2021-09-15 21:09:15,-90,17.4,Foreground,0.720000
495_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-09-15 21:09:15,-89,23.9,Foreground,0.720000
Rule 2
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:09:16,-69,1.4,Foreground,0.720000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-09-15 21:09:16,-88,15.2,Foreground,0.720000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,167,2021-09-15 21:09:16,-81,15.4,Foreground,0.720000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,171,2021-09-15 21:09:16,-90,22.2,Foreground,0.720000
710_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,163,2021-09-15 21:09:16,-85,26.3,Foreground,0.720000
186_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:09:17,-70,1.0,Foreground,0.720000
186_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:09:17,-67,1.1,Foreground,0.720000
186_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:09:17,-71,1.1,Foreground,0.720000
186_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:09:17,-69,1.5,Foreground,0.720000
186_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:09:17,-71,1.5,Foreground,0.720000
186_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:09:17,-81,2.8,Foreground,0.720000
186_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,157,2021-09-15 21:09:17,-86,12.3,Foreground,0.720000
186_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,153,2021-09-15 21:09:17,-86,12.4,Foreground,0.720000
186_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,167,2021-09-15 21:09:17,-81,14.0,Foreground,0.720000
186_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:09:17,-87,14.6,Foreground,0.720000
186_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-09-15 21:09:17,-88,15.5,Foreground,0.720000
186_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-09-15 21:09:17,-88,16.8,Foreground,0.720000
186_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,155,2021-09-15 21:09:17,-91,18.4,Foreground,0.720000
186_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,163,2021-09-15 21:09:17,-85,21.4,Foreground,0.720000
186_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,169,2021-09-15 21:09:17,-88,21.5,Foreground,0.720000
186_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,171,2021-09-15 21:09:17,-90,22.7,Foreground,0.720000
186_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,161,2021-09-15 21:09:17,-95,42.3,Foreground,0.720000
441_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:09:18,-68,1.2,Foreground,0.720000
441_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:09:18,-69,1.3,Foreground,0.720000
441_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:09:18,-69,1.5,Foreground,0.720000
441_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:09:18,-71,1.6,Foreground,0.720000
441_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:09:18,-71,1.8,Foreground,0.720000
441_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:09:18,-88,3.9,Foreground,0.720000
441_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,157,2021-09-15 21:09:18,-86,12.8,Foreground,0.720000
441_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,153,2021-09-15 21:09:18,-86,13.0,Foreground,0.720000
441_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-09-15 21:09:18,-83,14.0,Foreground,0.720000
441_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:09:18,-86,14.6,Foreground,0.720000
441_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-09-15 21:09:18,-88,15.8,Foreground,0.720000
441_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-09-15 21:09:18,-88,17.2,Foreground,0.720000
441_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,155,2021-09-15 21:09:18,-89,18.8,Foreground,0.720000
441_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,169,2021-09-15 21:09:18,-88,21.0,Foreground,0.720000
441_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-09-15 21:09:18,-90,24.0,Foreground,0.720000
441_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,161,2021-09-15 21:09:18,-95,43.7,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:09:19,-66,1.2,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:09:19,-68,1.5,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:09:19,-71,1.5,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:09:19,-68,1.7,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:09:19,-75,2.1,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:09:19,-79,4.3,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-09-15 21:09:19,-82,12.5,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,153,2021-09-15 21:09:19,-86,13.4,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:09:19,-86,14.6,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,167,2021-09-15 21:09:19,-93,14.9,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-09-15 21:09:19,-88,16.1,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,155,2021-09-15 21:09:19,-90,19.5,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,169,2021-09-15 21:09:19,-89,21.1,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,171,2021-09-15 21:09:19,-91,23.5,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-09-15 21:09:19,-90,24.1,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-09-15 21:09:19,-84,30.5,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-09-15 21:09:19,-94,33.4,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,165,2021-09-15 21:09:19,-95,42.6,Foreground,0.720000
553_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-09-15 21:09:19,-92,51.2,Foreground,0.720000
290_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:09:20,-65,1.1,Foreground,0.720000
290_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:09:20,-66,1.4,Foreground,0.720000
290_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:09:20,-65,1.5,Foreground,0.720000
290_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:09:20,-69,1.5,Foreground,0.720000
290_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:09:20,-69,1.6,Foreground,0.720000
290_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:09:20,-68,2.9,Foreground,0.720000
290_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-09-15 21:09:20,-82,11.6,Foreground,0.720000
