Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (3)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
913_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:12:07,-70,1.8,Foreground,0.720000
913_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:12:07,-70,2.1,Foreground,0.720000
913_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:12:07,-70,2.5,Foreground,0.720000
913_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:12:07,-74,3.3,Foreground,0.720000
913_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:12:07,-74,3.3,Foreground,0.720000
913_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,157,2021-09-15 21:12:07,-83,9.7,Foreground,0.720000
913_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-09-15 21:12:07,-82,11.7,Foreground,0.720000
913_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:12:07,-83,12.4,Foreground,0.720000
913_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,169,2021-09-15 21:12:07,-89,17.4,Foreground,0.720000
913_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-09-15 21:12:07,-84,21.6,Foreground,0.720000
913_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-09-15 21:12:07,-88,23.3,Foreground,0.720000
913_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-09-15 21:12:07,-90,23.7,Foreground,0.720000
Rule 2
132_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:12:08,-66,1.5,Foreground,0.720000
132_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:12:08,-67,2.1,Foreground,0.720000
132_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:12:08,-78,2.1,Foreground,0.720000
132_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:12:08,-71,2.1,Foreground,0.720000
132_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:12:08,-67,2.6,Foreground,0.720000
132_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:12:08,-72,3.1,Foreground,0.720000
132_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,157,2021-09-15 21:12:08,-78,8.9,Foreground,0.720000
132_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,167,2021-09-15 21:12:08,-86,9.5,Foreground,0.720000
132_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,153,2021-09-15 21:12:08,-90,9.7,Foreground,0.720000
132_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:12:08,-77,10.4,Foreground,0.720000
132_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-09-15 21:12:08,-87,12.1,Foreground,0.720000
132_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,155,2021-09-15 21:12:08,-91,13.7,Foreground,0.720000
132_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-09-15 21:12:08,-86,15.2,Foreground,0.720000
132_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-09-15 21:12:08,-80,17.4,Foreground,0.720000
132_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,169,2021-09-15 21:12:08,-92,18.4,Foreground,0.720000
132_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-09-15 21:12:08,-87,22.7,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:12:09,-65,1.3,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:12:09,-66,1.8,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:12:09,-71,2.1,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:12:09,-73,2.2,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:12:09,-75,2.7,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:12:09,-72,2.9,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,157,2021-09-15 21:12:09,-78,8.3,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:12:09,-77,9.1,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,153,2021-09-15 21:12:09,-84,9.9,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,167,2021-09-15 21:12:09,-86,10.2,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-09-15 21:12:09,-87,12.5,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-09-15 21:12:09,-80,14.5,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,155,2021-09-15 21:12:09,-91,15.1,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-09-15 21:12:09,-86,15.1,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-09-15 21:12:09,-85,15.8,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,169,2021-09-15 21:12:09,-88,18.5,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-09-15 21:12:09,-93,22.5,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-09-15 21:12:09,-90,22.9,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,163,2021-09-15 21:12:09,-95,23.5,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,165,2021-09-15 21:12:09,-93,33.5,Foreground,0.720000
705_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,161,2021-09-15 21:12:09,-89,34.4,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:12:10,-65,1.2,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:12:10,-65,1.5,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:12:10,-72,2.2,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:12:10,-75,2.4,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:12:10,-74,2.8,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:12:10,-72,2.8,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,157,2021-09-15 21:12:10,-81,8.2,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:12:10,-80,8.7,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,153,2021-09-15 21:12:10,-84,10.2,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-09-15 21:12:10,-84,12.3,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,155,2021-09-15 21:12:10,-80,12.6,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-09-15 21:12:10,-82,13.4,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-09-15 21:12:10,-86,15.6,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,169,2021-09-15 21:12:10,-87,18.3,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,165,2021-09-15 21:12:10,-84,20.8,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-09-15 21:12:10,-87,21.6,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-09-15 21:12:10,-88,22.5,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,163,2021-09-15 21:12:10,-91,24.3,Foreground,0.720000
675_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,161,2021-09-15 21:12:10,-89,31.7,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:12:11,-65,1.3,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:12:11,-71,1.4,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:12:11,-70,2.3,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:12:11,-73,2.3,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:12:11,-72,2.7,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:12:11,-74,2.9,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,157,2021-09-15 21:12:11,-81,8.1,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 21:12:11,-83,8.9,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,155,2021-09-15 21:12:11,-78,10.5,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,153,2021-09-15 21:12:11,-85,10.5,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-09-15 21:12:11,-83,10.7,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,171,2021-09-15 21:12:11,-84,11.4,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-09-15 21:12:11,-84,12.2,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162,2021-09-15 21:12:11,-88,15.6,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,165,2021-09-15 21:12:11,-84,17.3,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,169,2021-09-15 21:12:11,-91,19.0,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-09-15 21:12:11,-84,19.6,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170,2021-09-15 21:12:11,-88,22.1,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,163,2021-09-15 21:12:11,-89,23.7,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,161,2021-09-15 21:12:11,-91,31.2,Foreground,0.720000
433_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-09-15 21:12:11,-90,35.7,Foreground,0.720000
791_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 21:12:12,-65,1.2,Foreground,0.720000
791_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 21:12:12,-71,1.5,Foreground,0.720000
791_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 21:12:12,-73,2.4,Foreground,0.720000
791_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 21:12:12,-75,2.5,Foreground,0.720000
791_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 21:12:12,-73,2.7,Foreground,0.720000
791_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146,2021-09-15 21:12:12,-75,3.0,Foreground,0.720000
