Device:,iPhone12,5
OS version:,13.3.1
App version:,1.4.6 (3)
Library version:,1.0.0 build (22)
UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,163,2021-09-15 20:58:08,-73,3.6,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164,2021-09-15 20:58:08,-74,4.5,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,157,2021-09-15 20:58:08,-78,4.7,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,165,2021-09-15 20:58:08,-77,5.1,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,161,2021-09-15 20:58:08,-78,6.1,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154,2021-09-15 20:58:08,-73,6.6,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156,2021-09-15 20:58:08,-84,7.6,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160,2021-09-15 20:58:08,-78,7.9,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152,2021-09-15 20:58:08,-82,9.4,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168,2021-09-15 20:58:08,-86,10.2,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,151,2021-09-15 20:58:08,-78,10.6,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,169,2021-09-15 20:58:08,-94,14.5,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150,2021-09-15 20:58:08,-85,15.3,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,167,2021-09-15 20:58:08,-86,17.2,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166,2021-09-15 20:58:08,-81,17.4,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,147,2021-09-15 20:58:08,-93,17.6,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,171,2021-09-15 20:58:08,-86,18.5,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148,2021-09-15 20:58:08,-85,18.8,Foreground,0.750000
125_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,149,2021-09-15 20:58:08,-88,19.0,Foreground,0.750000
959_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,163,2021-09-15 20:58:09,-73,3.1,Foreground,0.750000
